variant,salary_draw_count,enforce_top_n,waiver_source,bench_upside_weight,seasons,total_trials,feasible_trials,actual_points,actual_points_feasible,drafted_only_points,cap_feasible_rate,cap_overage,absolute_forecast_error,hindsight_heuristic_gap,actual_waiver_starts
d5_top0_waiverprior_empirical_bench25,5,False,prior_empirical,0.25,4,1000,278,1566.9022973632814,1551.6357388529743,1437.339259338379,0.278,26.277,141.37633142089842,593.0792880024943,43.913
d5_top0_waiverprior_empirical_bench00,5,False,prior_empirical,0.0,4,1000,260,1564.5311368408204,1541.8236748485374,1436.5355223388672,0.26,24.761,148.7748811035156,602.8913520069314,47.0
d5_top1_waiverprior_empirical_bench25,5,True,prior_empirical,0.25,4,1000,255,1572.0021986083984,1558.6569394831072,1443.7983205566406,0.255,27.148000000000003,141.4421143798828,586.0580873723616,44.757999999999996
d5_top1_waiverprior_empirical_bench00,5,True,prior_empirical,0.0,4,1000,247,1569.4869770507812,1547.8381864708333,1439.6080599365234,0.247,25.287,147.98277673339845,596.8768403846356,47.524
d5_top0_waivercurrent_projected_bench25,5,False,current_projected,0.25,4,1000,208,1589.6241799316406,1575.7904067735153,1477.6841013183594,0.208,26.164,125.50575573730468,568.9246200819534,41.114000000000004
d5_top0_waivercurrent_projected_bench00,5,False,current_projected,0.0,4,1000,197,1586.2820809326172,1573.0328423223175,1479.2767811889648,0.197,27.578,128.11849707031251,571.6821845331511,41.403999999999996
d5_top1_waivercurrent_projected_bench25,5,True,current_projected,0.25,4,1000,195,1594.5111387939453,1575.7101428785663,1480.4184793701172,0.195,27.127,124.47360559082031,569.0048839769023,42.090999999999994
d5_top1_waivercurrent_projected_bench00,5,True,current_projected,0.0,4,1000,182,1591.1007204589844,1577.276265022109,1482.3624813842773,0.182,27.936999999999998,128.35257348632814,567.4387618333595,42.378
d1_top0_waiverprior_empirical_bench25,1,False,prior_empirical,0.25,4,1000,110,1594.9620949707032,1595.3371014894576,1460.9477797851564,0.11,52.676,129.96304064941407,575.9496009845009,41.901
d1_top0_waiverprior_empirical_bench00,1,False,prior_empirical,0.0,4,1000,103,1598.236019897461,1615.8803969902485,1461.6112976074219,0.103,51.914,133.36937854003907,555.4063054837096,44.203
d1_top1_waiverprior_empirical_bench00,1,True,prior_empirical,0.0,4,1000,92,1600.6664006347655,1618.9557267855423,1463.6600968017578,0.092,53.108000000000004,134.22751171875,552.3309756884163,44.650999999999996
d1_top1_waiverprior_empirical_bench25,1,True,prior_empirical,0.25,4,1000,79,1602.3052568359374,1599.7465117360534,1468.4015608520508,0.079,54.179,130.45439306640625,571.5401907379049,42.575
d1_top0_waivercurrent_projected_bench25,1,False,current_projected,0.25,4,1000,73,1615.7539189453125,1621.198508817386,1509.1144374389648,0.07300000000000001,51.943,119.872521484375,550.0881936565723,38.937
d1_top0_waivercurrent_projected_bench00,1,False,current_projected,0.0,4,1000,67,1618.8966790771485,1595.5091628359075,1513.9863590087891,0.067,53.825,122.09945935058593,549.2058640195612,39.313
d1_top1_waivercurrent_projected_bench00,1,True,current_projected,0.0,4,1000,59,1624.2716760253907,1596.2101092216296,1517.339059448242,0.059,55.184,120.84489428710938,548.5049176338391,39.819
d1_top1_waivercurrent_projected_bench25,1,True,current_projected,0.25,4,1000,58,1623.5130390625,1625.7085494266314,1515.0951184692383,0.057999999999999996,53.214,119.38759020996093,545.5781530473267,39.432
