feature_1,feature_2,correlation,absolute_correlation
budget_adjusted_source_salary,avg_pick_log,-0.9313596942357335,0.9313596942357335
rb_pos_rush_share,RB,0.9103650274277554,0.9103650274277554
pos_proj_points_share,rb_pos_rush_share,0.8082545341160493,0.8082545341160493
ensemble_pred_ppg,QB,0.7274770949125938,0.7274770949125938
pos_proj_points_share,RB,0.6763506737274371,0.6763506737274371
avg_pick_log,ensemble_pred_ppg,-0.6273459437117263,0.6273459437117263
pos_proj_points_share,QB,-0.6144200786715127,0.6144200786715127
ensemble_pred_resid_90,rb_pos_rush_share,0.575193085452682,0.575193085452682
ensemble_pred_resid_90,RB,0.5190165641806804,0.5190165641806804
budget_adjusted_source_salary,ensemble_pred_ppg,0.5101423769654745,0.5101423769654745
budget_adjusted_source_salary,pos_proj_points_share,0.49934015584484903,0.49934015584484903
year_exp,is_rookie,-0.48445153287737974,0.48445153287737974
avg_pick_log,pos_proj_points_share,-0.4645404274031078,0.4645404274031078
ensemble_pred_ppg,ensemble_pred_resid_90,0.4350328311709808,0.4350328311709808
ensemble_pred_resid_90,TE,-0.42094755882543244,0.42094755882543244
ensemble_pred_resid_90,pos_proj_points_share,0.3395554191351553,0.3395554191351553
ensemble_vs_price_gap,year_exp,-0.3085115797256404,0.3085115797256404
avg_pick_log,ensemble_pred_resid_90,-0.29369806370350937,0.29369806370350937
ensemble_vs_price_gap,is_rookie,0.2923150458981895,0.2923150458981895
budget_adjusted_source_salary,rb_pos_rush_share,0.27094267550623385,0.27094267550623385
budget_adjusted_source_salary,ensemble_pred_resid_90,0.2691119663099918,0.2691119663099918
avg_pick_log,rb_pos_rush_share,-0.26395499067743605,0.26395499067743605
QB,RB,-0.26006240250338686,0.26006240250338686
ensemble_pred_resid_90,year_exp,-0.2535538470458891,0.2535538470458891
RB,TE,-0.25163021486526566,0.25163021486526566
rb_pos_rush_share,QB,-0.23675171618792393,0.23675171618792393
year_exp,QB,0.23303916718100776,0.23303916718100776
rb_pos_rush_share,TE,-0.22907534745746994,0.22907534745746994
ensemble_pred_ppg,TE,-0.21530929589655845,0.21530929589655845
ensemble_pred_resid_90,QB,0.20836200774091565,0.20836200774091565
year_exp,RB,-0.19880453407060514,0.19880453407060514
ensemble_pred_ppg,year_exp,0.1777061699662454,0.1777061699662454
rb_pos_rush_share,year_exp,-0.16178851036479497,0.16178851036479497
avg_pick_log,is_rookie,0.14572783507567633,0.14572783507567633
budget_adjusted_source_salary,is_rookie,-0.13597254093876296,0.13597254093876296
ensemble_vs_price_gap,ensemble_pred_resid_90,0.1352727728373665,0.1352727728373665
pos_proj_points_share,TE,-0.13476313042482824,0.13476313042482824
pos_proj_points_share,year_exp,-0.13471000160037172,0.13471000160037172
QB,TE,-0.13132277446244153,0.13132277446244153
budget_adjusted_source_salary,QB,-0.12044250529934229,0.12044250529934229
ensemble_pred_ppg,ensemble_vs_price_gap,0.1161704866028073,0.1161704866028073
ensemble_pred_ppg,is_rookie,-0.111808338714146,0.111808338714146
ensemble_pred_resid_90,is_rookie,0.11116940476481058,0.11116940476481058
ensemble_pred_ppg,RB,-0.09867807830390396,0.09867807830390396
budget_adjusted_source_salary,year_exp,0.09709163942105185,0.09709163942105185
avg_pick_log,year_exp,-0.09416146918112396,0.09416146918112396
budget_adjusted_source_salary,TE,-0.09373350573548823,0.09373350573548823
budget_adjusted_source_salary,RB,0.09076263659462891,0.09076263659462891
is_rookie,QB,-0.08589196725814556,0.08589196725814556
ensemble_pred_ppg,pos_proj_points_share,-0.08579432444700277,0.08579432444700277
is_rookie,RB,0.08288180674641225,0.08288180674641225
budget_adjusted_source_salary,ensemble_vs_price_gap,-0.07529001869072803,0.07529001869072803
ensemble_pred_ppg,rb_pos_rush_share,0.07056269748490646,0.07056269748490646
avg_pick_log,RB,-0.06903427807207778,0.06903427807207778
avg_pick_log,TE,0.06383095557755014,0.06383095557755014
year_exp,TE,0.06216340211827875,0.06216340211827875
is_rookie,TE,-0.05841601844013478,0.05841601844013478
rb_pos_rush_share,is_rookie,0.04862683160029267,0.04862683160029267
ensemble_vs_price_gap,pos_proj_points_share,0.03728652793844266,0.03728652793844266
ensemble_vs_price_gap,rb_pos_rush_share,0.03378035901294264,0.03378035901294264
avg_pick_log,ensemble_vs_price_gap,-0.021545325797773483,0.021545325797773483
avg_pick_log,QB,0.019616841920281944,0.019616841920281944
pos_proj_points_share,is_rookie,-0.0177390553700379,0.0177390553700379
ensemble_vs_price_gap,QB,1.068504019648791e-17,1.068504019648791e-17
ensemble_vs_price_gap,RB,6.627653114101657e-18,6.627653114101657e-18
ensemble_vs_price_gap,TE,-4.738986835560376e-18,4.738986835560376e-18
