feature,actual_salary_correlation,source_salary_residual_correlation,prior_v3_oof_residual_correlation
budget_adjusted_source_salary,0.9422524061465017,-0.07571410154439873,0.0435597335468474
avg_pick_log,-0.9276175812870127,-0.05823433422529926,-0.08129909546510915
ensemble_pred_ppg,0.507253407159386,0.01249551369982173,0.07200536146394183
ensemble_vs_price_gap,-0.011391577422123846,0.1676943976452777,0.0362961796256875
ensemble_pred_resid_90,0.33315600165340503,0.22082805568290206,0.08576783479409188
pos_proj_points_share,0.6042499025705768,0.3596171116947982,0.07808719869201507
rb_pos_rush_share,0.40867876154853494,0.4439015142245303,0.12423131933101196
year_exp,0.055549981528419216,-0.1265213650556932,-0.009187967417457891
is_rookie,-0.08434040057592658,0.15279856729913605,0.07912109473890139
QB,-0.15270102551418435,-0.12359058570975598,0.002182055388787719
RB,0.2085809803888045,0.3865433867459996,0.10489355529508891
TE,-0.1351393115058656,-0.1341761521621282,-0.06517100870586422
