feature_set,feature_count,player_years,mae,rmse,r2,mae_2022,mae_2023,mae_2024,mae_2025
compact_v5,12,526,4.31150636205126,6.461234073444507,0.9372200460158318,4.694443741867235,3.9510690737614502,4.750672717428586,3.886724864798806
legacy_full,155,526,4.561218920514996,6.739838822576269,0.9316892481305008,4.934706207874205,3.9688317182806268,5.07419890838615,4.294577284093322
