player,keeper_salary
Cam Skattebo,18
George Pickens,39
Nico Collins,42
Quinshon Judkins,20
Garrett Wilson,37
Javonte Williams,17
Jaxon Smith Njigba,42
Christian Mccaffrey,72
Travis Etienne,20
Mike Evans,11
James Cook,67
Tucker Kraft,11
