arm,variations,target_count,watch_count,pass_count,mean_gain,mean_buy_ev,mean_pass_ev,mean_buy_p10,mean_pass_p10,mean_p10_delta,mean_pass_unused,mean_pass_completion,mean_runtime_seconds
baseline,8,8,0,0,22.5411577155193,1655.58083688987,1633.03967917435,1458.5660400390625,1445.746826171875,12.8192138671875,44.6870013297872,0.9921875,0.42562655
slack_replan,8,1,3,4,-2.63250141477946,1658.36726518698,1660.99976660176,1460.9569396972656,1474.2587127685547,-13.301773071289062,22.53125,1.0,1.3783612
bounded_replan,8,2,2,4,-1.95031168262164,1657.23712006591,1659.18743174853,1460.98173332214,1472.47216148376,-11.49042816162,22.8090093085106,0.9947916667,0.6662929
