arm,variation,branch,paths,completion_rate,mean_spend,mean_unused,median_unused,p90_unused,max_unused,mean_full_replans,mean_budget_replans,mean_bounded_triggers,mean_bounded_swaps,mean_bounded_rebuilds,mean_guard_rejections
bounded_replan,0,buy,48,1.0,294.2083333333333,3.7916666666666665,3.0,7.0,9.0,0.0,0.0,1.25,1.2291666666666667,0.0,0.0
bounded_replan,0,pass,48,1.0,278.2708333333333,19.729166666666668,18.0,35.00000000000004,62.0,0.0,0.0,9.25,7.6875,0.041666666666666664,0.0
