arm,variation,branch,paths,completion_rate,mean_spend,mean_unused,median_unused,p90_unused,max_unused,mean_full_replans,mean_budget_replans
baseline,0,buy,48,1.0,294.1041666666667,3.8958333333333335,3.0,7.300000000000004,12.0,0.0,0.0
baseline,0,pass,48,0.9791666666666666,251.9787234042553,46.02127659574468,45.0,73.4,88.0,0.0,0.0
baseline,1,buy,48,0.9791666666666666,293.70212765957444,4.297872340425532,4.0,9.0,11.0,0.0,0.0
baseline,1,pass,48,1.0,249.9375,48.0625,49.0,65.9,81.0,0.0,0.0
baseline,2,buy,48,1.0,294.7083333333333,3.2916666666666665,3.0,6.6000000000000085,10.0,0.0,0.0
baseline,2,pass,48,1.0,254.375,43.625,44.0,69.0,95.0,0.0,0.0
baseline,3,buy,48,0.9791666666666666,294.48936170212767,3.5106382978723403,3.0,7.0,10.0,0.0,0.0
baseline,3,pass,48,0.9791666666666666,254.12765957446808,43.87234042553192,44.0,63.4,70.0,0.0,0.0
baseline,4,buy,48,1.0,294.2916666666667,3.7083333333333335,3.0,7.0,12.0,0.0,0.0
baseline,4,pass,48,1.0,252.72916666666666,45.270833333333336,44.0,66.30000000000001,85.0,0.0,0.0
baseline,5,buy,48,1.0,294.2291666666667,3.7708333333333335,3.0,7.300000000000004,11.0,0.0,0.0
baseline,5,pass,48,1.0,249.91666666666666,48.083333333333336,48.0,68.20000000000002,79.0,0.0,0.0
baseline,6,buy,48,0.9791666666666666,294.74468085106383,3.25531914893617,3.0,7.0,10.0,0.0,0.0
baseline,6,pass,48,0.9791666666666666,260.0851063829787,37.91489361702128,37.0,59.8,79.0,0.0,0.0
baseline,14,buy,48,0.9791666666666666,293.63829787234044,4.361702127659575,4.0,9.0,11.0,0.0,0.0
baseline,14,pass,48,1.0,253.35416666666666,44.645833333333336,41.5,69.60000000000001,81.0,0.0,0.0
slack_replan,0,buy,48,1.0,293.5625,4.4375,4.0,7.300000000000004,12.0,1.8541666666666667,1.1666666666666667
slack_replan,0,pass,48,1.0,275.7916666666667,22.208333333333332,20.5,39.0,65.0,9.541666666666666,5.375
slack_replan,1,buy,48,0.9791666666666666,294.29787234042556,3.702127659574468,4.0,7.0,10.0,1.5319148936170213,0.9574468085106383
slack_replan,1,pass,48,1.0,273.3958333333333,24.604166666666668,24.0,37.300000000000004,53.0,9.020833333333334,5.916666666666667
slack_replan,2,buy,48,1.0,295.0208333333333,2.9791666666666665,2.0,6.0,8.0,1.1875,0.6875
slack_replan,2,pass,48,1.0,276.625,21.375,20.0,35.0,53.0,8.895833333333334,5.541666666666667
slack_replan,3,buy,48,0.9791666666666666,294.4255319148936,3.574468085106383,3.0,6.399999999999999,10.0,1.3829787234042554,0.723404255319149
slack_replan,3,pass,48,1.0,273.5625,24.4375,23.0,40.0,53.0,8.1875,5.395833333333333
slack_replan,4,buy,48,1.0,294.6041666666667,3.3958333333333335,2.5,6.0,11.0,1.1458333333333333,0.7291666666666666
slack_replan,4,pass,48,1.0,275.6875,22.3125,22.0,38.20000000000002,47.0,9.0625,5.958333333333333
slack_replan,5,buy,48,1.0,294.5416666666667,3.4583333333333335,3.0,6.0,7.0,0.9583333333333334,0.4791666666666667
slack_replan,5,pass,48,1.0,276.7291666666667,21.270833333333332,20.0,37.60000000000001,54.0,8.625,5.541666666666667
slack_replan,6,buy,48,0.9791666666666666,295.0851063829787,2.9148936170212765,3.0,5.399999999999999,6.0,1.0212765957446808,0.5319148936170213
slack_replan,6,pass,48,1.0,276.8333333333333,21.166666666666668,19.5,38.400000000000034,50.0,8.229166666666666,5.229166666666667
slack_replan,14,buy,48,0.9791666666666666,294.06382978723406,3.9361702127659575,4.0,7.399999999999999,9.0,1.7872340425531914,1.1702127659574468
slack_replan,14,pass,48,1.0,275.125,22.875,23.0,35.60000000000001,45.0,9.5,5.895833333333333
