arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,4,5,pass,True,,266.0,32.0,0,0,0,0,0,0,0.0,A.J. Brown | Bhayshul Tuten | Chase Brown | De'Von Achane | Deebo Samuel Sr. | Harold Fannin Jr. | Jalen Hurts | Jameson Williams | Jordan James | Luther Burden III | Omar Cooper Jr. | Rico Dowdle | Tee Higgins,"{""A.J. Brown"": 40.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""De'Von Achane"": 73.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 6.0, ""Jalen Hurts"": 14.0, ""Jameson Williams"": 22.0, ""Jordan James"": 4.0, ""Luther Burden III"": 21.0, ""Omar Cooper Jr."": 2.0, ""Rico Dowdle"": 13.0, ""Tee Higgins"": 24.0}"
baseline,4,6,buy,True,,253.0,45.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Germie Bernard | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jordan Mason | Kyle Pitts | Luther Burden III | Rico Dowdle | Wan'Dale Robinson | Zach Charbonnet,"{""Alec Pierce"": 7.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 27.0, ""Jordan Mason"": 7.0, ""Kyle Pitts"": 3.0, ""Luther Burden III"": 21.0, ""Rico Dowdle"": 9.0, ""Wan'Dale Robinson"": 6.0, ""Zach Charbonnet"": 3.0}"
baseline,4,6,pass,True,,203.0,95.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Germie Bernard | Jalen Hurts | Jameson Williams | Jordan Mason | Kyle Pitts | Luther Burden III | Malik Nabers | Rico Dowdle | Tee Higgins | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Germie Bernard"": 2.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 27.0, ""Jordan Mason"": 7.0, ""Kyle Pitts"": 3.0, ""Luther Burden III"": 21.0, ""Malik Nabers"": 41.0, ""Rico Dowdle"": 9.0, ""Tee Higgins"": 26.0, ""Wan'Dale Robinson"": 6.0, ""Zach Charbonnet"": 3.0}"
baseline,4,7,buy,True,,244.0,54.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Caleb Williams | Chase Brown | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Jordan Mason | KC Concepcion | Luther Burden III | RJ Harvey | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Caleb Williams"": 5.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 23.0, ""Jordan Mason"": 5.0, ""KC Concepcion"": 2.0, ""Luther Burden III"": 20.0, ""RJ Harvey"": 5.0, ""Wan'Dale Robinson"": 10.0, ""Zach Charbonnet"": 4.0}"
baseline,4,7,pass,True,,272.0,26.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Caleb Williams | Chase Brown | Derrick Henry | Harold Fannin Jr. | Jameson Williams | Jordan Mason | KC Concepcion | Luther Burden III | Malik Nabers | RJ Harvey | Tetairoa McMillan | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Caleb Williams"": 5.0, ""Chase Brown"": 34.0, ""Derrick Henry"": 74.0, ""Harold Fannin Jr."": 13.0, ""Jameson Williams"": 23.0, ""Jordan Mason"": 5.0, ""KC Concepcion"": 2.0, ""Luther Burden III"": 20.0, ""Malik Nabers"": 49.0, ""RJ Harvey"": 5.0, ""Tetairoa McMillan"": 27.0, ""Zach Charbonnet"": 4.0}"
baseline,4,8,buy,True,,232.0,66.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Brian Robinson | Chase Brown | Chris Godwin Jr. | Courtland Sutton | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Kyle Monangai | Matthew Golden | Michael Wilson,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Brian Robinson"": 2.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Courtland Sutton"": 8.0, ""Harold Fannin Jr."": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 19.0, ""Kyle Monangai"": 4.0, ""Matthew Golden"": 5.0, ""Michael Wilson"": 9.0}"
baseline,4,8,pass,True,,168.0,130.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Harold Fannin Jr. | Jalen Hurts | Jameson Williams | Jordan Mason | Kyle Monangai | Malik Nabers | Michael Wilson | Stefon Diggs | Zachariah Branch,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Harold Fannin Jr."": 9.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 19.0, ""Jordan Mason"": 6.0, ""Kyle Monangai"": 4.0, ""Malik Nabers"": 47.0, ""Michael Wilson"": 9.0, ""Stefon Diggs"": 6.0, ""Zachariah Branch"": 2.0}"
baseline,4,9,buy,True,,250.0,48.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Dak Prescott | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jonathon Brooks | Parker Washington | Quentin Johnston | Rico Dowdle | Romeo Doubs | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 22.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 4.0, ""Harold Fannin Jr."": 10.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jonathon Brooks"": 10.0, ""Parker Washington"": 10.0, ""Quentin Johnston"": 5.0, ""Rico Dowdle"": 18.0, ""Romeo Doubs"": 4.0, ""Zach Charbonnet"": 5.0}"
baseline,4,9,pass,True,,217.0,81.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Braelon Allen | Chase Brown | Dak Prescott | Drake London | George Kittle | Harold Fannin Jr. | Jonathon Brooks | Parker Washington | Quentin Johnston | Rico Dowdle | Romeo Doubs | Tetairoa McMillan,"{""Bhayshul Tuten"": 11.0, ""Braelon Allen"": 3.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 4.0, ""Drake London"": 76.0, ""George Kittle"": 5.0, ""Harold Fannin Jr."": 10.0, ""Jonathon Brooks"": 10.0, ""Parker Washington"": 10.0, ""Quentin Johnston"": 5.0, ""Rico Dowdle"": 18.0, ""Romeo Doubs"": 4.0, ""Tetairoa McMillan"": 27.0}"
baseline,4,10,buy,True,,250.0,48.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | Daniel Jones | Harold Fannin Jr. | Jahmyr Gibbs | Jake Ferguson | Jameson Williams | Luther Burden III | Michael Wilson | Tony Pollard | Zach Charbonnet,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 15.0, ""Daniel Jones"": 2.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 3.0, ""Jameson Williams"": 24.0, ""Luther Burden III"": 17.0, ""Michael Wilson"": 5.0, ""Tony Pollard"": 12.0, ""Zach Charbonnet"": 2.0}"
