arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
bounded_guard,1,5,buy,True,,294.0,4.0,0,0,0,0,0,0,4.277996666316994,Bhayshul Tuten | Bijan Robinson | Calvin Ridley | Chase Brown | Dalton Schultz | Deebo Samuel Sr. | George Kittle | Jahmyr Gibbs | Jared Goff | Jordan Addison | Makai Lemon | Quentin Johnston | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""Dalton Schultz"": 3.0, ""Deebo Samuel Sr."": 4.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jared Goff"": 2.0, ""Jordan Addison"": 4.0, ""Makai Lemon"": 6.0, ""Quentin Johnston"": 9.0, ""Zach Charbonnet"": 2.0}"
bounded_guard,1,5,pass,True,,266.0,32.0,0,0,13,8,0,0,38.45767922732966,Alec Pierce | Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | Chuba Hubbard | George Kittle | Jahmyr Gibbs | Jalen Hurts | Jaylen Waddle | Rachaad White | Rico Dowdle | Wan'Dale Robinson,"{""Alec Pierce"": 10.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 20.0, ""Chase Brown"": 34.0, ""Christian Watson"": 10.0, ""Chuba Hubbard"": 15.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 10.0, ""Jaylen Waddle"": 20.0, ""Rachaad White"": 9.0, ""Rico Dowdle"": 9.0, ""Wan'Dale Robinson"": 6.0}"
bounded_guard,1,6,buy,True,,295.0,3.0,0,0,0,0,0,0,6.484460543337661,Bhayshul Tuten | Bijan Robinson | Chase Brown | Denzel Boston | J.K. Dobbins | Jahmyr Gibbs | Jalen McMillan | Jared Goff | Makai Lemon | Michael Wilson | Nicholas Singleton | Pat Freiermuth | Rashid Shaheed,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Denzel Boston"": 2.0, ""J.K. Dobbins"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Jared Goff"": 2.0, ""Makai Lemon"": 8.0, ""Michael Wilson"": 6.0, ""Nicholas Singleton"": 2.0, ""Pat Freiermuth"": 4.0, ""Rashid Shaheed"": 2.0}"
bounded_guard,1,6,pass,True,,278.0,20.0,0,0,9,6,0,1,21.532844899962925,Alec Pierce | Bhayshul Tuten | Chase Brown | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jaylen Waddle | Jaylen Warren | Jonathon Brooks | Jordan Addison | Kyle Pitts | Michael Wilson | Rachaad White,"{""Alec Pierce"": 9.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 11.0, ""Jameson Williams"": 15.0, ""Jaylen Waddle"": 24.0, ""Jaylen Warren"": 15.0, ""Jonathon Brooks"": 17.0, ""Jordan Addison"": 9.0, ""Kyle Pitts"": 6.0, ""Michael Wilson"": 6.0, ""Rachaad White"": 11.0}"
bounded_guard,1,7,buy,True,,297.0,1.0,0,0,0,0,0,0,4.297617633761604,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Calvin Ridley | Chase Brown | Harold Fannin Jr. | Jahmyr Gibbs | Jordan Addison | Michael Wilson | Patrick Mahomes | Rashid Shaheed | Samaje Perine | Stefon Diggs,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 6.0, ""Michael Wilson"": 6.0, ""Patrick Mahomes"": 2.0, ""Rashid Shaheed"": 3.0, ""Samaje Perine"": 2.0, ""Stefon Diggs"": 6.0}"
bounded_guard,1,7,pass,True,,291.0,7.0,0,0,9,8,0,0,29.25621042559044,Aaron Jones | Bhayshul Tuten | Chase Brown | Christian Watson | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jaylen Warren | Jordan Addison | Kenny Gainwell | Luther Burden III | Marvin Harrison Jr. | Rome Odunze,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 12.0, ""Jaylen Warren"": 20.0, ""Jordan Addison"": 6.0, ""Kenny Gainwell"": 6.0, ""Luther Burden III"": 29.0, ""Marvin Harrison Jr."": 20.0, ""Rome Odunze"": 19.0}"
bounded_guard,1,8,buy,True,,294.0,4.0,0,0,2,2,0,0,6.935738273727225,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Chris Godwin Jr. | George Kittle | Jahmyr Gibbs | Jordan Addison | Josh Downs | Rashid Shaheed | Stefon Diggs | Wan'Dale Robinson,"{""Aaron Jones"": 5.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 2.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""George Kittle"": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 5.0, ""Josh Downs"": 6.0, ""Rashid Shaheed"": 2.0, ""Stefon Diggs"": 2.0, ""Wan'Dale Robinson"": 5.0}"
bounded_guard,1,8,pass,True,,257.0,41.0,0,0,14,14,1,1,66.43772947095545,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chris Godwin Jr. | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Quentin Johnston | Rachaad White | Rome Odunze | Zach Charbonnet,"{""Alec Pierce"": 11.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 9.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Harold Fannin Jr."": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 15.0, ""Jayden Daniels"": 16.0, ""Quentin Johnston"": 6.0, ""Rachaad White"": 11.0, ""Rome Odunze"": 21.0, ""Zach Charbonnet"": 2.0}"
bounded_guard,1,9,buy,True,,296.0,2.0,0,0,0,0,0,0,6.2760182111262,Bhayshul Tuten | Bijan Robinson | Chase Brown | George Kittle | Jahmyr Gibbs | Jared Goff | Jordan Mason | Jordyn Tyson | Keenan Allen | Omar Cooper Jr. | Rachaad White | Rashid Shaheed | Ryan Flournoy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jared Goff"": 3.0, ""Jordan Mason"": 12.0, ""Jordyn Tyson"": 4.0, ""Keenan Allen"": 2.0, ""Omar Cooper Jr."": 3.0, ""Rachaad White"": 4.0, ""Rashid Shaheed"": 3.0, ""Ryan Flournoy"": 2.0}"
bounded_guard,1,9,pass,True,,261.0,37.0,0,0,10,8,0,1,36.98244645365247,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jonathon Brooks | Jordyn Tyson | Josh Downs | Keenan Allen | Rhamondre Stevenson | Tee Higgins | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Harold Fannin Jr."": 10.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 12.0, ""Jonathon Brooks"": 10.0, ""Jordyn Tyson"": 4.0, ""Josh Downs"": 9.0, ""Keenan Allen"": 2.0, ""Rhamondre Stevenson"": 15.0, ""Tee Higgins"": 30.0, ""Xavier Worthy"": 5.0}"
bounded_guard,1,10,buy,True,,296.0,2.0,0,0,0,0,0,0,6.2127514555820085,Adonai Mitchell | Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Jahmyr Gibbs | Jalen Coker | Jaylin Noel | Jordan Addison | Josh Downs | Kyle Pitts | Tank Bigsby | Zach Charbonnet,"{""Adonai Mitchell"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 4.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Coker"": 3.0, ""Jaylin Noel"": 2.0, ""Jordan Addison"": 7.0, ""Josh Downs"": 3.0, ""Kyle Pitts"": 9.0, ""Tank Bigsby"": 2.0, ""Zach Charbonnet"": 4.0}"
