arm,variation,price,recommendation,gain,se,lcb80,buy_ev,pass_ev,buy_season_p10,pass_season_p10,season_p10_delta,gain_p10,win_rate,buy_completion,pass_completion,paired_rate,block_positive_rate,runtime_seconds
baseline,14,105,TARGET,27.444371736410893,6.778646713786761,21.739318727198697,1653.160770813624,1625.7163990772133,1462.590316772461,1436.187905883789,26.40241088867191,-11.785446166992188,82.97872340425532,97.91666666666667,100.0,97.91666666666667,100.0,0.5075899999937974
bounded_replan,14,105,WATCH,1.4678684147921475,8.268674054176124,-5.491223242695912,1654.871378056931,1653.4035096421385,1462.2610656738284,1459.80810546875,2.4529602050781136,-34.69789695739746,48.93617021276596,97.91666666666667,100.0,97.91666666666667,50.0,0.6317127000074834
bounded_guard,14,105,WATCH,0.14208978233915426,9.399072059378103,-7.768368838715357,1655.1608117746584,1655.0187219923193,1461.9011962890627,1461.682632446289,0.2185638427735057,-42.426078414916994,46.808510638297875,97.91666666666667,100.0,97.91666666666667,50.0,0.6453290000208654
