arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,5,5,pass,True,,219.0,79.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Courtland Sutton | Dak Prescott | Jahmyr Gibbs | Jordan Addison | KC Concepcion | Khalil Shakir | Kyle Pitts | Michael Wilson | Romeo Doubs | TreVeyon Henderson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 8.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 6.0, ""KC Concepcion"": 3.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 11.0, ""Michael Wilson"": 5.0, ""Romeo Doubs"": 2.0, ""TreVeyon Henderson"": 18.0, ""Zach Charbonnet"": 2.0}"
baseline,5,6,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | De'Zhaun Stribling | Germie Bernard | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jordan Addison | KC Concepcion | Kaelon Black,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 3.0, ""Chase Brown"": 34.0, ""De'Zhaun Stribling"": 5.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 4.0, ""Jakobi Meyers"": 2.0, ""Jordan Addison"": 8.0, ""KC Concepcion"": 4.0, ""Kaelon Black"": 3.0}"
baseline,5,6,pass,True,,280.0,18.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jordan Addison | KC Concepcion | Kyle Pitts | TreVeyon Henderson | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 9.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""D'Andre Swift"": 29.0, ""DK Metcalf"": 14.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 8.0, ""KC Concepcion"": 4.0, ""Kyle Pitts"": 13.0, ""TreVeyon Henderson"": 20.0, ""Wan'Dale Robinson"": 10.0}"
baseline,5,7,buy,True,,297.0,1.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Isaiah Likely | Ja'Kobi Lane | Jahmyr Gibbs | Josh Downs | Kenyon Sadiq | Makai Lemon | Tre Harris | Tyler Allgeier | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 4.0, ""Chase Brown"": 34.0, ""Isaiah Likely"": 6.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Josh Downs"": 3.0, ""Kenyon Sadiq"": 2.0, ""Makai Lemon"": 8.0, ""Tre Harris"": 2.0, ""Tyler Allgeier"": 3.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,7,pass,True,,258.0,40.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Chuba Hubbard | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jauan Jennings | Jaylen Warren | Jordan Addison | Josh Downs | Kyle Pitts | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jauan Jennings"": 2.0, ""Jaylen Warren"": 30.0, ""Jordan Addison"": 7.0, ""Josh Downs"": 3.0, ""Kyle Pitts"": 11.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,8,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Dallas Goedert | Germie Bernard | Jahmyr Gibbs | Jordan Addison | Justice Hill | Romeo Doubs | Stefon Diggs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 3.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 4.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Justice Hill"": 2.0, ""Romeo Doubs"": 2.0, ""Stefon Diggs"": 6.0, ""Wan'Dale Robinson"": 9.0, ""Zach Charbonnet"": 2.0}"
baseline,5,8,pass,True,,262.0,36.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dak Prescott | Harold Fannin Jr. | Jadarian Price | Jahmyr Gibbs | Jordan Addison | Josh Downs | Ladd McConkey | Luther Burden III | Romeo Doubs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 8.0, ""Harold Fannin Jr."": 7.0, ""Jadarian Price"": 22.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Josh Downs"": 5.0, ""Ladd McConkey"": 28.0, ""Luther Burden III"": 20.0, ""Romeo Doubs"": 2.0, ""Wan'Dale Robinson"": 9.0, ""Zach Charbonnet"": 2.0}"
baseline,5,9,buy,True,,298.0,0.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | C.J. Stroud | Chase Brown | Chris Godwin Jr. | Chris Rodriguez Jr. | Dallas Goedert | Jahmyr Gibbs | Khalil Shakir | Omar Cooper Jr. | Rashid Shaheed | Stefon Diggs | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""C.J. Stroud"": 3.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Chris Rodriguez Jr."": 5.0, ""Dallas Goedert"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Khalil Shakir"": 4.0, ""Omar Cooper Jr."": 3.0, ""Rashid Shaheed"": 3.0, ""Stefon Diggs"": 4.0, ""Zach Charbonnet"": 2.0}"
baseline,5,9,pass,True,,270.0,28.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Bucky Irving | Chase Brown | Dak Prescott | Jahmyr Gibbs | Jordyn Tyson | KC Concepcion | Kyle Pitts | Ladd McConkey | Rashid Shaheed | Wan'Dale Robinson | Zach Charbonnet,"{""Aaron Jones"": 12.0, ""Bhayshul Tuten"": 11.0, ""Bucky Irving"": 29.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jordyn Tyson"": 13.0, ""KC Concepcion"": 3.0, ""Kyle Pitts"": 10.0, ""Ladd McConkey"": 28.0, ""Rashid Shaheed"": 3.0, ""Wan'Dale Robinson"": 10.0, ""Zach Charbonnet"": 2.0}"
baseline,5,10,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Cade Otton | Caleb Williams | Chase Brown | Chig Okonkwo | Chris Godwin Jr. | Jahmyr Gibbs | Jordan Addison | Michael Pittman | Samaje Perine | Zach Charbonnet,"{""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Cade Otton"": 2.0, ""Caleb Williams"": 7.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Chris Godwin Jr."": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 2.0, ""Michael Pittman"": 12.0, ""Samaje Perine"": 3.0, ""Zach Charbonnet"": 2.0}"
baseline,5,10,pass,True,,225.0,73.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Christian Watson | D'Andre Swift | Dak Prescott | Dallas Goedert | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Quentin Johnston | Sean Tucker | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Christian Watson"": 13.0, ""D'Andre Swift"": 26.0, ""Dak Prescott"": 9.0, ""Dallas Goedert"": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jordan Addison"": 2.0, ""Quentin Johnston"": 5.0, ""Sean Tucker"": 2.0, ""Zach Charbonnet"": 2.0}"
baseline,5,11,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Caleb Douglas | Chase Brown | Chig Okonkwo | Isaiah Likely | Jahmyr Gibbs | Jaylin Noel | Kaytron Allen | Makai Lemon | Patrick Mahomes | Quentin Johnston | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Caleb Douglas"": 2.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Isaiah Likely"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jaylin Noel"": 2.0, ""Kaytron Allen"": 3.0, ""Makai Lemon"": 5.0, ""Patrick Mahomes"": 4.0, ""Quentin Johnston"": 9.0, ""Zachariah Branch"": 2.0}"
baseline,5,11,pass,True,,261.0,37.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | J.K. Dobbins | Jahmyr Gibbs | Jaylin Noel | Jordan Addison | Makai Lemon | Matthew Stafford | Sam LaPorta | Wan'Dale Robinson | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""D'Andre Swift"": 30.0, ""J.K. Dobbins"": 17.0, ""Jahmyr Gibbs"": 110.0, ""Jaylin Noel"": 2.0, ""Jordan Addison"": 7.0, ""Makai Lemon"": 5.0, ""Matthew Stafford"": 3.0, ""Sam LaPorta"": 16.0, ""Wan'Dale Robinson"": 6.0, ""Zachariah Branch"": 2.0}"
