arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,4,5,pass,True,,235.0,63.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jordan Addison | Jordan James | Khalil Shakir | Omar Cooper Jr. | Rico Dowdle | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 14.0, ""Jameson Williams"": 22.0, ""Jordan Addison"": 6.0, ""Jordan James"": 4.0, ""Khalil Shakir"": 3.0, ""Omar Cooper Jr."": 2.0, ""Rico Dowdle"": 13.0, ""Wan'Dale Robinson"": 8.0}"
baseline,4,6,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Deebo Samuel Sr. | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jalen McMillan | Jordan Addison | Kaelon Black | Trevor Lawrence | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 3.0, ""Jakobi Meyers"": 4.0, ""Jalen McMillan"": 2.0, ""Jordan Addison"": 6.0, ""Kaelon Black"": 2.0, ""Trevor Lawrence"": 3.0, ""Wan'Dale Robinson"": 6.0, ""Zach Charbonnet"": 3.0}"
baseline,4,6,pass,True,,253.0,45.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Germie Bernard | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jordan Mason | Kyle Pitts | Luther Burden III | Rico Dowdle | Wan'Dale Robinson | Zach Charbonnet,"{""Alec Pierce"": 7.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 27.0, ""Jordan Mason"": 7.0, ""Kyle Pitts"": 3.0, ""Luther Burden III"": 21.0, ""Rico Dowdle"": 9.0, ""Wan'Dale Robinson"": 6.0, ""Zach Charbonnet"": 3.0}"
baseline,4,7,buy,True,,292.0,6.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Dallas Goedert | Deebo Samuel Sr. | Jahmyr Gibbs | Jayden Reed | Jerry Jeudy | KC Concepcion | Matthew Golden | Patrick Mahomes | Ray Davis | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 7.0, ""Deebo Samuel Sr."": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 7.0, ""Jerry Jeudy"": 2.0, ""KC Concepcion"": 2.0, ""Matthew Golden"": 4.0, ""Patrick Mahomes"": 3.0, ""Ray Davis"": 2.0, ""Woody Marks"": 3.0}"
baseline,4,7,pass,True,,255.0,43.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Caleb Williams | Chase Brown | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Jordan Mason | KC Concepcion | Luther Burden III | Rico Dowdle | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Caleb Williams"": 5.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 23.0, ""Jordan Mason"": 5.0, ""KC Concepcion"": 2.0, ""Luther Burden III"": 20.0, ""Rico Dowdle"": 16.0, ""Wan'Dale Robinson"": 10.0, ""Zach Charbonnet"": 4.0}"
baseline,4,8,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Courtland Sutton | Jahmyr Gibbs | Jalen Coker | Josh Downs | MarShawn Lloyd | Mark Andrews | Patrick Mahomes | Woody Marks | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Courtland Sutton"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Coker"": 2.0, ""Josh Downs"": 7.0, ""MarShawn Lloyd"": 2.0, ""Mark Andrews"": 3.0, ""Patrick Mahomes"": 2.0, ""Woody Marks"": 3.0, ""Zachariah Branch"": 2.0}"
baseline,4,8,pass,True,,236.0,62.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Courtland Sutton | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jordan Mason | Kyle Monangai | Matthew Golden | Michael Wilson,"{""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Courtland Sutton"": 8.0, ""Harold Fannin Jr."": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jameson Williams"": 19.0, ""Jordan Mason"": 6.0, ""Kyle Monangai"": 4.0, ""Matthew Golden"": 5.0, ""Michael Wilson"": 9.0}"
baseline,4,9,buy,True,,291.0,7.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Braelon Allen | Brock Purdy | Chase Brown | Dallas Goedert | Dalton Schultz | Jahmyr Gibbs | Jakobi Meyers | Jordan James | Makai Lemon | Quentin Johnston | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Braelon Allen"": 3.0, ""Brock Purdy"": 1.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 6.0, ""Dalton Schultz"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jordan James"": 2.0, ""Makai Lemon"": 4.0, ""Quentin Johnston"": 5.0, ""Xavier Worthy"": 1.0}"
baseline,4,9,pass,True,,246.0,52.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Dak Prescott | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jonathon Brooks | Makai Lemon | Rico Dowdle | Romeo Doubs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 22.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 4.0, ""Harold Fannin Jr."": 10.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jonathon Brooks"": 10.0, ""Makai Lemon"": 4.0, ""Rico Dowdle"": 18.0, ""Romeo Doubs"": 1.0, ""Wan'Dale Robinson"": 10.0, ""Zach Charbonnet"": 5.0}"
baseline,4,10,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | George Kittle | Jahmyr Gibbs | Jalen McMillan | Josh Downs | KC Concepcion | Michael Wilson | Zach Charbonnet | Zachariah Branch,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 3.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Josh Downs"": 10.0, ""KC Concepcion"": 5.0, ""Michael Wilson"": 5.0, ""Zach Charbonnet"": 2.0, ""Zachariah Branch"": 2.0}"
