arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,0,0,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Isiah Pacheco | Jahmyr Gibbs | Jake Ferguson | Jayden Reed | Jordan Addison | Makai Lemon | Patrick Mahomes | Stefon Diggs,"{""Aaron Jones"": 7.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Isiah Pacheco"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 6.0, ""Jayden Reed"": 3.0, ""Jordan Addison"": 6.0, ""Makai Lemon"": 4.0, ""Patrick Mahomes"": 2.0, ""Stefon Diggs"": 2.0}"
baseline,0,0,pass,True,,225.0,73.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chris Godwin Jr. | Isiah Pacheco | Jahmyr Gibbs | Jake Ferguson | Jalen Hurts | Jayden Reed | Makai Lemon | Rome Odunze | Wan'Dale Robinson,"{""Aaron Jones"": 7.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 14.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Isiah Pacheco"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 6.0, ""Jalen Hurts"": 6.0, ""Jayden Reed"": 3.0, ""Makai Lemon"": 4.0, ""Rome Odunze"": 16.0, ""Wan'Dale Robinson"": 9.0}"
baseline,0,1,buy,True,,296.0,2.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Deebo Samuel Sr. | Emanuel Wilson | Isaiah Likely | Jahmyr Gibbs | Jakobi Meyers | Jaxson Dart | Khalil Shakir | Tyrone Tracy Jr. | Xavier Worthy | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 4.0, ""Emanuel Wilson"": 2.0, ""Isaiah Likely"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jaxson Dart"": 3.0, ""Khalil Shakir"": 5.0, ""Tyrone Tracy Jr."": 3.0, ""Xavier Worthy"": 4.0, ""Zachariah Branch"": 2.0}"
baseline,0,1,pass,True,,264.0,34.0,0,0,0,0,0,0,0.0,Aaron Jones | Alec Pierce | Bhayshul Tuten | Bucky Irving | Chase Brown | George Kittle | Jahmyr Gibbs | Jameson Williams | Kyle Monangai | Lamar Jackson | Makai Lemon | Michael Wilson | Xavier Worthy,"{""Aaron Jones"": 4.0, ""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Bucky Irving"": 31.0, ""Chase Brown"": 34.0, ""George Kittle"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 15.0, ""Kyle Monangai"": 9.0, ""Lamar Jackson"": 16.0, ""Makai Lemon"": 8.0, ""Michael Wilson"": 8.0, ""Xavier Worthy"": 4.0}"
baseline,0,2,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Calvin Ridley | Chase Brown | Jahmyr Gibbs | Jake Ferguson | Jalen Coker | Jayden Reed | Patrick Mahomes | Rachaad White | Samaje Perine | Terrance Ferguson | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 4.0, ""Jalen Coker"": 4.0, ""Jayden Reed"": 9.0, ""Patrick Mahomes"": 2.0, ""Rachaad White"": 4.0, ""Samaje Perine"": 2.0, ""Terrance Ferguson"": 2.0, ""Wan'Dale Robinson"": 6.0}"
baseline,0,2,pass,True,,251.0,47.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Calvin Ridley | Chase Brown | D'Andre Swift | Harold Fannin Jr. | Jahmyr Gibbs | Lamar Jackson | Michael Pittman | Michael Wilson | Rico Dowdle | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 25.0, ""Harold Fannin Jr."": 8.0, ""Jahmyr Gibbs"": 110.0, ""Lamar Jackson"": 17.0, ""Michael Pittman"": 6.0, ""Michael Wilson"": 11.0, ""Rico Dowdle"": 8.0, ""Wan'Dale Robinson"": 6.0, ""Xavier Worthy"": 5.0}"
baseline,0,3,buy,True,,289.0,9.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chig Okonkwo | Chris Godwin Jr. | Dalton Kincaid | Isiah Pacheco | Jahmyr Gibbs | Justin Herbert | Khalil Shakir | Quentin Johnston | Romeo Doubs | Tre Harris,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Chris Godwin Jr."": 3.0, ""Dalton Kincaid"": 2.0, ""Isiah Pacheco"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Justin Herbert"": 6.0, ""Khalil Shakir"": 6.0, ""Quentin Johnston"": 4.0, ""Romeo Doubs"": 2.0, ""Tre Harris"": 2.0}"
baseline,0,3,pass,True,,266.0,32.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Chris Godwin Jr. | George Kittle | Jahmyr Gibbs | Jayden Reed | Josh Jacobs | Lamar Jackson | Makai Lemon | Quentin Johnston | RJ Harvey | Romeo Doubs,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 12.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""George Kittle"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 5.0, ""Josh Jacobs"": 48.0, ""Lamar Jackson"": 19.0, ""Makai Lemon"": 8.0, ""Quentin Johnston"": 4.0, ""RJ Harvey"": 5.0, ""Romeo Doubs"": 2.0}"
baseline,0,4,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Chris Rodriguez Jr. | Dylan Sampson | George Kittle | Jahmyr Gibbs | Josh Downs | Patrick Mahomes | Romeo Doubs | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Chris Rodriguez Jr."": 4.0, ""Dylan Sampson"": 2.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Josh Downs"": 4.0, ""Patrick Mahomes"": 5.0, ""Romeo Doubs"": 2.0, ""Wan'Dale Robinson"": 7.0, ""Xavier Worthy"": 4.0}"
baseline,0,4,pass,True,,222.0,76.0,0,0,0,0,0,0,0.0,Aaron Jones | Alec Pierce | Bhayshul Tuten | Carnell Tate | Chase Brown | Chris Godwin Jr. | Dak Prescott | George Kittle | Jahmyr Gibbs | Josh Downs | Matthew Golden | Michael Wilson | Tony Pollard,"{""Aaron Jones"": 4.0, ""Alec Pierce"": 7.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Dak Prescott"": 4.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Josh Downs"": 4.0, ""Matthew Golden"": 5.0, ""Michael Wilson"": 9.0, ""Tony Pollard"": 15.0}"
