arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,14,0,buy,True,,248.0,50.0,0,0,0,0,0,0,0.0,Alec Pierce | Alvin Kamara | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | D'Andre Swift | DK Metcalf | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Kyle Pitts | Patrick Mahomes | TreVeyon Henderson,"{""Alec Pierce"": 7.0, ""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""D'Andre Swift"": 33.0, ""DK Metcalf"": 9.0, ""Jahmyr Gibbs"": 108.0, ""Jake Ferguson"": 5.0, ""Jakobi Meyers"": 8.0, ""Kyle Pitts"": 4.0, ""Patrick Mahomes"": 2.0, ""TreVeyon Henderson"": 21.0}"
baseline,14,0,pass,True,,217.0,81.0,0,0,0,0,0,0,0.0,Alec Pierce | Alvin Kamara | Bhayshul Tuten | Carnell Tate | Chase Brown | Chris Godwin Jr. | Chris Rodriguez Jr. | D'Andre Swift | DK Metcalf | Derrick Henry | Jake Ferguson | Jayden Daniels | Kyle Pitts,"{""Alec Pierce"": 7.0, ""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 17.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Chris Rodriguez Jr."": 6.0, ""D'Andre Swift"": 33.0, ""DK Metcalf"": 9.0, ""Derrick Henry"": 70.0, ""Jake Ferguson"": 5.0, ""Jayden Daniels"": 15.0, ""Kyle Pitts"": 4.0}"
baseline,14,1,buy,True,,268.0,30.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | George Kittle | Jacory Croskey-Merritt | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Josh Downs | Luther Burden III | RJ Harvey | Tony Pollard | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 18.0, ""George Kittle"": 7.0, ""Jacory Croskey-Merritt"": 6.0, ""Jahmyr Gibbs"": 108.0, ""Jameson Williams"": 15.0, ""Jayden Daniels"": 11.0, ""Josh Downs"": 3.0, ""Luther Burden III"": 21.0, ""RJ Harvey"": 7.0, ""Tony Pollard"": 24.0, ""Xavier Worthy"": 3.0}"
baseline,14,1,pass,True,,224.0,74.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | DJ Moore | Derrick Henry | George Kittle | Jacory Croskey-Merritt | Jameson Williams | Jayden Daniels | Jaylen Warren | Josh Downs | RJ Harvey | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 24.0, ""Chase Brown"": 34.0, ""DJ Moore"": 18.0, ""Derrick Henry"": 67.0, ""George Kittle"": 7.0, ""Jacory Croskey-Merritt"": 6.0, ""Jameson Williams"": 15.0, ""Jayden Daniels"": 11.0, ""Jaylen Warren"": 18.0, ""Josh Downs"": 3.0, ""RJ Harvey"": 7.0, ""Xavier Worthy"": 3.0}"
baseline,14,2,buy,True,,263.0,35.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | George Kittle | Jahmyr Gibbs | Jayden Daniels | Jordan Addison | Michael Wilson | Quentin Johnston | Tony Pollard,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 12.0, ""D'Andre Swift"": 28.0, ""DK Metcalf"": 8.0, ""George Kittle"": 7.0, ""Jahmyr Gibbs"": 108.0, ""Jayden Daniels"": 16.0, ""Jordan Addison"": 7.0, ""Michael Wilson"": 8.0, ""Quentin Johnston"": 4.0, ""Tony Pollard"": 18.0}"
baseline,14,2,pass,True,,259.0,39.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | Derrick Henry | Emeka Egbuka | George Kittle | Jayden Daniels | Jaylen Warren | Michael Wilson | Quentin Johnston | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 12.0, ""D'Andre Swift"": 28.0, ""DK Metcalf"": 8.0, ""Derrick Henry"": 65.0, ""Emeka Egbuka"": 31.0, ""George Kittle"": 7.0, ""Jayden Daniels"": 16.0, ""Jaylen Warren"": 17.0, ""Michael Wilson"": 8.0, ""Quentin Johnston"": 4.0, ""Tony Pollard"": 18.0}"
baseline,14,3,buy,True,,289.0,9.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DK Metcalf | Dalton Kincaid | Jahmyr Gibbs | Jayden Daniels | Jaylen Waddle | Jaylen Warren | Kaytron Allen | Michael Wilson | Parker Washington | Rhamondre Stevenson | Tetairoa McMillan,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 15.0, ""Dalton Kincaid"": 2.0, ""Jahmyr Gibbs"": 108.0, ""Jayden Daniels"": 17.0, ""Jaylen Waddle"": 20.0, ""Jaylen Warren"": 14.0, ""Kaytron Allen"": 2.0, ""Michael Wilson"": 7.0, ""Parker Washington"": 9.0, ""Rhamondre Stevenson"": 18.0, ""Tetairoa McMillan"": 32.0}"
baseline,14,3,pass,True,,261.0,37.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dalton Kincaid | DeVonta Smith | Derrick Henry | Jayden Daniels | Jaylen Waddle | Jaylen Warren | Kaytron Allen | Michael Wilson | Parker Washington | Rhamondre Stevenson | Tetairoa McMillan,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dalton Kincaid"": 2.0, ""DeVonta Smith"": 33.0, ""Derrick Henry"": 62.0, ""Jayden Daniels"": 17.0, ""Jaylen Waddle"": 20.0, ""Jaylen Warren"": 14.0, ""Kaytron Allen"": 2.0, ""Michael Wilson"": 7.0, ""Parker Washington"": 9.0, ""Rhamondre Stevenson"": 18.0, ""Tetairoa McMillan"": 32.0}"
baseline,14,4,buy,True,,245.0,53.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Jahmyr Gibbs | Jakobi Meyers | Jayden Daniels | Jayden Reed | Jaylen Waddle | Jordan Addison | Khalil Shakir | RJ Harvey | Tony Pollard | Travis Kelce,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 108.0, ""Jakobi Meyers"": 6.0, ""Jayden Daniels"": 16.0, ""Jayden Reed"": 3.0, ""Jaylen Waddle"": 23.0, ""Jordan Addison"": 11.0, ""Khalil Shakir"": 2.0, ""RJ Harvey"": 16.0, ""Tony Pollard"": 11.0, ""Travis Kelce"": 2.0}"
baseline,14,4,pass,True,,237.0,61.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | DeVonta Smith | Derrick Henry | Jameson Williams | Jayden Daniels | Jayden Reed | Jaylen Waddle | Kyle Monangai | Tony Pollard | Travis Kelce,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""DeVonta Smith"": 31.0, ""Derrick Henry"": 63.0, ""Jameson Williams"": 23.0, ""Jayden Daniels"": 16.0, ""Jayden Reed"": 3.0, ""Jaylen Waddle"": 23.0, ""Kyle Monangai"": 4.0, ""Tony Pollard"": 11.0, ""Travis Kelce"": 2.0}"
baseline,14,5,buy,True,,282.0,16.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | Dalton Kincaid | Jahmyr Gibbs | Jared Goff | Michael Wilson | RJ Harvey | Tony Pollard | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Christian Watson"": 13.0, ""D'Andre Swift"": 37.0, ""DK Metcalf"": 9.0, ""Dalton Kincaid"": 2.0, ""Jahmyr Gibbs"": 108.0, ""Jared Goff"": 3.0, ""Michael Wilson"": 13.0, ""RJ Harvey"": 15.0, ""Tony Pollard"": 19.0, ""Wan'Dale Robinson"": 5.0}"
