arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,2,0,buy,True,,297.0,1.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jalen Coker | Jordan James | Matthew Golden | Quentin Johnston | Sean Tucker | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 4.0, ""Chase Brown"": 34.0, ""Harold Fannin Jr."": 12.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jalen Coker"": 3.0, ""Jordan James"": 2.0, ""Matthew Golden"": 2.0, ""Quentin Johnston"": 4.0, ""Sean Tucker"": 2.0, ""Xavier Worthy"": 4.0}"
baseline,2,0,pass,True,,233.0,65.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jaylen Warren | Kyler Murray | Quentin Johnston | Sam LaPorta | Sean Tucker | Tee Higgins | Woody Marks | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jaylen Warren"": 20.0, ""Kyler Murray"": 2.0, ""Quentin Johnston"": 4.0, ""Sam LaPorta"": 4.0, ""Sean Tucker"": 2.0, ""Tee Higgins"": 31.0, ""Woody Marks"": 2.0, ""Xavier Worthy"": 4.0}"
baseline,2,1,buy,True,,292.0,6.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | C.J. Stroud | Caleb Douglas | Chase Brown | Devaughn Vele | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Rashid Shaheed | Stefon Diggs | Tyler Allgeier,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""C.J. Stroud"": 2.0, ""Caleb Douglas"": 3.0, ""Chase Brown"": 34.0, ""Devaughn Vele"": 2.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jordan Addison"": 4.0, ""Rashid Shaheed"": 2.0, ""Stefon Diggs"": 9.0, ""Tyler Allgeier"": 2.0}"
baseline,2,1,pass,True,,252.0,46.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dak Prescott | Emeka Egbuka | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jaydon Blue | Jaylen Warren | Jordan Addison | Rashid Shaheed | Stefon Diggs | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 9.0, ""Emeka Egbuka"": 37.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jaydon Blue"": 2.0, ""Jaylen Warren"": 16.0, ""Jordan Addison"": 4.0, ""Rashid Shaheed"": 2.0, ""Stefon Diggs"": 9.0, ""Wan'Dale Robinson"": 10.0}"
baseline,2,2,buy,True,,290.0,8.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jayden Reed | Jonah Coleman | Kenny Gainwell | Patrick Mahomes | Xavier Worthy | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 4.0, ""Jayden Reed"": 5.0, ""Jonah Coleman"": 2.0, ""Kenny Gainwell"": 4.0, ""Patrick Mahomes"": 3.0, ""Xavier Worthy"": 5.0, ""Zachariah Branch"": 3.0}"
baseline,2,2,pass,True,,214.0,84.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Dak Prescott | J.K. Dobbins | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jayden Reed | Jaylen Warren | Kenny Gainwell | Rashid Shaheed | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Dak Prescott"": 8.0, ""J.K. Dobbins"": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 4.0, ""Jayden Reed"": 5.0, ""Jaylen Warren"": 15.0, ""Kenny Gainwell"": 4.0, ""Rashid Shaheed"": 2.0, ""Xavier Worthy"": 5.0}"
baseline,2,3,buy,True,,297.0,1.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Deebo Samuel Sr. | Jahmyr Gibbs | Jake Ferguson | Justin Herbert | KC Concepcion | Khalil Shakir | Terrance Ferguson | Xavier Worthy,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Deebo Samuel Sr."": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Justin Herbert"": 6.0, ""KC Concepcion"": 2.0, ""Khalil Shakir"": 5.0, ""Terrance Ferguson"": 2.0, ""Xavier Worthy"": 3.0}"
baseline,2,3,pass,True,,252.0,46.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Chase Brown | Dak Prescott | Jahmyr Gibbs | Jakobi Meyers | Jonathon Brooks | KC Concepcion | Michael Pittman | Sam LaPorta | TreVeyon Henderson | Wan'Dale Robinson | Xavier Worthy,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jonathon Brooks"": 9.0, ""KC Concepcion"": 2.0, ""Michael Pittman"": 14.0, ""Sam LaPorta"": 13.0, ""TreVeyon Henderson"": 32.0, ""Wan'Dale Robinson"": 6.0, ""Xavier Worthy"": 3.0}"
baseline,2,4,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | Jahmyr Gibbs | Jayden Reed | Jonah Coleman | Matthew Golden | Patrick Mahomes | Rashid Shaheed | Terrance Ferguson | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 8.0, ""Jonah Coleman"": 2.0, ""Matthew Golden"": 7.0, ""Patrick Mahomes"": 3.0, ""Rashid Shaheed"": 2.0, ""Terrance Ferguson"": 2.0, ""Wan'Dale Robinson"": 3.0, ""Xavier Worthy"": 4.0}"
baseline,2,4,pass,True,,255.0,43.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | D'Andre Swift | Jahmyr Gibbs | Kenny Gainwell | Omar Cooper Jr. | Patrick Mahomes | RJ Harvey | Rashid Shaheed | Tee Higgins | Terrance Ferguson | Wan'Dale Robinson | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 33.0, ""Jahmyr Gibbs"": 110.0, ""Kenny Gainwell"": 7.0, ""Omar Cooper Jr."": 4.0, ""Patrick Mahomes"": 3.0, ""RJ Harvey"": 6.0, ""Rashid Shaheed"": 2.0, ""Tee Higgins"": 36.0, ""Terrance Ferguson"": 2.0, ""Wan'Dale Robinson"": 3.0, ""Xavier Worthy"": 4.0}"
baseline,2,5,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | George Kittle | Jahmyr Gibbs | Jaxson Dart | Jayden Reed | Juwan Johnson | KC Concepcion | Khalil Shakir | Michael Pittman | Nicholas Singleton | Ty Johnson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jaxson Dart"": 4.0, ""Jayden Reed"": 2.0, ""Juwan Johnson"": 2.0, ""KC Concepcion"": 2.0, ""Khalil Shakir"": 5.0, ""Michael Pittman"": 14.0, ""Nicholas Singleton"": 2.0, ""Ty Johnson"": 2.0}"
