arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,1,5,pass,True,,194.0,104.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | George Kittle | Jalen Hurts | Jaylen Waddle | Kyren Williams | Ladd McConkey | Makai Lemon | Rachaad White | Rico Dowdle | Zach Charbonnet,"{""Alec Pierce"": 10.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 10.0, ""George Kittle"": 2.0, ""Jalen Hurts"": 10.0, ""Jaylen Waddle"": 20.0, ""Kyren Williams"": 44.0, ""Ladd McConkey"": 27.0, ""Makai Lemon"": 6.0, ""Rachaad White"": 9.0, ""Rico Dowdle"": 9.0, ""Zach Charbonnet"": 2.0}"
baseline,1,6,buy,True,,240.0,58.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | J.K. Dobbins | Jahmyr Gibbs | Jalen Hurts | Jameson Williams | Jaylen Warren | Jordan Addison | Josh Downs | Kyle Pitts | Rashid Shaheed | Tyrone Tracy Jr.,"{""Alec Pierce"": 9.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""J.K. Dobbins"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 11.0, ""Jameson Williams"": 15.0, ""Jaylen Warren"": 15.0, ""Jordan Addison"": 9.0, ""Josh Downs"": 9.0, ""Kyle Pitts"": 6.0, ""Rashid Shaheed"": 2.0, ""Tyrone Tracy Jr."": 2.0}"
baseline,1,6,pass,True,,186.0,112.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | J.K. Dobbins | Jalen Hurts | Jaylen Warren | Jordan Addison | Josh Downs | Kyle Pitts | Kyren Williams | Luther Burden III | Rashid Shaheed | Zach Charbonnet,"{""Alec Pierce"": 9.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""J.K. Dobbins"": 7.0, ""Jalen Hurts"": 11.0, ""Jaylen Warren"": 15.0, ""Jordan Addison"": 9.0, ""Josh Downs"": 9.0, ""Kyle Pitts"": 6.0, ""Kyren Williams"": 52.0, ""Luther Burden III"": 19.0, ""Rashid Shaheed"": 2.0, ""Zach Charbonnet"": 2.0}"
baseline,1,7,buy,True,,247.0,51.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Chase Brown | Christian Watson | Dallas Goedert | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jordan Addison | Rachaad White | Rashid Shaheed | Rico Dowdle | Rome Odunze,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""Dallas Goedert"": 8.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 12.0, ""Jordan Addison"": 6.0, ""Rachaad White"": 6.0, ""Rashid Shaheed"": 3.0, ""Rico Dowdle"": 14.0, ""Rome Odunze"": 19.0}"
baseline,1,7,pass,True,,249.0,49.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Chase Brown | Christian Watson | Dallas Goedert | Derrick Henry | Harold Fannin Jr. | Jalen Hurts | Jordan Addison | Kyren Williams | Rashid Shaheed | Rico Dowdle | Rome Odunze,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""Dallas Goedert"": 8.0, ""Derrick Henry"": 67.0, ""Harold Fannin Jr."": 7.0, ""Jalen Hurts"": 12.0, ""Jordan Addison"": 6.0, ""Kyren Williams"": 51.0, ""Rashid Shaheed"": 3.0, ""Rico Dowdle"": 14.0, ""Rome Odunze"": 19.0}"
baseline,1,8,buy,True,,263.0,35.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Jahmyr Gibbs | Jalen Hurts | Jaylen Warren | Jonathon Brooks | Jordan Addison | Kyle Pitts | Quentin Johnston | Rachaad White | Rome Odunze,"{""Alec Pierce"": 11.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 10.0, ""Jaylen Warren"": 19.0, ""Jonathon Brooks"": 13.0, ""Jordan Addison"": 5.0, ""Kyle Pitts"": 9.0, ""Quentin Johnston"": 6.0, ""Rachaad White"": 11.0, ""Rome Odunze"": 21.0}"
baseline,1,8,pass,True,,139.0,159.0,0,0,0,0,0,0,0.0,Aaron Jones | Alec Pierce | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Harold Fannin Jr. | Jalen Hurts | Jonathon Brooks | Jordan Addison | Luther Burden III | Quentin Johnston | Rachaad White | Zach Charbonnet,"{""Aaron Jones"": 5.0, ""Alec Pierce"": 11.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Harold Fannin Jr."": 8.0, ""Jalen Hurts"": 10.0, ""Jonathon Brooks"": 13.0, ""Jordan Addison"": 5.0, ""Luther Burden III"": 20.0, ""Quentin Johnston"": 6.0, ""Rachaad White"": 11.0, ""Zach Charbonnet"": 2.0}"
baseline,1,9,buy,True,,250.0,48.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | George Kittle | Jahmyr Gibbs | Jalen Hurts | Jonathon Brooks | Josh Downs | Keenan Allen | Rashid Shaheed | Rhamondre Stevenson | Tee Higgins | Tre Tucker,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 12.0, ""Jonathon Brooks"": 10.0, ""Josh Downs"": 9.0, ""Keenan Allen"": 2.0, ""Rashid Shaheed"": 3.0, ""Rhamondre Stevenson"": 15.0, ""Tee Higgins"": 30.0, ""Tre Tucker"": 2.0}"
baseline,1,9,pass,True,,178.0,120.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Chris Olave | Harold Fannin Jr. | Jalen Hurts | Jaylen Warren | Jonathon Brooks | Keenan Allen | Rachaad White | Rashid Shaheed | Tee Higgins | Tre Tucker,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Chris Olave"": 36.0, ""Harold Fannin Jr."": 10.0, ""Jalen Hurts"": 12.0, ""Jaylen Warren"": 15.0, ""Jonathon Brooks"": 10.0, ""Keenan Allen"": 2.0, ""Rachaad White"": 4.0, ""Rashid Shaheed"": 3.0, ""Tee Higgins"": 30.0, ""Tre Tucker"": 2.0}"
baseline,1,10,buy,True,,249.0,49.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | Courtland Sutton | Emeka Egbuka | Jahmyr Gibbs | Jaylin Noel | Jonah Coleman | Jonathon Brooks | Josh Downs | Justin Herbert | Kyle Pitts | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 19.0, ""Courtland Sutton"": 8.0, ""Emeka Egbuka"": 25.0, ""Jahmyr Gibbs"": 110.0, ""Jaylin Noel"": 2.0, ""Jonah Coleman"": 2.0, ""Jonathon Brooks"": 7.0, ""Josh Downs"": 3.0, ""Justin Herbert"": 4.0, ""Kyle Pitts"": 9.0, ""Tony Pollard"": 15.0}"
