arm,variation,branch,paths,completion_rate,mean_spend,mean_unused,median_unused,p90_unused,max_unused,mean_full_replans,mean_budget_replans,mean_bounded_triggers,mean_bounded_swaps,mean_bounded_rebuilds,mean_guard_rejections
baseline,14,buy,32,1.0,255.28125,42.71875,39.0,72.00000000000003,84.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,14,pass,32,1.0,214.15625,83.84375,88.5,125.30000000000001,151.0,0.0,0.0,0.0,0.0,0.0,0.0
