arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,5,5,pass,True,,168.0,130.0,0,0,0,0,0,0,0.0,Alec Pierce | Alvin Kamara | Amon-Ra St. Brown | Bhayshul Tuten | Chase Brown | Chig Okonkwo | Courtland Sutton | Dak Prescott | Jordan Addison | Khalil Shakir | Kyle Pitts | RJ Harvey | Zach Charbonnet,"{""Alec Pierce"": 11.0, ""Alvin Kamara"": 3.0, ""Amon-Ra St. Brown"": 65.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Courtland Sutton"": 8.0, ""Dak Prescott"": 7.0, ""Jordan Addison"": 6.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 11.0, ""RJ Harvey"": 6.0, ""Zach Charbonnet"": 2.0}"
baseline,5,6,buy,True,,285.0,13.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Christian Watson | Chuba Hubbard | D'Andre Swift | Dak Prescott | Jahmyr Gibbs | Jordan Addison | Kyle Pitts | Luther Burden III | Rico Dowdle | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 9.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""Chuba Hubbard"": 10.0, ""D'Andre Swift"": 29.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 8.0, ""Kyle Pitts"": 13.0, ""Luther Burden III"": 22.0, ""Rico Dowdle"": 11.0, ""Wan'Dale Robinson"": 10.0}"
baseline,5,6,pass,True,,273.0,25.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | Dak Prescott | Derrick Henry | Jordan Addison | KC Concepcion | Kyle Pitts | Kyren Williams | Luther Burden III | Rico Dowdle | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""D'Andre Swift"": 29.0, ""Dak Prescott"": 7.0, ""Derrick Henry"": 61.0, ""Jordan Addison"": 8.0, ""KC Concepcion"": 4.0, ""Kyle Pitts"": 13.0, ""Kyren Williams"": 52.0, ""Luther Burden III"": 22.0, ""Rico Dowdle"": 11.0, ""Wan'Dale Robinson"": 10.0}"
baseline,5,7,buy,True,,238.0,60.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Carnell Tate | Chase Brown | Chuba Hubbard | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jauan Jennings | Jordan Addison | Josh Downs | Kyle Pitts | RJ Harvey | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jauan Jennings"": 2.0, ""Jordan Addison"": 7.0, ""Josh Downs"": 3.0, ""Kyle Pitts"": 11.0, ""RJ Harvey"": 10.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,7,pass,True,,226.0,72.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chuba Hubbard | DK Metcalf | Dak Prescott | Derrick Henry | Isaiah Likely | Jauan Jennings | Jordan Addison | Josh Downs | Kyle Pitts | Kyren Williams | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 9.0, ""Derrick Henry"": 69.0, ""Isaiah Likely"": 6.0, ""Jauan Jennings"": 2.0, ""Jordan Addison"": 7.0, ""Josh Downs"": 3.0, ""Kyle Pitts"": 11.0, ""Kyren Williams"": 46.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,8,buy,True,,264.0,34.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dak Prescott | Harold Fannin Jr. | Jadarian Price | Jahmyr Gibbs | Jonathon Brooks | Jordan Addison | Ladd McConkey | Luther Burden III | Romeo Doubs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 8.0, ""Harold Fannin Jr."": 7.0, ""Jadarian Price"": 22.0, ""Jahmyr Gibbs"": 110.0, ""Jonathon Brooks"": 7.0, ""Jordan Addison"": 4.0, ""Ladd McConkey"": 28.0, ""Luther Burden III"": 20.0, ""Romeo Doubs"": 2.0, ""Wan'Dale Robinson"": 9.0, ""Zach Charbonnet"": 2.0}"
baseline,5,8,pass,True,,230.0,68.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | Dak Prescott | DeVonta Smith | Harold Fannin Jr. | Jonathon Brooks | Jordan Addison | Josh Downs | Romeo Doubs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 108.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 8.0, ""DeVonta Smith"": 31.0, ""Harold Fannin Jr."": 7.0, ""Jonathon Brooks"": 7.0, ""Jordan Addison"": 4.0, ""Josh Downs"": 5.0, ""Romeo Doubs"": 2.0, ""Wan'Dale Robinson"": 9.0, ""Zach Charbonnet"": 2.0}"
baseline,5,9,buy,True,,273.0,25.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bucky Irving | Chase Brown | Dak Prescott | Jahmyr Gibbs | Jordan Addison | Jordyn Tyson | Kyle Pitts | Ladd McConkey | Rashid Shaheed | Rico Dowdle | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bucky Irving"": 29.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 7.0, ""Jordyn Tyson"": 13.0, ""Kyle Pitts"": 10.0, ""Ladd McConkey"": 28.0, ""Rashid Shaheed"": 3.0, ""Rico Dowdle"": 11.0, ""Wan'Dale Robinson"": 10.0, ""Zach Charbonnet"": 2.0}"
baseline,5,9,pass,True,,286.0,12.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Bucky Irving | Chase Brown | D'Andre Swift | Dak Prescott | Jordan Addison | KC Concepcion | Kyle Pitts | Kyren Williams | Puka Nacua | Rashid Shaheed | Wan'Dale Robinson,"{""Aaron Jones"": 12.0, ""Bhayshul Tuten"": 11.0, ""Bucky Irving"": 29.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 36.0, ""Dak Prescott"": 5.0, ""Jordan Addison"": 7.0, ""KC Concepcion"": 3.0, ""Kyle Pitts"": 10.0, ""Kyren Williams"": 53.0, ""Puka Nacua"": 73.0, ""Rashid Shaheed"": 3.0, ""Wan'Dale Robinson"": 10.0}"
baseline,5,10,buy,True,,227.0,71.0,0,0,0,0,0,0,0.0,Aaron Jones | Antonio Williams | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Christian Watson | D'Andre Swift | Dak Prescott | Dallas Goedert | Jahmyr Gibbs | Jordan Addison | Quentin Johnston | Zach Charbonnet,"{""Aaron Jones"": 6.0, ""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Christian Watson"": 13.0, ""D'Andre Swift"": 26.0, ""Dak Prescott"": 9.0, ""Dallas Goedert"": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 2.0, ""Quentin Johnston"": 5.0, ""Zach Charbonnet"": 2.0}"
