arm,variation,price,recommendation,gain,se,lcb80,buy_ev,pass_ev,buy_completion,pass_completion,paired_rate,block_positive_rate,runtime_seconds
baseline,0,105,TARGET,22.5990102074363,7.998612020778911,15.867208491637214,1652.461203257243,1629.8621930498064,100.0,97.91666666666667,97.91666666666667,100.0,0.41786529996898025
slack_replan,0,105,PASS,-10.377278526624044,8.377105764954683,-17.427628614295976,1655.0422412157059,1665.4195197423298,100.0,100.0,100.0,25.0,1.450523100036662
baseline,1,105,TARGET,23.071837204875365,7.051147255324789,17.13744195374465,1654.52953043851,1631.4576932336345,97.91666666666667,100.0,97.91666666666667,100.0,0.42947269999422133
slack_replan,1,105,WATCH,1.9982036677273838,7.431235073055102,-4.256081561427557,1656.6894433353887,1654.6912396676612,97.91666666666667,100.0,97.91666666666667,50.0,1.3762274000328034
baseline,2,105,TARGET,25.964711864789326,7.854829186945923,19.35392083496737,1648.9465985298157,1622.9818866650264,100.0,100.0,100.0,100.0,0.4341525000054389
slack_replan,2,105,PASS,-5.313778519630432,6.919728065337491,-11.137568589968886,1652.9751923878987,1658.2889709075293,100.0,100.0,100.0,25.0,1.3525090999901295
baseline,3,105,TARGET,22.444781827204157,7.306240224625169,16.295694916575076,1661.653093923222,1639.2083120960176,97.91666666666667,97.91666666666667,97.91666666666667,100.0,0.41859760001534596
slack_replan,3,105,WATCH,3.4237386168855615,6.992335703893686,-2.4611595837813747,1664.3435667464228,1660.9198281295373,97.91666666666667,100.0,97.91666666666667,50.0,1.3100031000212766
baseline,4,105,TARGET,17.324307878812153,9.604023197571587,9.241358028009069,1663.2496396303175,1645.9253317515054,100.0,100.0,100.0,75.0,0.4328698000172153
slack_replan,4,105,PASS,-17.621789375940956,7.488221929299101,-23.924035953345413,1662.7152338822684,1680.3370232582095,100.0,100.0,100.0,0.0,1.378673399973195
baseline,5,105,TARGET,31.639610687891643,7.657272097557865,25.195087899341537,1663.353751341502,1631.7141406536102,100.0,100.0,100.0,100.0,0.4311181000084616
slack_replan,5,105,TARGET,6.992969950040181,7.6926707564791235,0.5186548985019375,1667.2686214049659,1660.2756514549255,100.0,100.0,100.0,75.0,1.3842986999661662
baseline,6,105,TARGET,9.840630316734314,11.625405466603816,0.05644222714590974,1647.2921071847281,1637.4514768679937,97.91666666666667,97.91666666666667,95.83333333333333,75.0,0.42231160000665113
slack_replan,6,105,PASS,-3.382529573007064,13.295254886371529,-14.572098391141386,1650.4341934630365,1653.8167230360436,97.91666666666667,100.0,97.91666666666667,75.0,1.3151703999610618
baseline,14,105,TARGET,27.444371736410893,6.778646713786761,21.739318727198697,1653.160770813624,1625.7163990772133,97.91666666666667,100.0,97.91666666666667,100.0,0.41862479998962954
slack_replan,14,105,WATCH,3.220452442313687,9.996875123974384,-5.193129931400015,1657.4696290601382,1654.2491766178246,97.91666666666667,100.0,97.91666666666667,50.0,1.4594845999963582
