arm,variation,branch,paths,completion_rate,mean_spend,mean_unused,median_unused,p90_unused,max_unused,mean_full_replans,mean_budget_replans,mean_bounded_triggers,mean_bounded_swaps,mean_bounded_rebuilds,mean_guard_rejections
baseline,14,buy,48,1.0,294.0833333333333,3.9166666666666665,3.5,7.300000000000004,13.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,14,pass,48,1.0,256.0,42.0,40.5,66.60000000000001,81.0,0.0,0.0,0.0,0.0,0.0,0.0
