arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,max_projected_slack,roster,salary_map
slack_replan,5,5,pass,True,,267.0,31.0,6,3,23.992805019268644,Alec Pierce | Bhayshul Tuten | Bucky Irving | Carnell Tate | Chase Brown | Courtland Sutton | Dak Prescott | Jahmyr Gibbs | Jordan Addison | Khalil Shakir | Kyle Pitts | Michael Wilson | RJ Harvey,"{""Alec Pierce"": 11.0, ""Bhayshul Tuten"": 11.0, ""Bucky Irving"": 33.0, ""Carnell Tate"": 23.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 8.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 6.0, ""Khalil Shakir"": 2.0, ""Kyle Pitts"": 11.0, ""Michael Wilson"": 5.0, ""RJ Harvey"": 6.0}"
slack_replan,5,6,buy,True,,296.0,2.0,1,1,6.268795058079547,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Germie Bernard | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jordan Addison | KC Concepcion | Kaelon Black | Khalil Shakir,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 3.0, ""Chase Brown"": 34.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 4.0, ""Jakobi Meyers"": 2.0, ""Jordan Addison"": 8.0, ""KC Concepcion"": 4.0, ""Kaelon Black"": 3.0, ""Khalil Shakir"": 7.0}"
slack_replan,5,6,pass,True,,297.0,1.0,2,2,7.48573628915176,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Christian Watson | D'Andre Swift | DK Metcalf | Jahmyr Gibbs | Jordan Addison | Kyle Pitts | Lamar Jackson | Rhamondre Stevenson | TreVeyon Henderson | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 9.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""D'Andre Swift"": 29.0, ""DK Metcalf"": 14.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 8.0, ""Kyle Pitts"": 13.0, ""Lamar Jackson"": 13.0, ""Rhamondre Stevenson"": 15.0, ""TreVeyon Henderson"": 20.0, ""Wan'Dale Robinson"": 10.0}"
slack_replan,5,7,buy,True,,297.0,1.0,0,0,3.9443037895188695,Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Isaiah Likely | Ja'Kobi Lane | Jahmyr Gibbs | Josh Downs | Kenyon Sadiq | Makai Lemon | Tre Harris | Tyler Allgeier | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 4.0, ""Chase Brown"": 34.0, ""Isaiah Likely"": 6.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Josh Downs"": 3.0, ""Kenyon Sadiq"": 2.0, ""Makai Lemon"": 8.0, ""Tre Harris"": 2.0, ""Tyler Allgeier"": 3.0, ""Wan'Dale Robinson"": 7.0}"
slack_replan,5,7,pass,True,,297.0,1.0,5,2,14.671615322009472,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chuba Hubbard | DK Metcalf | Dak Prescott | J.K. Dobbins | Jahmyr Gibbs | Jameson Williams | Jaylen Warren | Kyle Pitts | Wan'Dale Robinson,"{""Alec Pierce"": 14.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 16.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 9.0, ""J.K. Dobbins"": 9.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 25.0, ""Jaylen Warren"": 30.0, ""Kyle Pitts"": 11.0, ""Wan'Dale Robinson"": 7.0}"
slack_replan,5,8,buy,True,,294.0,4.0,0,0,4.025316872889846,Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Dallas Goedert | Germie Bernard | Jahmyr Gibbs | Jordan Addison | Justice Hill | Romeo Doubs | Stefon Diggs | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 3.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 4.0, ""Germie Bernard"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Justice Hill"": 2.0, ""Romeo Doubs"": 2.0, ""Stefon Diggs"": 6.0, ""Wan'Dale Robinson"": 9.0, ""Zach Charbonnet"": 2.0}"
slack_replan,5,8,pass,True,,273.0,25.0,12,6,21.933436085084054,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | DK Metcalf | Harold Fannin Jr. | Jahmyr Gibbs | Jonathon Brooks | Jordan Addison | Josh Allen | Kyle Pitts | Quentin Johnston | Wan'Dale Robinson,"{""Alec Pierce"": 13.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 13.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jonathon Brooks"": 7.0, ""Jordan Addison"": 4.0, ""Josh Allen"": 37.0, ""Kyle Pitts"": 9.0, ""Quentin Johnston"": 8.0, ""Wan'Dale Robinson"": 9.0}"
slack_replan,5,9,buy,True,,296.0,2.0,1,0,4.297600746204239,Bhayshul Tuten | Bijan Robinson | C.J. Stroud | Chase Brown | Chris Godwin Jr. | Chris Rodriguez Jr. | Dallas Goedert | Deebo Samuel Sr. | Jahmyr Gibbs | Omar Cooper Jr. | Rashid Shaheed | Stefon Diggs | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""C.J. Stroud"": 3.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Chris Rodriguez Jr."": 5.0, ""Dallas Goedert"": 5.0, ""Deebo Samuel Sr."": 2.0, ""Jahmyr Gibbs"": 110.0, ""Omar Cooper Jr."": 3.0, ""Rashid Shaheed"": 3.0, ""Stefon Diggs"": 4.0, ""Zach Charbonnet"": 2.0}"
slack_replan,5,9,pass,True,,288.0,10.0,10,4,8.717834430632479,Alec Pierce | Bhayshul Tuten | Chase Brown | DK Metcalf | Dak Prescott | Jacory Croskey-Merritt | Jadarian Price | Jahmyr Gibbs | Jordan Addison | Kyle Pitts | Rico Dowdle | Tee Higgins | Wan'Dale Robinson,"{""Alec Pierce"": 11.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 17.0, ""Dak Prescott"": 5.0, ""Jacory Croskey-Merritt"": 9.0, ""Jadarian Price"": 19.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 7.0, ""Kyle Pitts"": 10.0, ""Rico Dowdle"": 11.0, ""Tee Higgins"": 34.0, ""Wan'Dale Robinson"": 10.0}"
slack_replan,5,10,buy,True,,295.0,3.0,0,0,4.008767904184765,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Cade Otton | Caleb Williams | Chase Brown | Chig Okonkwo | Chris Godwin Jr. | Jahmyr Gibbs | Jordan Addison | Michael Pittman | Samaje Perine | Zach Charbonnet,"{""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Cade Otton"": 2.0, ""Caleb Williams"": 7.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Chris Godwin Jr."": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 2.0, ""Michael Pittman"": 12.0, ""Samaje Perine"": 3.0, ""Zach Charbonnet"": 2.0}"
