arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
bounded_replan,2,5,pass,True,,285.0,13.0,0,0,7,6,0,0,42.392623773097,Bhayshul Tuten | Chase Brown | DK Metcalf | George Kittle | Jahmyr Gibbs | Jaxson Dart | Jayden Reed | Jaylen Warren | Jonathon Brooks | Josh Downs | Kyren Williams | Quentin Johnston | Tee Higgins,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 7.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jaxson Dart"": 4.0, ""Jayden Reed"": 2.0, ""Jaylen Warren"": 19.0, ""Jonathon Brooks"": 11.0, ""Josh Downs"": 5.0, ""Kyren Williams"": 51.0, ""Quentin Johnston"": 8.0, ""Tee Higgins"": 21.0}"
bounded_replan,2,6,buy,True,,298.0,0.0,0,0,0,0,0,0,3.9693989229060094,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Isaiah Likely | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jaxson Dart | Jayden Reed | Kaelon Black | Rashid Shaheed | Sean Tucker,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 8.0, ""Isaiah Likely"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 4.0, ""Jakobi Meyers"": 5.0, ""Jaxson Dart"": 5.0, ""Jayden Reed"": 3.0, ""Kaelon Black"": 2.0, ""Rashid Shaheed"": 3.0, ""Sean Tucker"": 2.0}"
bounded_replan,2,6,pass,True,,287.0,11.0,0,0,11,11,0,0,35.24928804532186,Bhayshul Tuten | Chase Brown | DJ Moore | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Jaxson Dart | Jayden Reed | Jaylen Warren | Malik Nabers | Michael Wilson | Rico Dowdle | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 21.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 4.0, ""Jakobi Meyers"": 5.0, ""Jaxson Dart"": 5.0, ""Jayden Reed"": 3.0, ""Jaylen Warren"": 20.0, ""Malik Nabers"": 34.0, ""Michael Wilson"": 7.0, ""Rico Dowdle"": 9.0, ""TreVeyon Henderson"": 24.0}"
bounded_replan,2,7,buy,True,,294.0,4.0,0,0,1,1,0,0,6.97445183300232,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chig Okonkwo | Chris Godwin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jalen Coker | Jaxson Dart | Josh Downs | Quentin Johnston | Tank Bigsby | Ty Johnson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Chris Godwin Jr."": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jalen Coker"": 3.0, ""Jaxson Dart"": 4.0, ""Josh Downs"": 5.0, ""Quentin Johnston"": 6.0, ""Tank Bigsby"": 2.0, ""Ty Johnson"": 2.0}"
bounded_replan,2,7,pass,True,,260.0,38.0,0,0,10,8,0,0,37.7270653365926,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chris Godwin Jr. | Chuba Hubbard | D'Andre Swift | George Kittle | Jahmyr Gibbs | Jaxson Dart | Josh Downs | Kenny Gainwell | Quentin Johnston | Tee Higgins,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Chuba Hubbard"": 12.0, ""D'Andre Swift"": 25.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jaxson Dart"": 4.0, ""Josh Downs"": 5.0, ""Kenny Gainwell"": 7.0, ""Quentin Johnston"": 6.0, ""Tee Higgins"": 31.0}"
bounded_replan,2,8,buy,True,,295.0,3.0,0,0,0,0,0,0,4.982662167754825,Bhayshul Tuten | Bijan Robinson | Cade Otton | Chase Brown | Dak Prescott | Jahmyr Gibbs | Jakobi Meyers | Jordan James | KC Concepcion | MarShawn Lloyd | Rashid Shaheed | Romeo Doubs | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Cade Otton"": 2.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jordan James"": 2.0, ""KC Concepcion"": 3.0, ""MarShawn Lloyd"": 3.0, ""Rashid Shaheed"": 2.0, ""Romeo Doubs"": 4.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,8,pass,True,,242.0,56.0,0,0,14,16,0,0,56.9826556526877,Alec Pierce | Bhayshul Tuten | Chase Brown | Isaiah Likely | Jacory Croskey-Merritt | Jahmyr Gibbs | Jakobi Meyers | Jalen Hurts | Jameson Williams | Michael Wilson | RJ Harvey | Rachaad White | Xavier Worthy,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Isaiah Likely"": 3.0, ""Jacory Croskey-Merritt"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jalen Hurts"": 14.0, ""Jameson Williams"": 27.0, ""Michael Wilson"": 8.0, ""RJ Harvey"": 6.0, ""Rachaad White"": 5.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,9,buy,True,,296.0,2.0,0,0,0,0,0,0,5.915381263130598,Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Chig Okonkwo | Dalton Schultz | Ja'Kobi Lane | Jahmyr Gibbs | Jakobi Meyers | Jalen Coker | Makai Lemon | Quentin Johnston | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 4.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Dalton Schultz"": 2.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 3.0, ""Jalen Coker"": 4.0, ""Makai Lemon"": 10.0, ""Quentin Johnston"": 5.0, ""Xavier Worthy"": 4.0}"
bounded_replan,2,9,pass,True,,277.0,21.0,0,0,9,8,0,0,22.03766310430308,Bhayshul Tuten | Chase Brown | D'Andre Swift | De'Zhaun Stribling | Jahmyr Gibbs | Jakobi Meyers | Jalen Hurts | Jaylen Warren | Jonathon Brooks | Quentin Johnston | Sam LaPorta | Tee Higgins | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 29.0, ""De'Zhaun Stribling"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 3.0, ""Jalen Hurts"": 9.0, ""Jaylen Warren"": 14.0, ""Jonathon Brooks"": 9.0, ""Quentin Johnston"": 5.0, ""Sam LaPorta"": 13.0, ""Tee Higgins"": 30.0, ""Wan'Dale Robinson"": 8.0}"
bounded_replan,2,10,buy,True,,296.0,2.0,0,0,0,0,0,0,2.9788170941242242,Bhayshul Tuten | Bijan Robinson | Caleb Williams | Chase Brown | Dalton Schultz | Demond Claiborne | Jahmyr Gibbs | Jayden Reed | Jordan Addison | Josh Downs | Omar Cooper Jr. | Quentin Johnston | Tyrone Tracy Jr.,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Caleb Williams"": 8.0, ""Chase Brown"": 34.0, ""Dalton Schultz"": 2.0, ""Demond Claiborne"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 4.0, ""Jordan Addison"": 3.0, ""Josh Downs"": 8.0, ""Omar Cooper Jr."": 2.0, ""Quentin Johnston"": 4.0, ""Tyrone Tracy Jr."": 3.0}"
