variation,exact_gain,exact_lcb80,exact_decision,bounded_gain,bounded_lcb80,bounded_decision,bounded_pass_ev,bounded_pass_unused,bounded_pass_completion,bounded_runtime_seconds
0,-10.3773,-17.4276,PASS,-12.5514,-19.2327,PASS,1665.4336,19.729,1.0,0.688
1,1.9982,-4.2561,WATCH,1.6671,-4.5554,WATCH,1653.7210,27.583,1.0,0.661
2,-5.3138,-11.1376,PASS,-5.3856,-11.2250,PASS,1656.2576,20.896,1.0,0.667
3,3.4237,-2.4612,WATCH,6.2997,0.2316,TARGET,1658.3424,25.511,0.979167,0.643
4,-17.6218,-23.9240,PASS,-16.0035,-22.4180,PASS,1680.6448,21.063,1.0,0.671
5,6.9930,0.5187,TARGET,10.4524,3.8853,TARGET,1655.3779,25.583,1.0,0.677
6,-3.3825,-14.5721,PASS,-1.5491,-12.1672,PASS,1650.3185,21.149,0.979167,0.655
14,3.2205,-5.1931,WATCH,1.4679,-5.4912,WATCH,1653.4035,20.958,1.0,0.669
