arm,variation,branch,paths,completion_rate,mean_spend,mean_unused,median_unused,p90_unused,max_unused,mean_full_replans,mean_budget_replans,mean_bounded_triggers,mean_bounded_swaps,mean_bounded_rebuilds,mean_guard_rejections
baseline,1,buy,48,1.0,251.375,46.625,46.5,65.30000000000001,81.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1,pass,48,1.0,217.08333333333334,80.91666666666667,85.5,120.30000000000001,159.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2,buy,48,0.9791666666666666,257.4468085106383,40.5531914893617,41.0,62.999999999999986,95.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2,pass,48,0.9791666666666666,222.93617021276594,75.06382978723404,65.0,116.6,153.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,3,buy,48,0.9583333333333334,257.3478260869565,40.65217391304348,38.0,61.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,3,pass,48,0.9791666666666666,217.74468085106383,80.25531914893617,79.0,119.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,4,buy,48,1.0,253.47916666666666,44.520833333333336,40.5,67.50000000000003,81.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,4,pass,48,1.0,222.04166666666666,75.95833333333333,79.0,120.30000000000001,132.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,5,buy,48,1.0,250.58333333333334,47.416666666666664,45.0,68.20000000000002,78.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,5,pass,48,1.0,213.375,84.625,83.5,124.30000000000001,158.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,6,buy,48,0.9791666666666666,260.29787234042556,37.702127659574465,34.0,59.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,6,pass,48,1.0,231.125,66.875,65.5,115.40000000000003,164.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,14,buy,48,0.9791666666666666,253.6595744680851,44.340425531914896,42.0,66.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,14,pass,48,0.9791666666666666,219.48936170212767,78.51063829787235,67.0,128.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
