arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,14,0,buy,True,,259.0,39.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Jahmyr Gibbs | Jameson Williams | Josh Allen | Kenyon Sadiq | Quentin Johnston | Rashid Shaheed | Tony Pollard | Tyler Allgeier | Woody Marks,"{""Alec Pierce"": 14.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 23.0, ""Josh Allen"": 34.0, ""Kenyon Sadiq"": 2.0, ""Quentin Johnston"": 8.0, ""Rashid Shaheed"": 2.0, ""Tony Pollard"": 12.0, ""Tyler Allgeier"": 2.0, ""Woody Marks"": 3.0}"
baseline,14,0,pass,True,,248.0,50.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Ja'Marr Chase | Jadarian Price | Jameson Williams | Josh Allen | Kenyon Sadiq | Khalil Shakir | Quentin Johnston | Tony Pollard | Tyler Allgeier | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Ja'Marr Chase"": 88.0, ""Jadarian Price"": 23.0, ""Jameson Williams"": 23.0, ""Josh Allen"": 34.0, ""Kenyon Sadiq"": 2.0, ""Khalil Shakir"": 4.0, ""Quentin Johnston"": 8.0, ""Tony Pollard"": 12.0, ""Tyler Allgeier"": 2.0, ""Woody Marks"": 3.0}"
baseline,14,1,buy,True,,269.0,29.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Courtland Sutton | Dalton Kincaid | Drake Maye | Jahmyr Gibbs | Jakobi Meyers | Jalen McMillan | Jalen Nailor | Kyle Monangai | Rachaad White | Tre Harris | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Courtland Sutton"": 14.0, ""Dalton Kincaid"": 11.0, ""Drake Maye"": 20.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jalen McMillan"": 2.0, ""Jalen Nailor"": 2.0, ""Kyle Monangai"": 21.0, ""Rachaad White"": 8.0, ""Tre Harris"": 2.0, ""TreVeyon Henderson"": 26.0}"
baseline,14,1,pass,True,,237.0,61.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dalton Kincaid | Drake Maye | Ja'Marr Chase | Jakobi Meyers | Jalen McMillan | Jalen Nailor | Kyle Monangai | Rachaad White | Tre Harris | TreVeyon Henderson | Tyler Allgeier,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dalton Kincaid"": 11.0, ""Drake Maye"": 20.0, ""Ja'Marr Chase"": 90.0, ""Jakobi Meyers"": 8.0, ""Jalen McMillan"": 2.0, ""Jalen Nailor"": 2.0, ""Kyle Monangai"": 21.0, ""Rachaad White"": 8.0, ""Tre Harris"": 2.0, ""TreVeyon Henderson"": 26.0, ""Tyler Allgeier"": 2.0}"
baseline,14,2,buy,True,,259.0,39.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | D'Andre Swift | Jacory Croskey-Merritt | Jahmyr Gibbs | Jake Ferguson | Jameson Williams | Khalil Shakir | Kyler Murray | Quentin Johnston | Rashid Shaheed | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 7.0, ""D'Andre Swift"": 27.0, ""Jacory Croskey-Merritt"": 16.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jameson Williams"": 20.0, ""Khalil Shakir"": 4.0, ""Kyler Murray"": 2.0, ""Quentin Johnston"": 4.0, ""Rashid Shaheed"": 2.0, ""TreVeyon Henderson"": 20.0}"
baseline,14,2,pass,True,,172.0,126.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | D'Andre Swift | Isaiah Likely | Jacory Croskey-Merritt | Jake Ferguson | Jameson Williams | Khalil Shakir | Kyler Murray | Quentin Johnston | Rashid Shaheed | Tony Pollard | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 27.0, ""Isaiah Likely"": 8.0, ""Jacory Croskey-Merritt"": 16.0, ""Jake Ferguson"": 2.0, ""Jameson Williams"": 20.0, ""Khalil Shakir"": 4.0, ""Kyler Murray"": 2.0, ""Quentin Johnston"": 4.0, ""Rashid Shaheed"": 2.0, ""Tony Pollard"": 22.0, ""TreVeyon Henderson"": 20.0}"
baseline,14,3,buy,True,,296.0,2.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Blake Corum | Chase Brown | Hunter Henry | Jadarian Price | Jahmyr Gibbs | Jalen McMillan | Jameson Williams | Josh Allen | Khalil Shakir | Matthew Golden | Omar Cooper Jr. | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Blake Corum"": 12.0, ""Chase Brown"": 34.0, ""Hunter Henry"": 2.0, ""Jadarian Price"": 21.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Jameson Williams"": 25.0, ""Josh Allen"": 31.0, ""Khalil Shakir"": 9.0, ""Matthew Golden"": 9.0, ""Omar Cooper Jr."": 2.0, ""TreVeyon Henderson"": 28.0}"
baseline,14,3,pass,True,,296.0,2.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Blake Corum | Chase Brown | George Kittle | Ja'Marr Chase | Jadarian Price | Jameson Williams | Josh Allen | Kenyon Sadiq | Khalil Shakir | Kyle Monangai | Quentin Johnston | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Blake Corum"": 12.0, ""Chase Brown"": 34.0, ""George Kittle"": 12.0, ""Ja'Marr Chase"": 91.0, ""Jadarian Price"": 21.0, ""Jameson Williams"": 25.0, ""Josh Allen"": 31.0, ""Kenyon Sadiq"": 5.0, ""Khalil Shakir"": 9.0, ""Kyle Monangai"": 9.0, ""Quentin Johnston"": 8.0, ""TreVeyon Henderson"": 28.0}"
baseline,14,4,buy,True,,272.0,26.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chris Godwin Jr. | Isaiah Likely | Jahmyr Gibbs | Jake Ferguson | Jakobi Meyers | Josh Allen | KC Concepcion | RJ Harvey | Rico Dowdle | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 19.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 8.0, ""Isaiah Likely"": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 7.0, ""Josh Allen"": 35.0, ""KC Concepcion"": 6.0, ""RJ Harvey"": 16.0, ""Rico Dowdle"": 18.0, ""Woody Marks"": 2.0}"
baseline,14,4,pass,True,,182.0,116.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chris Godwin Jr. | Isaiah Likely | Jadarian Price | Jake Ferguson | Jakobi Meyers | Josh Allen | KC Concepcion | RJ Harvey | Rico Dowdle | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 19.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 8.0, ""Isaiah Likely"": 4.0, ""Jadarian Price"": 20.0, ""Jake Ferguson"": 2.0, ""Jakobi Meyers"": 7.0, ""Josh Allen"": 35.0, ""KC Concepcion"": 6.0, ""RJ Harvey"": 16.0, ""Rico Dowdle"": 18.0, ""Woody Marks"": 2.0}"
baseline,14,5,buy,True,,241.0,57.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Deebo Samuel Sr. | Jahmyr Gibbs | Jake Ferguson | Josh Allen | Kenny Gainwell | Khalil Shakir | RJ Harvey | Rashid Shaheed | Sam LaPorta | Ty Johnson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Deebo Samuel Sr."": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 3.0, ""Josh Allen"": 29.0, ""Kenny Gainwell"": 14.0, ""Khalil Shakir"": 6.0, ""RJ Harvey"": 8.0, ""Rashid Shaheed"": 2.0, ""Sam LaPorta"": 13.0, ""Ty Johnson"": 3.0}"
