method_version,year,available_slots,available_budget,pre_normalized_total,post_normalized_total,pred_salary_scale,pred_salary_shift,normalization_method,method,raw_minus_budget,raw_budget_absolute_gap,raw_budget_gap_pct,normalized_budget_error
current_locked_spec_v1,2022.0,136.0,2886.0,2652.292555961402,2886.0,1.0928776916201246,,,v1,-233.70744403859817,233.70744403859817,-0.0809797103390846,0.0
current_locked_spec_v1,2023.0,135.0,2705.0,2667.979302371638,2705.0000000000005,1.0146154757734103,,,v1,-37.020697628362086,37.020697628362086,-0.013686025001242915,4.547473508864641e-13
current_locked_spec_v1,2024.0,138.0,3013.0,2964.0525836120846,3013.0000000000005,1.017320065688712,,,v1,-48.94741638791538,48.94741638791538,-0.016245408691641348,4.547473508864641e-13
current_locked_spec_v1,2025.0,141.0,3169.0,3027.371301266934,3169.0000000000005,1.049068080281598,,,v1,-141.6286987330659,141.6286987330659,-0.04469192134208454,4.547473508864641e-13
current_locked_spec_v3_resid_share_features,2022.0,136.0,2886.0,2722.898802675559,2886.0,1.0630489283754547,,,v3,-163.10119732444082,163.10119732444082,-0.05651462138754013,0.0
current_locked_spec_v3_resid_share_features,2023.0,135.0,2705.0,2826.522228665543,2705.0,0.954849999984658,,,v3,121.52222866554303,121.52222866554303,0.044925038323675795,0.0
current_locked_spec_v3_resid_share_features,2024.0,138.0,3013.0,3047.724497815201,3012.9999999999995,0.9880660530434154,,,v3,34.724497815201175,34.724497815201175,0.011524891408961558,-4.547473508864641e-13
current_locked_spec_v3_resid_share_features,2025.0,141.0,3169.0,3220.160998955877,3169.0,0.9833847600131252,,,v3,51.16099895587695,51.16099895587695,0.016144209200339838,0.0
current_locked_spec_v5_compact_salary_features,2022.0,136.0,2886.0,2770.0242637306455,2886.0,1.0,0.8527627666864298,additive_floor,v5,-115.97573626935446,115.97573626935446,-0.040185632802964125,0.0
current_locked_spec_v5_compact_salary_features,2023.0,135.0,2705.0,2759.518076346136,2705.0000000000005,1.0,-0.40456992162967076,additive_floor,v5,54.518076346135786,54.518076346135786,0.020154556874726722,4.547473508864641e-13
current_locked_spec_v5_compact_salary_features,2024.0,138.0,3013.0,2980.474806299428,3013.0,1.0,0.235689809424434,additive_floor,v5,-32.52519370057189,32.52519370057189,-0.01079495310340919,0.0
current_locked_spec_v5_compact_salary_features,2025.0,141.0,3169.0,3082.5024942714645,3168.9999999999995,1.0,0.6134574874364223,additive_floor,v5,-86.49750572853554,86.49750572853554,-0.02729488978495915,-4.547473508864641e-13
