period,prediction,n,mean_residual,mae,rmse,r2
all_years,raw_espn_source,645,3.9767441860465116,6.441860465116279,9.547190016402855,0.863462744996967
all_years,budget_adjusted_source,645,-0.7577761010264548,7.276812223355802,11.575095373800655,0.7992991596655618
all_years,v5_raw_model,645,-0.2642977917039467,4.169328189305782,6.176244712730454,0.9428588436413798
all_years,v5_normalized_model,645,-0.6115706182206317,4.270589368778242,6.196888115512375,0.9424762295187226
development_2022_2024,raw_espn_source,389,4.272493573264781,6.591259640102828,9.570466568260413,0.8552775822515161
development_2022_2024,budget_adjusted_source,389,-0.49193322817096097,7.356244247092122,11.362177261471764,0.7960175944353083
development_2022_2024,v5_raw_model,389,-0.11419843530081011,4.221625821253475,6.045294518909716,0.942256312257498
development_2022_2024,v5_normalized_model,389,-0.341217369346747,4.261012546415356,6.043270123831233,0.9422949791791361
temporal_check_2025,raw_espn_source,138,3.5869565217391304,6.543478260869565,9.599592382650604,0.8775520627321132
temporal_check_2025,budget_adjusted_source,138,-0.47101449275362445,7.075266009909377,11.377572018425434,0.8279934143982548
temporal_check_2025,v5_raw_model,138,0.17482188681648891,3.5486944946211936,5.739018480678432,0.9562355842444948
temporal_check_2025,v5_normalized_model,138,-0.43863560061993284,3.7499348064016456,5.753101043749336,0.9560205400473615
