method,method_version,prediction_scale,period,player_years,mean_residual,mae,rmse,r2,positive_residual_rate
v1,current_locked_spec_v1,normalized,all_years,644,-0.7063902400421425,4.307151829622534,6.275835239046987,0.9410332351565134,0.36180124223602483
v1,current_locked_spec_v1,normalized,development_2021_2024,507,-0.7690637368582636,4.46410833127278,6.385959723669947,0.9367047029258818,0.3708086785009862
v1,current_locked_spec_v1,normalized,replay_development_2022_2024,389,-0.4797593751579033,4.387507033202558,6.34636205273721,0.9363615963138637,0.39331619537275064
v1,current_locked_spec_v1,normalized,temporal_check_2025,137,-0.47445255474452597,3.7262982067271,5.850291246715884,0.9546488249678803,0.3284671532846715
v1,current_locked_spec_v1,normalized,2021,118,-1.7227874377179258,4.716632949487327,6.514793510973356,0.9377476946250238,0.2966101694915254
v1,current_locked_spec_v1,normalized,2022,126,-0.6106469410096816,4.693939494691508,6.41478355480047,0.9327466756668542,0.35714285714285715
v1,current_locked_spec_v1,normalized,2023,131,-0.2738544606452595,3.937306237705722,5.7447301768497985,0.9484122097295133,0.366412213740458
v1,current_locked_spec_v1,normalized,2024,132,-0.5591662729142086,4.541793503372846,6.830969191776684,0.9275216290561864,0.45454545454545453
v1,current_locked_spec_v1,normalized,2025,137,-0.47445255474452597,3.7262982067271,5.850291246715884,0.9546488249678803,0.3284671532846715
v1,current_locked_spec_v1,raw,all_years,644,0.07124287662541574,4.187227922694097,6.180041724404588,0.9428196184637332,0.40217391304347827
v1,current_locked_spec_v1,raw,development_2021_2024,507,-0.06064750727080547,4.308109304961413,6.271830193412046,0.938946906319041,0.40236686390532544
v1,current_locked_spec_v1,raw,replay_development_2022_2024,389,0.34138087345484297,4.212400393306934,6.241744704851048,0.938442412473292,0.43444730077120824
v1,current_locked_spec_v1,raw,temporal_check_2025,137,0.5593335673946428,3.7398785737194284,5.827796315358737,0.9549969137031497,0.40145985401459855
v1,current_locked_spec_v1,raw,2021,118,-1.385978355595189,4.623624276432536,6.370004076092881,0.9404840254472681,0.2966101694915254
v1,current_locked_spec_v1,raw,2022,126,1.242785635432048,4.243730149265332,6.20438574677831,0.9370859960858096,0.4444444444444444
v1,current_locked_spec_v1,raw,2023,131,0.008182725320031267,3.9032277070843784,5.793866919519623,0.9475259377326297,0.3893129770992366
v1,current_locked_spec_v1,raw,2024,132,-0.18837702505627463,4.489325186067516,6.689758015777986,0.9304872312243833,0.4696969696969697
v1,current_locked_spec_v1,raw,2025,137,0.5593335673946428,3.7398785737194284,5.827796315358737,0.9549969137031497,0.40145985401459855
v3,current_locked_spec_v3_resid_share_features,normalized,all_years,645,-0.5961085266492298,4.455234844222903,6.2518275199697255,0.9414517376199278,0.34418604651162793
v3,current_locked_spec_v3_resid_share_features,normalized,development_2021_2024,507,-0.6443050486888117,4.546195863963407,6.329786910388904,0.9378133342190677,0.3530571992110454
v3,current_locked_spec_v3_resid_share_features,normalized,replay_development_2022_2024,389,-0.365136328216001,4.448323451467127,6.311856849915532,0.937051719747742,0.36503856041131105
v3,current_locked_spec_v3_resid_share_features,normalized,temporal_check_2025,138,-0.4190386956777216,4.121051967350181,5.956657736725523,0.9528533128071284,0.3115942028985507
v3,current_locked_spec_v3_resid_share_features,normalized,2021,118,-1.5646154916034165,4.86884305431131,6.388538950023202,0.9401371729322566,0.3135593220338983
v3,current_locked_spec_v3_resid_share_features,normalized,2022,126,-0.5454940124964269,4.461353106001538,5.9624126039924565,0.9418976370931339,0.373015873015873
v3,current_locked_spec_v3_resid_share_features,normalized,2023,131,-0.06435247692149779,4.382605952665862,6.359137977857593,0.9367873275295571,0.33587786259541985
v3,current_locked_spec_v3_resid_share_features,normalized,2024,132,-0.4914819062481694,4.501105692918871,6.583250490943757,0.9326830345319296,0.38636363636363635
v3,current_locked_spec_v3_resid_share_features,normalized,2025,138,-0.4190386956777216,4.121051967350181,5.956657736725523,0.9528533128071284,0.3115942028985507
v3,current_locked_spec_v3_resid_share_features,raw,all_years,645,-0.7477201126265293,4.462199940311018,6.234928221933415,0.941767833122218,0.3364341085271318
v3,current_locked_spec_v3_resid_share_features,raw,development_2021_2024,507,-0.7365134570751156,4.552198733451632,6.320430341495194,0.9379970445993168,0.34911242603550297
v3,current_locked_spec_v3_resid_share_features,raw,replay_development_2022_2024,389,-0.34483874020384997,4.432756665078096,6.263982752389343,0.938002997145287,0.3676092544987147
v3,current_locked_spec_v3_resid_share_features,raw,temporal_check_2025,138,-0.7888923906306362,4.1315522002944185,5.910190216051971,0.9535860205269827,0.2898550724637681
v3,current_locked_spec_v3_resid_share_features,raw,2021,118,-2.0277123118456437,4.9459526707169355,6.503046899313031,0.9379719824417175,0.288135593220339
v3,current_locked_spec_v3_resid_share_features,raw,2022,126,0.7441267944345632,4.396968075199445,6.034566395222832,0.9404828835307274,0.42857142857142855
v3,current_locked_spec_v3_resid_share_features,raw,2023,131,-0.9802468835677891,4.353648834276264,6.077606707146764,0.9422605237002165,0.29770992366412213
v3,current_locked_spec_v3_resid_share_features,raw,2024,132,-0.7537113961414565,4.545427029924686,6.6493210067523005,0.9313250472060831,0.3787878787878788
v3,current_locked_spec_v3_resid_share_features,raw,2025,138,-0.7888923906306362,4.1315522002944185,5.910190216051971,0.9535860205269827,0.2898550724637681
v5,current_locked_spec_v5_compact_salary_features,normalized,all_years,645,-0.6115706182206317,4.270589368778242,6.196888115512375,0.9424762295187226,0.35038759689922483
v5,current_locked_spec_v5_compact_salary_features,normalized,development_2021_2024,507,-0.658641688100112,4.412305995223943,6.312282524686538,0.9381568005240036,0.358974358974359
v5,current_locked_spec_v5_compact_salary_features,normalized,replay_development_2022_2024,389,-0.341217369346747,4.261012546415356,6.043270123831233,0.9422949791791361,0.38303341902313626
v5,current_locked_spec_v5_compact_salary_features,normalized,temporal_check_2025,138,-0.43863560061993284,3.7499348064016456,5.753101043749336,0.9560205400473615,0.3188405797101449
v5,current_locked_spec_v5_compact_salary_features,normalized,2021,118,-1.7050659253463747,4.911061517143775,7.127564329668735,0.9254862500014605,0.2796610169491525
v5,current_locked_spec_v5_compact_salary_features,normalized,2022,126,-0.419544002891079,4.388868144799984,5.843298478878066,0.9441959288424089,0.35714285714285715
v5,current_locked_spec_v5_compact_salary_features,normalized,2023,131,-0.09954682169448134,3.9000278651550335,5.788333527875253,0.9476261198351239,0.366412213740458
v5,current_locked_spec_v5_compact_salary_features,normalized,2024,132,-0.5062907474972088,4.497218514965651,6.4640160896515715,0.9350994125784575,0.42424242424242425
v5,current_locked_spec_v5_compact_salary_features,normalized,2025,138,-0.43863560061993284,3.7499348064016456,5.753101043749336,0.9560205400473615,0.3188405797101449
v5,current_locked_spec_v5_compact_salary_features,raw,all_years,645,-0.2642977917039467,4.169328189305782,6.176244712730454,0.9428588436413798,0.3643410852713178
v5,current_locked_spec_v5_compact_salary_features,raw,development_2021_2024,507,-0.3838214911828818,4.33825807069922,6.289993183497397,0.9385927792532349,0.36489151873767256
v5,current_locked_spec_v5_compact_salary_features,raw,replay_development_2022_2024,389,-0.11419843530081011,4.221625821253475,6.045294518909716,0.942256312257498,0.38817480719794345
v5,current_locked_spec_v5_compact_salary_features,raw,temporal_check_2025,138,0.17482188681648891,3.5486944946211936,5.739018480678432,0.9562355842444948,0.36231884057971014
v5,current_locked_spec_v5_compact_salary_features,raw,2021,118,-1.272663599133101,4.722749130312734,7.036660862962437,0.9273747952625543,0.288135593220339
v5,current_locked_spec_v5_compact_salary_features,raw,2022,126,0.43321876379535074,4.19388177807903,5.844296231386737,0.9441768699475733,0.40476190476190477
v5,current_locked_spec_v5_compact_salary_features,raw,2023,131,-0.48312543316506157,4.0065976537608154,5.809540502603426,0.9472416477957328,0.33587786259541985
v5,current_locked_spec_v5_compact_salary_features,raw,2024,132,-0.2706009380727747,4.46150793778013,6.449837095148915,0.9353838227006481,0.42424242424242425
v5,current_locked_spec_v5_compact_salary_features,raw,2025,138,0.17482188681648891,3.5486944946211936,5.739018480678432,0.9562355842444948,0.36231884057971014
