league,model_family,candidate_id,candidate_source,origin,rows,rmse,parameters_json
beta,conditional_ppg_lightgbm_expanded,0,original,2013,299,3.6058875168493336,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2013,299,3.644347326215497,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2013,299,3.651306204724749,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2013,299,3.6501432529281836,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2013,299,3.6569688551231363,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2013,299,3.6825159745733083,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2013,299,3.595087038360489,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2013,299,3.634008705741555,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2013,299,3.621259660351398,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2013,299,3.623780963766467,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2013,299,3.626543316328077,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2013,299,3.645995436768715,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2013,299,3.641849789736616,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2013,299,3.6430246481448028,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2013,299,3.639976228013375,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2013,299,3.638498111120806,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2014,376,3.2568796210477005,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2014,376,3.2313514212031027,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2014,376,3.232708551316295,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2014,376,3.2293534546464415,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2014,376,3.2082783107863437,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2014,376,3.2124012050803357,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2014,376,3.240628445911355,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2014,376,3.235050072632359,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2014,376,3.2299825609331347,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2014,376,3.2341379095841716,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2014,376,3.229492267816395,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2014,376,3.241633446645065,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2014,376,3.195256719800554,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2014,376,3.1974328467442548,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2014,376,3.1980967494772585,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2014,376,3.2200157318786204,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2015,395,3.581496239738555,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2015,395,3.6700748798071365,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
