league,method,baseline_method,comparison,rmse_delta,bootstrap_low,bootstrap_high,player_clusters,draws
beta,expanded_lgbm_replacement_equal3,current_single,expanded_lgbm_replacement_equal3_vs_current_single,0.0005829658115032998,-0.001296210427534128,0.002557616782583967,604,20000
beta,expanded_catboost_equal4,current_single,expanded_catboost_equal4_vs_current_single,0.0027576720079629524,-0.0017332095894284194,0.007299005296730226,604,20000
beta,current_plus_extra_trees_equal4,current_single,current_plus_extra_trees_equal4_vs_current_single,-0.006269631546059529,-0.012002917966398607,-0.0004715378758257889,604,20000
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,expanded_lgbm_plus_extra_trees_equal4_vs_current_single,-0.0058551861407005745,-0.011803424992118994,9.90306227375976e-05,604,20000
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,expanded_lgbm_plus_extra_trees_equal4_vs_current_plus_extra_trees_equal4,0.00041444540535895413,-0.0009727202262983514,0.0018436792793656393,604,20000
beta,expanded_lgbm_plus_catboost_equal4,expanded_lgbm_replacement_equal3,expanded_lgbm_plus_catboost_equal4_vs_expanded_lgbm_replacement_equal3,0.0026813840442994064,-0.0018098381782273632,0.0070947654889960115,604,20000
