period,player_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
all_2017_2025,1163,-0.001392706258023622,-0.003951507123339826,0.0012018991187362478,0.8616
development_2017_2022,912,-0.001316546666080986,-0.004912345682201702,0.0022418730842428177,0.7644
temporal_2023_2025,612,-0.0015270609525797404,-0.004663692533600527,0.001657795683130257,0.8174
