origin_season,position,origin_rows,expert_baseline_rows,participation_labeled_rows,next_appearance_rows,next_no_appearance_rows,unresolved_identity_rows,conditional_ppg_rows,mean_next_residual
2006,QB,46,0,46,33,13,0,0,
2006,RB,73,0,72,53,19,1,0,
2006,TE,40,0,39,5,34,1,0,
2006,WR,112,0,111,43,68,1,0,
2007,QB,45,0,44,32,12,1,0,
2007,RB,78,0,77,63,14,1,0,
2007,TE,44,0,43,5,38,1,0,
2007,WR,117,0,116,44,72,1,0,
2008,QB,60,50,60,37,23,0,34,3.6880856051628115
2008,RB,112,99,111,83,28,1,78,0.5153489228008462
2008,TE,63,50,61,50,11,2,40,0.8120931256243757
2008,WR,161,139,159,118,41,2,107,0.9112634094877087
2009,QB,58,50,58,35,23,0,34,4.741309942100384
2009,RB,115,99,114,93,21,1,84,-0.3066383137365281
2009,TE,66,50,63,51,12,3,41,0.8144756767622621
2009,WR,154,128,152,115,37,2,99,1.181589367422701
2010,QB,61,50,61,38,23,0,35,5.514142006802722
2010,RB,110,100,108,84,24,2,78,-0.05766643790682269
2010,TE,66,50,64,50,14,2,39,0.30411380997919457
2010,WR,146,125,145,126,19,1,111,0.5496211671211673
2011,QB,56,50,56,34,22,0,33,3.2466783910533907
2011,RB,117,100,117,94,23,0,80,-0.2137455114330114
2011,TE,61,50,59,55,4,2,46,0.28953916856090783
2011,WR,160,144,157,127,30,3,117,1.6780193773463006
2012,QB,56,50,55,36,19,1,35,3.3120181623931626
2012,RB,107,99,107,89,18,0,84,0.14747492751957025
2012,TE,60,50,59,44,15,1,39,0.15749565249565262
2012,WR,161,141,158,115,43,3,105,1.030239680953967
2013,QB,58,50,58,37,21,0,36,4.865952346264847
2013,RB,118,99,118,87,31,0,75,0.5879149184149183
2013,TE,66,50,65,51,14,1,43,0.13516393167555946
2013,WR,157,141,153,120,33,4,113,0.500374178427276
2014,QB,94,90,93,53,40,1,53,7.231163566517338
2014,RB,144,143,143,101,42,1,101,1.016982599358837
2014,TE,125,123,122,80,42,3,80,1.271835748452936
2014,WR,234,229,229,144,85,5,142,1.451733023431967
2015,QB,120,120,118,46,72,2,46,6.978349863074729
2015,RB,195,195,192,108,84,3,108,1.7000231391550837
2015,TE,166,163,162,91,71,4,88,1.7139357556900172
2015,WR,282,277,272,142,130,10,139,1.7178803637908855
2016,QB,115,114,115,49,66,0,49,5.909642724681958
2016,RB,220,180,218,117,101,2,102,0.7406644960859597
2016,TE,161,146,157,88,69,4,84,0.6329599360372319
2016,WR,286,262,281,154,127,5,150,0.7428102999666698
2017,QB,138,138,130,48,82,8,48,7.674062870080064
2017,RB,262,247,245,116,129,17,107,2.1789760114636603
2017,TE,229,224,208,105,103,21,103,1.9603584484385803
2017,WR,435,430,391,171,220,44,171,1.7087986631317484
2018,QB,140,139,132,47,85,8,47,6.603516666637032
2018,RB,271,246,254,118,136,17,106,1.698756967360662
2018,TE,231,227,210,99,111,21,99,2.1250301254477604
2018,WR,446,438,408,171,237,38,171,1.9319091614089563
2019,QB,131,130,130,55,75,1,55,7.162521443548067
2019,RB,239,205,235,128,107,4,118,1.1126154984685808
2019,TE,187,171,182,104,78,5,102,1.5465399825823094
2019,WR,366,336,361,174,187,5,171,1.9861172619598326
2020,QB,119,119,116,51,65,3,51,7.032429311962399
2020,RB,224,219,218,128,90,6,127,1.5551635756282463
2020,TE,168,167,166,96,70,2,96,1.4147844880910727
2020,WR,327,323,323,194,129,4,193,1.5923731104445535
2021,QB,116,116,114,58,56,2,58,6.23002909351204
2021,RB,217,200,212,125,87,5,116,1.0459851569314662
2021,TE,181,177,178,91,87,3,89,0.8820455419327817
2021,WR,334,334,326,178,148,8,178,0.9273008282001802
2022,QB,116,113,116,54,62,0,54,7.009798142801681
2022,RB,233,223,224,123,101,9,121,0.5010755689945111
2022,TE,181,175,180,90,90,1,90,0.788508146747516
2022,WR,328,319,321,163,158,7,162,0.4634092190863511
2023,QB,116,112,116,51,65,0,50,5.422556058454768
2023,RB,217,211,212,112,100,5,111,1.3727404809437864
2023,TE,168,165,167,95,72,1,94,1.3232825239045811
2023,WR,353,342,339,179,160,14,177,1.1672207539697195
2024,QB,117,112,114,48,66,3,48,7.1051310396791125
2024,RB,205,192,195,113,82,10,112,0.9291227726286931
2024,TE,162,159,156,105,51,6,105,1.318621557129321
2024,WR,318,308,309,176,133,9,175,0.8385978265220689
2025,QB,120,119,0,0,0,0,0,
2025,RB,218,211,0,0,0,0,0,
2025,TE,173,168,0,0,0,0,0,
2025,WR,332,314,0,0,0,0,0,
2026,QB,108,87,0,0,0,0,0,
2026,RB,204,163,0,0,0,0,0,
2026,TE,172,151,0,0,0,0,0,
2026,WR,301,234,0,0,0,0,0,
