lock_version,model_run_id,slice_type,slice_value,n_rows,n_interval_rows,interval_coverage,p25_p75_coverage,p10_p90_coverage,mean_interval_width,median_residual
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,pooled,all,3696,3289,0.8898809523809523,0.4937671024627546,0.7926421404682275,7.489857982971173,-0.4956682407542683
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,position,QB,380,338,0.8894736842105263,0.46745562130177515,0.7307692307692307,9.497855065134715,0.058327549320345895
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,position,RB,1011,901,0.8911968348170128,0.5005549389567148,0.804661487236404,8.294249183251063,-0.6542103418679996
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,position,TE,802,715,0.8915211970074813,0.48671328671328673,0.7916083916083916,5.5110779788080535,-0.5950439452821596
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,position,WR,1503,1335,0.8882235528942116,0.49962546816479403,0.800749063670412,7.498373501887406,-0.4197009988703524
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,history_depth,other_no_history,27,19,0.7037037037037037,0.5263157894736842,0.8947368421052632,7.781691260883861,-0.8525630587797037
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,history_depth,rookie,531,470,0.8851224105461394,0.46595744680851064,0.7595744680851064,7.973122468144681,-0.7066405988589128
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,history_depth,second_year,567,509,0.8977072310405644,0.5245579567779961,0.8015717092337917,7.5308522720499385,-0.5475663987212389
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,history_depth,veteran_with_history,2571,2291,0.8910929599377674,0.49236141422959406,0.7965953731994763,7.379187867976419,-0.4517303484746078
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2018,405,405,1.0,0.5111111111111111,0.782716049382716,7.668401366116523,0.17877503092793212
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2019,388,388,1.0,0.4484536082474227,0.7912371134020618,7.271254981206821,-0.056380800825958755
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2020,414,414,1.0,0.47101449275362317,0.785024154589372,7.495995906615895,-0.14221542067653425
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2021,419,419,1.0,0.4892601431980907,0.8162291169451074,7.564375172091576,-0.6020250367050508
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2022,426,426,1.0,0.49061032863849763,0.8075117370892019,7.446971282169,-0.9495263702368577
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2023,413,413,1.0,0.5278450363196125,0.784503631961259,7.494376018664636,-0.7891248796082024
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2024,407,407,1.0,0.4520884520884521,0.7616707616707616,7.447943672567155,-0.594681011182479
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T211223Z_8be6a307,season,2025,417,417,1.0,0.5563549160671463,0.8105515587529976,7.519131369098504,-0.6116209338431693
