challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,post_warmup_mean_delta,recent_mean_delta,season_wins,season_count,bootstrap_95_low,bootstrap_95_high
full_lasso_rf_average,full_random_forest,3.1028288146778094,3.1241702557978224,-0.021341441120013016,-0.021503941250575604,-0.025020341261194456,-0.013386759244088164,9,9,-0.036303917667680916,-0.009468477606057549
projection_active_lasso_rf_average,full_random_forest,3.1031313779821375,3.1241702557978224,-0.02103887781568492,-0.02132886907727692,-0.027947612460354026,-0.00887601851806119,6,9,-0.04099834159989569,-0.0027623928045041155
projection_core_lasso_rf_average,full_random_forest,3.10375236669038,3.1241702557978224,-0.020417889107442466,-0.02071071298912412,-0.02713706432459714,-0.00180550441821777,7,9,-0.04168983279644927,-0.0020774254517151253
causal_full_lasso_rf,full_random_forest,3.1053023441281233,3.1241702557978224,-0.018867911669699033,-0.01908568738413304,-0.024538740922456764,-0.016197401735968214,7,9,-0.030549809122914957,-0.008929181226790601
projection_active_lasso_lgbm_average,full_lightgbm,3.1063630237683415,3.1229683424927983,-0.016605318724456808,-0.01701280830767102,-0.023590536525044774,-0.010171018055705675,8,9,-0.032189298537551224,-0.0022757737386875144
projection_core_lasso_lgbm_average,full_lightgbm,3.1070388804313267,3.1229683424927983,-0.01592946206147161,-0.016319224093254665,-0.02257330555992817,-0.002546667642045216,7,9,-0.03270629436987428,-9.377152948580165e-05
projection_active_lasso_rf_lgbm_equal_thirds,full_rf_lgbm_average,3.0997472715224763,3.1143233398111247,-0.014576068288648436,-0.014830825856770079,-0.01914696142848893,-0.009341318148509062,6,9,-0.02601938608666811,-0.004322927378698684
full_lasso_rf_lgbm_equal_thirds,full_rf_lgbm_average,3.099999886917522,3.1143233398111247,-0.014323452893602706,-0.014475550232364576,-0.016084623130404437,-0.011167091133067242,9,9,-0.022478611198401145,-0.007484299903660002
projection_core_lasso_rf_lgbm_equal_thirds,full_rf_lgbm_average,3.1001047400866297,3.1143233398111247,-0.014218599724495018,-0.014470723397633013,-0.018645270508210108,-0.0047605326358651405,7,9,-0.02618783060137084,-0.0035687763987417576
full_lasso_lgbm_average,full_lightgbm,3.1093654128482173,3.1229683424927983,-0.013602929644580986,-0.013758281784813567,-0.01671299724604003,-0.011779545433521221,7,9,-0.027460878914998894,-0.00028692695638744
causal_full_lasso_lgbm,full_lightgbm,3.109986998620024,3.1229683424927983,-0.012981343872774165,-0.01305435021668153,-0.016784164564304822,-0.013316836497645035,6,9,-0.022068240033733276,-0.004916040156855563
causal_full_lasso_tree_average,full_rf_lgbm_average,3.1027379813880596,3.1143233398111247,-0.011585358423065184,-0.011719193588395646,-0.015067534613651543,-0.010813919480449593,7,9,-0.019608010618836182,-0.004934733551242512
causal_full_lasso_rf_lgbm,full_rf_lgbm_average,3.1031362929531414,3.1143233398111247,-0.01118704685798333,-0.01129974287842502,-0.01452824084368931,-0.010648846060390404,7,9,-0.018882350584739242,-0.004547120466026202
