method,season,component,weight,prior_rows,prior_seasons
causal_full_lasso_lgbm,2017,full_lasso,0.0,0,0
causal_full_lasso_lgbm,2017,full_lightgbm,1.0,0,0
causal_full_lasso_lgbm,2018,full_lasso,0.0,407,1
causal_full_lasso_lgbm,2018,full_lightgbm,1.0,407,1
causal_full_lasso_lgbm,2019,full_lasso,0.26663901755108566,812,2
causal_full_lasso_lgbm,2019,full_lightgbm,0.7333609824489143,812,2
causal_full_lasso_lgbm,2020,full_lasso,0.27376835142425116,1199,3
causal_full_lasso_lgbm,2020,full_lightgbm,0.7262316485757488,1199,3
causal_full_lasso_lgbm,2021,full_lasso,0.3058975767335584,1618,4
causal_full_lasso_lgbm,2021,full_lightgbm,0.6941024232664417,1618,4
causal_full_lasso_lgbm,2022,full_lasso,0.3095177854507085,2035,5
causal_full_lasso_lgbm,2022,full_lightgbm,0.6904822145492915,2035,5
causal_full_lasso_lgbm,2023,full_lasso,0.3571181803788316,2460,6
causal_full_lasso_lgbm,2023,full_lightgbm,0.6428818196211684,2460,6
causal_full_lasso_lgbm,2024,full_lasso,0.39748041971493736,2873,7
causal_full_lasso_lgbm,2024,full_lightgbm,0.6025195802850626,2873,7
causal_full_lasso_lgbm,2025,full_lasso,0.3902011616612558,3280,8
causal_full_lasso_lgbm,2025,full_lightgbm,0.6097988383387443,3280,8
causal_full_lasso_rf,2017,full_lasso,0.0,0,0
causal_full_lasso_rf,2017,full_random_forest,1.0,0,0
causal_full_lasso_rf,2018,full_lasso,0.0,407,1
causal_full_lasso_rf,2018,full_random_forest,1.0,407,1
causal_full_lasso_rf,2019,full_lasso,0.29817165541654667,812,2
causal_full_lasso_rf,2019,full_random_forest,0.7018283445834533,812,2
causal_full_lasso_rf,2020,full_lasso,0.29958915235405476,1199,3
causal_full_lasso_rf,2020,full_random_forest,0.7004108476459453,1199,3
causal_full_lasso_rf,2021,full_lasso,0.3569035745450732,1618,4
causal_full_lasso_rf,2021,full_random_forest,0.6430964254549268,1618,4
causal_full_lasso_rf,2022,full_lasso,0.3498817902468433,2035,5
