Player,Position,Team,Year,Years_of_Experience,Consensus_Passing_Yards,Consensus_Passing_Touchdowns,Consensus_Rushing_Yards,Consensus_Rushing_Touchdowns,Consensus_Projected_Points,Projected_Points_Vs_Avg_Experience,Position_Rank,Consensus_Receiving_Yards,Consensus_Receptions,ADP_NFFC,VOR_ADP,Predicted_PPG_Mark,Predicted_PPG_Next_Year_Mark,Predicted_Breakout_Mark,Predicted_TopValue_Mark,Max_Score_Mark,VOR_Current_Year,VOR_Consensus,VOR_Top_Value,VOR_Average
Ja'Marr Chase,WR,CIN,2025.0,4.0,0.0,0.0,11.87,0.03,18.142,172.563,1.0,1508.61,118.6,1.145,5.919,21.705,21.059,0.297,0.526,27.942,10.984,8.814,2.334,7.013
Bijan Robinson,RB,ATL,2025.0,2.0,0.0,0.0,1355.5,11.59,18.836,174.144,1.0,418.66,56.11,2.427,5.823,18.684,17.166,0.158,0.363,26.853,7.467,8.431,1.278,5.75
Justin Jefferson,WR,MIN,2025.0,5.0,0.0,0.0,2.03,0.0,15.734,123.249,2.0,1402.35,102.56,4.545,5.538,19.84,19.382,0.188,0.444,27.173,9.118,6.407,1.929,5.748
Puka Nacua,WR,LAR,2025.0,2.0,0.0,0.0,66.7,0.54,15.404,143.8,4.0,1376.35,107.61,9.618,5.077,19.873,19.419,0.354,0.578,26.347,9.152,6.077,2.597,5.726
Malik Nabers,WR,NYG,2025.0,1.0,0.0,0.0,11.73,0.05,14.631,146.267,7.0,1271.04,103.37,8.848,5.168,20.161,19.893,0.394,0.59,26.049,9.44,5.304,2.659,5.643
Jahmyr Gibbs,RB,DET,2025.0,2.0,0.0,0.0,1210.16,11.77,18.595,170.284,2.0,479.03,57.17,4.01,5.632,18.547,17.306,0.173,0.378,27.56,7.33,8.19,1.354,5.627
Saquon Barkley,RB,PHI,2025.0,7.0,0.0,0.0,1603.63,11.2,18.811,167.16,3.0,289.64,38.61,3.67,5.632,18.321,16.568,0.146,0.303,25.375,7.104,8.406,0.981,5.531
Ceedee Lamb,WR,DAL,2025.0,5.0,0.0,0.0,58.6,0.27,14.975,111.099,3.0,1273.18,102.95,5.962,5.445,19.205,18.414,0.186,0.441,26.66,8.484,5.647,1.912,5.372
Brian Thomas,WR,JAC,2025.0,1.0,0.0,0.0,36.71,0.06,14.447,143.317,6.0,1244.6,90.67,11.662,4.897,18.513,18.828,0.301,0.496,26.279,7.792,5.119,2.188,4.999
Ashton Jeanty,RB,LVR,2025.0,0.0,0.0,0.0,1240.6,9.14,16.479,176.789,8.0,372.16,47.39,9.402,5.168,18.221,17.032,0.192,0.397,26.758,7.004,6.074,1.451,4.924
