year,trial,buffer,buffer_dollars,nominal_cap,status,roster,sampled_salary_spend,point_salary_spend,forecast_ev,actual_cap_feasible,actual_cap_overage,salary_model_fallback_players,minimum_salary_fallback_players,contains_top_n,qb_count,rb_count,wr_count,te_count,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players
2024,132,10,10.0,308.0,optimal,Ceedee Lamb|Chase Brown|Chuba Hubbard|Dalton Schultz|David Njoku|Deebo Samuel|Ja'Lynn Polk|Jalen Hurts|Jordan Addison|Mike Evans|Rashee Rice|Tyjae Spears|Xavier Worthy,292.36553955078125,301.35494232177734,1650.729248046875,False,22.0,1,0,True,1,3,7,2,1674.0400390625,1672.719970703125,25,320.0,1,0
2024,133,none,,,optimal,Anthony Richardson|Austin Ekeler|Chase Brown|Cooper Kupp|Derrick Henry|Jake Ferguson|Jaylen Waddle|Jonathon Brooks|Keon Coleman|Mark Andrews|Marvin Harrison|Rashee Rice|Rome Odunze,293.11676025390625,313.5989942550659,1665.82470703125,False,67.0,2,0,True,1,4,6,2,1571.219970703125,1502.260009765625,42,365.0,0,0
2024,133,5,5.0,303.0,optimal,Anthony Richardson|Austin Ekeler|Chase Brown|George Kittle|Jake Ferguson|Jaylen Waddle|Jonathon Brooks|Keon Coleman|Marvin Harrison|Najee Harris|Puka Nacua|Rashee Rice|Rome Odunze,282.7721252441406,297.1810693740845,1659.310791015625,True,0.0,2,0,True,1,4,6,2,1561.8199462890625,1466.3599853515625,43,298.0,0,0
2024,133,10,10.0,308.0,optimal,Anthony Richardson|Austin Ekeler|Chase Brown|Devonta Smith|Gabriel Davis|George Kittle|Jake Ferguson|Jaylen Waddle|Jonathon Brooks|Marvin Harrison|Puka Nacua|Rashee Rice|Rome Odunze,286.2203369140625,303.68530654907227,1654.3389892578125,False,2.0,2,0,True,1,3,7,2,1568.6201171875,1397.159912109375,44,300.0,1,0
2024,134,none,,,optimal,Aj Brown|Brock Bowers|Christian Watson|Devonta Smith|Jalen Hurts|Jaylen Waddle|Jk Dobbins|Jonathon Brooks|Jordan Addison|Najee Harris|Rashee Rice|Travis Kelce|Tyjae Spears,292.38104248046875,308.03949069976807,1674.0362548828125,False,39.0,2,0,True,1,4,6,2,1571.43994140625,1586.9200439453125,28,337.0,0,0
2024,134,5,5.0,303.0,optimal,Aj Brown|Brock Bowers|Christian Watson|Devonta Smith|Jalen Hurts|Jaxon Smith Njigba|Jaylen Waddle|Jk Dobbins|Jonathon Brooks|Najee Harris|Rashee Rice|Ray Davis|Travis Kelce,278.74774169921875,297.55356311798096,1650.6517333984375,False,27.0,2,0,True,1,4,6,2,1606.0400390625,1630.219970703125,28,325.0,1,0
2024,134,10,10.0,308.0,optimal,Aj Brown|Brock Bowers|Christian Watson|Devonta Smith|Jalen Hurts|Javonte Williams|Jaxon Smith Njigba|Jk Dobbins|Najee Harris|Rashee Rice|Ray Davis|Travis Kelce|Zay Flowers,292.991455078125,303.6376175880432,1645.1865234375,False,26.0,1,0,True,1,4,6,2,1624.3399658203125,1620.919921875,20,324.0,1,0
2024,135,none,,,optimal,Brian Thomas|Caleb Williams|Chuba Hubbard|Deebo Samuel|Gus Edwards|Javonte Williams|Jaylen Waddle|Justin Jefferson|Keenan Allen|Keon Coleman|Travis Kelce|Trey Benson|Xavier Worthy,291.0013122558594,298.00551986694336,1576.4864501953125,False,15.0,0,0,True,1,4,7,1,1530.93994140625,1454.4400634765625,38,313.0,0,0
2024,135,5,5.0,303.0,optimal,Brian Thomas|Caleb Williams|Chuba Hubbard|Deebo Samuel|Gus Edwards|Javonte Williams|Jaylen Waddle|Justin Jefferson|Keenan Allen|Keon Coleman|Travis Kelce|Trey Benson|Xavier Worthy,291.0013122558594,298.00551986694336,1576.4864501953125,False,15.0,0,0,True,1,4,7,1,1530.93994140625,1454.4400634765625,38,313.0,0,0
2024,135,10,10.0,308.0,optimal,Brian Thomas|Caleb Williams|Chuba Hubbard|Deebo Samuel|Gus Edwards|Javonte Williams|Jaylen Waddle|Justin Jefferson|Keenan Allen|Keon Coleman|Travis Kelce|Trey Benson|Xavier Worthy,291.0013122558594,298.00551986694336,1576.4864501953125,False,15.0,0,0,True,1,4,7,1,1530.93994140625,1454.4400634765625,38,313.0,0,0
2024,136,none,,,optimal,Deebo Samuel|Jalen Hurts|Jaxon Smith Njigba|Jaylen Warren|Jerome Ford|Keon Coleman|Kyle Pitts|Najee Harris|Nick Chubb|Pat Freiermuth|Rashee Rice|Tyreek Hill|Zay Flowers,291.62628173828125,304.0241918563843,1663.7762451171875,False,42.0,1,0,True,1,4,6,2,1481.1400146484375,1461.619873046875,31,340.0,0,0
2024,136,5,5.0,303.0,optimal,Deebo Samuel|George Kittle|Isiah Pacheco|Jalen Hurts|Jaxon Smith Njigba|Jaylen Warren|Jerome Ford|Jordan Addison|Keon Coleman|Pat Freiermuth|Rashee Rice|Stefon Diggs|Zay Flowers,289.1839599609375,299.8916320800781,1621.5203857421875,False,9.0,1,0,True,1,3,7,2,1457.340087890625,1492.02001953125,36,307.0,0,0
2024,136,10,10.0,308.0,optimal,Christian Watson|Deebo Samuel|George Kittle|Isiah Pacheco|Jalen Hurts|Jerome Ford|Jordan Addison|Keon Coleman|Najee Harris|Pat Freiermuth|Rashee Rice|Stefon Diggs|Zay Flowers,293.05096435546875,302.60033893585205,1632.2132568359375,False,22.0,1,0,True,1,3,7,2,1538.739990234375,1467.919921875,31,320.0,0,0
2024,137,none,,,optimal,Blake Corum|Chuba Hubbard|Cooper Kupp|David Njoku|Dk Metcalf|Jalen Hurts|Joshua Palmer|Justin Jefferson|Mark Andrews|Najee Harris|Rashee Rice|Tyjae Spears|Xavier Worthy,289.9384460449219,309.2610750198364,1657.5733642578125,False,70.0,1,0,True,1,4,6,2,1611.43994140625,1632.719970703125,25,368.0,0,0
2024,137,5,5.0,303.0,optimal,Blake Corum|Chuba Hubbard|Cooper Kupp|David Njoku|Dk Metcalf|Jalen Hurts|Jonathon Brooks|Joshua Palmer|Justin Jefferson|Mark Andrews|Najee Harris|Rashee Rice|Xavier Worthy,276.03106689453125,298.05586099624634,1652.462158203125,False,48.0,2,0,True,1,4,6,2,1625.6400146484375,1630.02001953125,25,346.0,0,0
2024,137,10,10.0,308.0,optimal,Chuba Hubbard|Cooper Kupp|David Njoku|Dk Metcalf|Jalen Hurts|Jonathon Brooks|Joshua Palmer|Justin Jefferson|Mark Andrews|Najee Harris|Rashee Rice|Tyjae Spears|Xavier Worthy,287.3182067871094,305.2394185066223,1671.9825439453125,False,64.0,2,0,True,1,4,6,2,1611.43994140625,1626.419921875,25,362.0,0,0
2024,138,none,,,optimal,Brock Bowers|Ceedee Lamb|Chase Brown|Dk Metcalf|Gus Edwards|Jalen Hurts|Jayden Reed|Joshua Palmer|Kyle Pitts|Malik Nabers|Rashee Rice|Xavier Legette|Zamir White,297.6128845214844,314.5793914794922,1671.470458984375,True,0.0,1,0,True,1,3,7,2,1645.739990234375,1565.6201171875,25,298.0,0,0
2024,138,5,5.0,303.0,optimal,Brock Bowers|Ceedee Lamb|Chase Brown|Dk Metcalf|Gus Edwards|Jalen Hurts|Jayden Reed|Joshua Palmer|Kyle Pitts|Nathaniel Dell|Rashee Rice|Xavier Worthy|Zamir White,285.5322265625,300.1398239135742,1654.44482421875,False,6.0,1,0,True,1,3,7,2,1549.3399658203125,1510.1201171875,29,304.0,0,0
2024,138,10,10.0,308.0,optimal,Brock Bowers|Ceedee Lamb|Chase Brown|Dk Metcalf|Dontayvion Wicks|Gus Edwards|Jalen Hurts|Jayden Reed|Joshua Palmer|Kyle Pitts|Malik Nabers|Rashee Rice|Tyjae Spears,294.3367919921875,304.71101665496826,1671.728515625,False,4.0,1,0,True,1,3,7,2,1659.739990234375,1596.1199951171875,25,302.0,0,0
