comparison,year,comparisons,roster_changed_rate,roster_jaccard,both_feasible_rate,mean_actual_points_effect,mean_drafted_only_points_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_forecast_ev_effect,mean_sampled_salary_spend_effect,mean_point_salary_spend_effect,mean_actual_waiver_starts_effect,mean_salary_model_fallback_players_effect,mean_minimum_salary_fallback_players_effect,mean_joint_feasible_actual_points_effect
10_minus_none,2022,250,0.62,0.8063628384687208,0.18,-3.309599609375,-5.485037109375,0.036,-3.352,-4.124,-2.928619140625,-2.6939024658203126,-5.570176873207092,1.364,0.008,0.008,0.5715521918402777
10_minus_none,2023,250,0.932,0.658217971399086,0.032,-6.801677734375,-13.43504052734375,0.1,-13.376,-14.788,-6.951642578125,-7.139526123046875,-14.445230491638183,1.288,0.04,0.016,-17.434967041015625
10_minus_none,2024,250,0.8,0.715309194555015,0.036,1.2464814453125,2.02488037109375,0.048,-5.572,-6.116,-5.58084521484375,-2.83274609375,-7.801965171337128,0.112,-0.004,0.004,3.0333251953125
10_minus_none,2025,250,0.824,0.7017118875620423,0.036,-16.94327587890625,-19.502716796875,0.056,-10.244,-10.836,-9.39932177734375,-3.1752203369140624,-10.583891444206238,1.276,0.024,0.0,-1.9510904947916667
5_minus_10,2022,250,0.732,0.7855209150326797,0.228,-7.8461611328125,-6.6747216796875,0.04,-1.932,-2.596,-2.1781279296875,-2.917740966796875,-4.052931254386902,0.724,0.0,0.0,-4.204898231907895
5_minus_10,2023,250,0.944,0.7048586515307877,0.112,-0.33583984375,-9.65064404296875,0.088,-3.82,-4.64,-1.627515625,-3.678304016113281,-4.838362151145935,1.02,-0.008,-0.004,11.027875627790179
5_minus_10,2024,250,0.836,0.735272391763723,0.08,-8.51808544921875,-8.725921875,0.068,-4.904,-5.384,-3.9170703125,-3.03068994140625,-4.259239073753357,0.612,0.024,0.0,-14.45599365234375
5_minus_10,2025,250,0.872,0.7373997346306944,0.08,-3.09735986328125,-7.856478515625,0.064,-3.316,-3.908,-4.48856298828125,-2.506745361328125,-4.559512473583221,0.796,0.016,0.004,0.49500732421875
5_minus_none,2022,250,0.788,0.7371638655462185,0.2,-11.1557607421875,-12.1597587890625,0.076,-5.284,-6.72,-5.1067470703125,-5.611643432617187,-9.623108127593994,2.088,0.008,0.008,-4.17719482421875
5_minus_none,2023,250,0.992,0.6266354120595606,0.032,-7.137517578125,-23.0856845703125,0.188,-17.196,-19.428,-8.579158203125,-10.817830139160156,-19.283592642784118,2.308,0.032,0.012,22.067535400390625
5_minus_none,2024,250,0.912,0.6680697134994349,0.036,-7.27160400390625,-6.70104150390625,0.116,-10.476,-11.5,-9.49791552734375,-5.86343603515625,-12.061204245090485,0.724,0.02,0.004,5.257798936631945
5_minus_none,2025,250,0.932,0.6368813356921715,0.028,-20.0406357421875,-27.3591953125,0.12,-13.56,-14.744,-13.887884765625,-5.681965698242188,-15.14340391778946,2.072,0.04,0.004,-17.537126813616073
