"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"1","Christian McCaffrey","SF","9 ","RB1","1","1","1","1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","2","2","2","2","2.0"
"3","Tyreek Hill","MIA","6","WR2","3","3","3","3","3.0"
"4","Breece Hall","NYJ","12","RB2","4","4","4","7","4.8"
"5","Amon-Ra St. Brown","DET","5","WR3","7","6","5","4","5.5"
"6","Bijan Robinson","ATL","12","RB3","6","5","8","5","6.0"
"7","Ja'Marr Chase","CIN","12","WR4","5","8","6","6","6.3"
"8","Justin Jefferson","MIN","6","WR5","8","7","7","8","7.5"
"9","A.J. Brown","PHI","5","WR6","9","11","9","9","9.5"
"10","Garrett Wilson","NYJ","12","WR7","10","12","10","10","10.5"
"11","Jonathan Taylor","IND","14","RB4","11","10","14","12","11.8"
"12","Puka Nacua","LAR","6","WR8","12","14","11","11","12.0"
"13","Jahmyr Gibbs","DET","5","RB5","13","13","13","15","13.5"
"14","Marvin Harrison Jr.","ARI","11","WR9","15","17","12","13","14.3"
"15","Saquon Barkley","PHI","5","RB6","14","9","18","21","15.5"
"16","Drake London","ATL","12","WR10","18","26","15","14","18.3"
"17","De'Von Achane","MIA","6","RB7","21","18","19","18","19.0"
"18","Nico Collins","HOU","14","WR11","23","25","16","17","20.3"
"19","Davante Adams","LAR","6","WR12","17","23","24","20","21.0"
"20","Deebo Samuel Sr.","WAS","14","WR13","24","28","17","19","22.0"
"21","Kyren Williams","LAR","6","RB8","16","21","26","27","22.5"
"22","Chris Olave","NO","12","WR14","19","32","22","23","24.0"
"23","Cooper Kupp","SEA","10","WR15","25","36","21","16","24.5"
"24","Derrick Henry","BAL","14","RB9","22","20","30","33","26.3"
"25","Travis Etienne Jr.","JAC","12","RB10","20","15","37","34","26.5"
"26","Isiah Pacheco","KC","6","RB11","27","22","32","32","28.3"
"27","Jaylen Waddle","MIA","6","WR16","30","40","20","25","28.8"
"28","Josh Allen","BUF","12","QB1","26","16","36","39","29.3"
"29","DK Metcalf","PIT","9","WR17","35","39","29","24","31.8"
"30","DJ Moore","CHI","7","WR18","28","41","31","30","32.5"
"31","Brandon Aiyuk","SF","9 ","WR19","31","47","25","28","32.8"
"32","Malik Nabers","NYG","11","WR20","36","51","23","22","33.0"
"33","Mike Evans","TB","11","WR21","29","49","27","29","33.5"
"34","DeVonta Smith","PHI","5","WR22","37","44","28","26","33.8"
"35","Michael Pittman Jr.","IND","14","WR23","32","30","39","38","34.8"
"36","Sam LaPorta","DET","5","TE1","33","29","38","41","35.3"
"37","Jalen Hurts","PHI","5","QB2","34","24","41","46","36.3"
"38","Josh Jacobs","GB","10","RB12","41","19","45","43","37.0"
"39","Patrick Mahomes II","KC","6","QB3","39","27","44","40","37.5"
"40","Travis Kelce","KC","6","TE2","40","34","43","36","38.3"
"41","Stefon Diggs","NE","14 ","WR24","42","43","35","35","38.8"
"42","Rashee Rice","KC","6 ","WR25","53","59","33","31","44.0"
"43","Lamar Jackson","BAL","14","QB4","44","35","49","49","44.3"
"44","James Cook","BUF","12","RB13","43","31","54","57","46.3"
"45","Trey McBride","ARI","11","TE3","47","48","47","47","47.3"
"46","Kenneth Walker III","SEA","10","RB14","46","37","57","50","47.5"
"47","Rachaad White","TB","11","RB15","38","33","58","63","48.0"
"48","Tank Dell","HU","14 O","WR26","49","77","34","37","49.3"
"49","Tee Higgins","CIN","12","WR27","50","65","42","45","50.5"
"50","Amari Cooper","","","WR28","45","63","46","48","50.5"
"51","Zay Flowers","BAL","14","WR29","52","73","40","44","52.3"
"52","Dalton Kincaid","BUF","12","TE4","59","46","53","52","52.5"
"53","Mark Andrews","BAL","14","TE5","54","52","51","54","52.8"
"54","Joe Mixon","HOU","14","RB16","48","42","63","62","53.8"
"55","Alvin Kamara","NO","12","RB17","51","38","73","56","54.5"
"56","Terry McLaurin","WAS","14","WR30","61","67","48","42","54.5"
"57","George Pickens","DAL","7","WR31","56","58","50","55","54.8"
"58","Anthony Richardson Sr.","IND","14","QB5","57","45","62","71","58.8"
"59","Christian Kirk","HU","14 O","WR32","60","75","55","53","60.8"
"60","C.J. Stroud","HOU","14","QB6","55","50","70","76","62.8"
"61","Kyle Pitts","ATL","12","TE6","69","69","60","61","64.8"
"62","Kyler Murray","ARI","11","QB7","70","54","71","68","65.8"
"63","Calvin Ridley","TEN","5","WR33","62","87","56","58","65.8"
"64","Chris Godwin","TB","11 ","WR34","66","74","64","60","66.0"
"65","Keenan Allen","","","WR35","58","84","65","65","68.0"
