"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"1","Christian McCaffrey","SF","9","RB1","3","2","3","1","2.3"
"2","Tyreek Hill","MIA","10","WR1","5","5","4","7","5.3"
"3","Travis Kelce","KC","10","TE1","6","9","8","10","8.3"
"4","CeeDee Lamb","DAL","7","WR2","11","10","11","2","8.5"
"5","Stefon Diggs","NE","11","WR3","8","12","7","11","9.5"
"6","A.J. Brown","PHI","10","WR4","12","14","9","13","12.0"
"7","Amon-Ra St. Brown","DET","9","WR5","14","19","12","14","14.8"
"8","Tony Pollard","TEN","7","RB2","18","16","15","18","16.8"
"9","Patrick Mahomes II","KC","10","QB1","17","13","22","16","17.0"
"10","Josh Allen","BUF","13","QB2","23","11","26","9","17.3"
"11","Jalen Hurts","PHI","10","QB3","22","15","23","12","18.0"
"12","Jaylen Waddle","MIA","10","WR6","20","22","17","29","22.0"
"13","DeVonta Smith","PHI","10","WR7","25","23","24","22","23.5"
"14","Lamar Jackson","BAL","13","QB4","36","28","31","4","24.8"
"15","Cooper Kupp","SEA","5","WR8","7","46","19","33","26.3"
"16","Deebo Samuel Sr.","WAS","14","WR9","33","41","34","3","27.8"
"17","Jahmyr Gibbs","DET","9","RB3","38","44","29","23","33.5"
"18","Amari Cooper","","","WR10","39","40","32","34","36.3"
"19","Mark Andrews","BAL","13","TE2","31","30","28","60","37.3"
"20","Brandon Aiyuk","SF","9","WR11","61","62","47","6","44.0"
"21","Najee Harris","LAC","5","RB4","28","24","44","82","44.5"
"22","Aaron Jones Sr.","MIN","13","RB5","42","38","49","64","48.3"
"23","George Kittle","SF","9","TE3","69","54","66","8","49.3"
"24","James Cook","BUF","13","RB6","68","48","65","19","50.0"
"25","Chris Godwin","TB","5","WR12","54","67","61","55","59.3"
"26","Christian Watson","GB","6","WR13","50","75","40","87","63.0"
"27","Rachaad White","TB","5","RB7","70","55","81","48","63.5"
"28","Dallas Goedert","PHI","10","TE4","81","64","79","32","64.0"
"29","D'Andre Swift","CHI","13","RB8","73","74","85","27","64.8"
"30","Isiah Pacheco","KC","10","RB9","82","73","88","20","65.8"
"31","David Montgomery","DET","9","RB10","79","70","75","43","66.8"
"32","Mike Evans","TB","5","WR14","71","88","69","44","68.0"
"33","Gabe Davis","","","WR15","84","94","67","39","71.0"
"34","Diontae Johnson","CLE","5","WR16","60","81","51","97","72.3"
"35","George Pickens","DAL","7","WR17","72","79","58","81","72.5"
"36","Dak Prescott","DAL","7","QB5","86","80","107","21","73.5"
"37","Zay Flowers","BAL","13","WR18","103","106","73","15","74.3"
"38","Tua Tagovailoa","MIA","10","QB6","90","89","94","35","77.0"
"39","Brandin Cooks","NO","11","WR19","89","98","83","38","77.0"
"40","Dalvin Cook","","","RB11","75","68","93","73","77.3"
"41","David Njoku","CLE","5","TE5","112","103","108","42","91.3"
"42","Raheem Mostert","LV","13","RB12","143","93","111","25","93.0"
"43","Justin Jefferson","MIN","13","WR20","1","1","1","","1.0"
"44","Ja'Marr Chase","CIN","7","WR21","2","3","2","","2.3"
"45","De'Von Achane","MIA","10","RB13","127","99","127","31","96.0"
"46","Austin Ekeler","WAS","14","RB14","4","4","5","","4.3"
"47","Odell Beckham Jr.","","","WR22","126","113","110","41","97.5"
"48","Bijan Robinson","ATL","11","RB15","9","7","6","","7.3"
"49","Jared Goff","DET","9","QB7","109","114","129","46","99.5"
"50","Elijah Moore","BUF","13","WR23","100","129","92","78","99.8"
"51","Rashod Bateman","BAL","13","WR24","113","143","97","51","101.0"
"52","Saquon Barkley","PHI","10","RB16","10","6","14","","10.0"
