"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"1","David Johnson","","","RB1","1","1","","","1.0"
"2","Le","","'Veon Bell","","","RB2","2","2","","","2.0"
"3","Antonio Brown","","","WR1","3","3","","","3.0"
"4","Julio Jones","","","WR2","4","4","","","4.0"
"5","Odell Beckham Jr.","","","WR3","5","5","","","5.0"
"6","Mike Evans","TB","1","WR4","6","6","","","6.7"
"7","LeSean McCoy","","","RB3","8","9","","","7.7"
"8","A.J. Green","","","WR5","7","10","","","8.0"
"9","Melvin Gordon","III","","RB4","9","7","","","8.7"
"10","Devonta Freeman","","","RB5","10","8","","","9.7"
"11","Jordy Nelson","","","WR6","11","11","","","11.3"
"12","Ezekiel Elliott","","","RB6","17","12","","","12.7"
"13","Michael Thomas","","","WR7","12","14","","","13.3"
"14","Jay Ajayi","","","RB7","14","13","","","13.3"
"15","Jordan Howard","","","RB8","13","15","","","14.7"
"16","DeMarco Murray","","","RB9","15","16","","","15.3"
"17","Dez Bryant","","","WR8","18","17","","","18.0"
"18","Amari Cooper","","","WR9","16","22","","","18.7"
"19","Todd Gurley","II","","RB10","19","18","","","19.0"
"20","Rob Gronkowski","","","TE1","20","21","","","19.3"
"21","T.Y. Hilton","","","WR10","21","19","","","20.3"
"22","Doug Baldwin","","","WR11","22","24","","","22.7"
"23","Brandin Cooks","NO","5","WR12","23","23","","","23.3"
"24","Aaron Rodgers","PIT","9","QB1","27","20","","","24.0"
"25","Leonard Fournette","","","RB11","24","25","","","24.0"
"26","DeAndre Hopkins","BAL","10","WR13","26","29","","","27.7"
"27","Isaiah Crowell","","","RB12","32","27","","","28.7"
"28","Lamar Miller","","","RB13","31","30","","","29.0"
"29","Demaryius Thomas","","","WR14","25","32","","","29.3"
"30","Tom Brady","","","QB2","35","26","","","30.0"
"31","Terrelle Pryor Sr.","","","WR15","34","28","","","32.0"
"32","Travis Kelce","KC","10","TE2","33","31","","","32.0"
"33","Christian McCaffrey","SF","11","RB14","28","35","","","32.7"
"34","Keenan Allen","","","WR16","29","36","","","32.7"
"35","Marshawn Lynch","","","RB15","40","37","","","35.7"
"36","Dalvin Cook","","","RB16","30","39","","","37.0"
"37","Alshon Jeffery","","","WR17","37","34","","","37.0"
"38","Allen Robinson","II","","WR18","36","44","","","40.3"
"39","Joe Mixon","HOU","7","RB17","38","45","","","40.3"
"40","Davante Adams","LAR","8","WR19","41","41","","","40.3"
"41","Tyreek Hill","MIA","1","WR20","39","40","","","41.0"
"42","Carlos Hyde","","","RB18","44","38","","","41.7"
"43","Ty Montgomery","II","","RB19","43","47","","","42.0"
"44","Drew Brees","","","QB3","51","33","","","43.3"
"45","Michael Crabtree","","","WR21","42","48","","","46.0"
"46","Sammy Watkins","","","WR22","48","54","","","46.3"
"47","Jordan Reed","","","TE3","52","42","","","47.0"
"48","Golden Tate","","","WR23","45","49","","","47.7"
"49","Jarvis Landry","","","WR24","50","43","","","48.7"
"50","Greg Olsen","","","TE4","53","46","","","49.7"
"51","Larry Fitzgerald","","","WR25","46","57","","","51.3"
"52","Martavis Bryant","","","WR26","49","63","","","52.3"
"53","Stefon Diggs","NE","9","WR27","47","62","","","54.3"
"54","Mark Ingram","II","","RB20","56","52","","","54.3"
"55","Kelvin Benjamin","","","WR28","55","53","","","55.3"
"56","C.J. Anderson","","","RB21","58","59","","","58.0"
"57","Julian Edelman","","","WR29","54","50","","","59.0"
"58","Jimmy Graham","","","TE5","64","61","","","60.3"
"59","Emmanuel Sanders","","","WR30","60","65","","","61.3"
"60","Matt Ryan","","","QB4","71","51","","","62.0"
"61","Ameer Abdullah","","","RB22","57","64","","","62.7"
"62","Tevin Coleman","","","RB23","67","60","","","62.7"
"63","Danny Woodhead","","","RB24","63","67","","","64.0"
"64","Bilal Powell","","","RB25","65","58","","","64.3"
"65","Jamison Crowder","","","WR31","59","72","","","64.7"
"66","Mike Gillislee","","","RB26","75","71","","","66.0"
"67","Spencer Ware","","","RB27","62","55","","","66.3"
"68","Russell Wilson","NYG","8","QB5","72","56","","","67.3"
"69","Willie Snead","IV","","WR32","61","84","","","68.3"
"70","Brandon Marshall","","","WR33","68","70","","","69.0"
"71","DeVante Parker","","","WR34","66","77","","","71.7"
"72","Doug Martin","","","RB28","69","82","","","72.0"
"73","Tyler Eifert","","","TE6","74","83","","","76.0"
"74","Kareem Hunt","KC","10","RB29","73","79","","","76.3"
"75","Adrian Peterson","","","RB30","77","87","","","76.7"
"76","Pierre Garcon","","","WR35","70","85","","","77.0"
"77","Andrew Luck","","","QB6","92","66","","","77.7"
"78","DeSean Jackson","","","WR36","79","88","","","78.3"
"79","Kyle Rudolph","","","TE7","80","78","","","80.3"
"80","Paul Perkins","","","RB31","88","73","","","81.7"
"81","Zach Ertz","WAS","5","TE8","85","68","","","82.7"
"82","Donte Moncrief","","","WR37","83","91","","","84.3"
"83","Jameis Winston","NYG","8","QB7","93","76","","","84.7"
"84","Cam Newton","","","QB8","98","69","","","86.0"
"85","Marcus Mariota","WAS","5","QB9","91","75","","","86.0"
"86","Delanie Walker","","","TE9","87","90","","","86.0"
"87","Theo Riddick","","","RB32","84","86","","","86.3"
"88","Derrick Henry","BAL","10","RB33","76","99","","","87.7"
"89","Jeremy Maclin","","","WR38","81","102","","","87.7"
"90","Kirk Cousins","ATL","5","QB10","99","80","","","89.7"
"91","Randall Cobb","","","WR39","86","107","","","90.3"
"92","Derek Carr","","","QB11","96","81","","","92.3"
"93","Eric Decker","","","WR40","95","89","","","93.3"
"94","Ben Roethlisberger","","","QB12","110","74","","","94.0"
"95","Frank Gore","","","RB34","89","109","","","94.7"
"96","Martellus Bennett","","","TE10","94","100","","","95.7"
"97","Cameron Meredith","","","WR41","78","94","","","96.3"
"98","Tyrell Williams","","","WR42","82","110","","","96.3"
"99","Eddie Lacy","","","RB35","106","97","","","96.7"
"100","Terrance West","","","RB36","97","96","","","98.0"
"101","Duke Johnson Jr.","","","RB37","90","98","","","101.3"
"102","LeGarrette Blount","","","RB38","107","103","","","101.3"
"103","Hunter Henry","NE","9","TE11","100","101","","","101.3"
"104","Dak Prescott","DAL","6","QB13","112","92","","","104.7"
"105","Robert Kelley","","","RB39","101","105","","","104.7"
"106","Matthew Stafford","LAR","8","QB14","116","93","","","106.0"
"107","Adam Thielen","CAR","11","WR43","103","113","","","107.7"
"108","John Brown","","","WR44","114","112","","","108.3"
"109","Eric Ebron","","","TE12","113","108","","","108.7"
"110","Philip Rivers","","","QB15","119","95","","","109.3"
"111","Corey Coleman","","","WR45","105","116","","","110.7"
"112","Marvin Jones Jr.","","","WR46","108","129","","","113.0"
"113","James White","","","RB40","117","111","","","116.0"
"114","Andy Dalton","CAR","11","QB16","125","106","","","116.3"
"115","Kenny Britt","","","WR47","109","137","","","117.3"
"116","Jack Doyle","","","TE13","121","117","","","117.7"
"117","Darren McFadden","","","RB41","104","125","","","119.3"
"118","Jordan Matthews","","","TE14","111","124","","","120.0"
"119","Eli Manning","","","QB17","132","104","","","120.7"
"120","C.J. Prosise","","","RB42","126","115","","","121.0"
"121","Rishard Matthews","","","WR48","123","119","","","122.0"
"122","Jonathan Stewart","","","RB43","124","131","","","122.3"
"123","Corey Davis","","","WR49","102","143","","","122.7"
"124","Ted Ginn Jr.","","","WR50","120","144","","","122.7"
"125","Mike Wallace","","","WR51","118","134","","","123.7"
"126","Thomas Rawls","","","RB44","115","128","","","125.0"
"127","Samaje Perine","CIN","6","RB45","128","136","","","125.7"
"128","Matt Forte","","","RB46","134","122","","","125.7"
"129","Carson Wentz","","","QB18","133","114","","","127.0"
"130","Jacquizz Rodgers","","","RB47","137","120","","","128.3"
"131","Carson Palmer","","","QB19","138","118","","","128.7"
"132","Coby Fleener","","","TE15","141","121","","","129.7"
"133","Chris Hogan","","","WR52","122","127","","","135.0"
"134","Tyrod Taylor","NYJ","11","QB20","157","123","","","137.0"
"135","Darren Sproles","","","RB48","129","146","","","137.3"
"136","Jamaal Williams","","","RB49","136","138","","","138.0"
"137","Austin Hooper","NE","9","TE16","135","151","","","139.7"
"138","Jason Witten","","","TE17","143","149","","","142.3"
"139","Jeremy Hill","","","RB50","150","139","","","144.0"
"140","Cameron Brate","","","TE18","160","140","","","147.0"
"141","Josh Doctson","","","WR53","147","152","","","147.0"
"142","Zay Jones","ARI","8","WR54","127","165","","","148.0"
"143","Rex Burkhead","","","RB51","130","163","","","148.7"
"144","Kevin White","","","WR55","142","160","","","150.0"
"145","Sterling Shepard","TB","1","WR56","139","167","","","150.3"
"146","Jamaal Charles","","","RB52","161","161","","","153.7"
"147","Julius Thomas","","","TE19","163","154","","","153.7"
"148","Latavius Murray","","","RB53","171","155","","","154.7"
"149","Robbie Chosen","","","WR57","140","164","","","155.3"
"150","Sam Bradford","","","QB21","162","148","","","155.7"
"151","Joe Flacco","CLE","9","QB22","173","141","","","156.3"
"152","Cole Beasley","","","WR58","149","173","","","156.3"
"153","Alvin Kamara","NO","5","RB54","144","159","","","158.0"
"154","Tyler Lockett","TEN","8","WR59","159","178","","","162.7"
"155","Giovani Bernard","","","RB55","152","170","","","163.3"
"156","O.J. Howard","","","TE20","155","174","","","164.7"
"157","Taylor Gabriel","","","WR60","170","190","","","165.3"
"158","Marlon Mack","","","RB56","169","147","","","165.7"
"159","Cooper Kupp","SEA","6","WR61","146","179","","","166.3"
"160","Kenny Stills","","","WR62","182","175","","","167.7"
"161","C.J. Fiedorowicz","","","TE21","179","171","","","169.3"
"162","Blake Bortles","","","QB23","221","130","","","170.0"
"163","Kenny Golladay","","","WR63","156","186","","","170.7"
"164","Mohamed Sanu Sr.","","","WR64","175","189","","","171.0"
"165","Jonathan Williams","","","RB57","165","188","","","172.0"
"166","Evan Engram","DEN","5","TE22","164","172","","","172.0"
"167","John Ross","","","WR65","177","193","","","173.3"
"168","Alex Smith","","","QB24","195","153","","","174.3"
"169","Jared Cook","","","TE23","188","181","","","174.3"
"170","Chris Thompson","","","RB58","180","162","","","179.3"
"171","Brian Hoyer","","","QB25","199","166","","","179.3"
"172","Dion Lewis","","","RB59","186","180","","","181.3"
"173","Antonio Gates","","","TE24","185","202","","","182.3"
"174","Shane Vereen","","","RB60","178","183","","","183.7"
"175","D","","'Onta Foreman","","","RB61","176","203","","","185.3"
"176","Charles Clay","","","TE25","189","204","","","185.7"
"177","Joe Williams","","","RB62","205","198","","","188.0"
"178","DeAndre Washington","","","RB63","187","206","","","188.3"
"179","Deshaun Watson","CLE","9","QB26","204","176","","","188.7"
"180","Dwayne Allen","","","TE26","213","177","","","190.7"
"181","Denver Broncos","DST","5","DST1","131","132","","","131.5"
"182","Robert Woods","PIT","9","WR66","226","185","","","193.3"
"183","Wendell Smallwood","","","RB64","184","208","","","195.3"
"184","David Njoku","CLE","9","TE27","206","196","","","196.3"
