method,metric,rows,max_absolute_difference
te_pff_mtf_w025,pool_size,2224,0.0
te_pff_mtf_w025,ppg_mean,2224,0.0
te_pff_mtf_w025,ppg_crps,2224,0.0
te_pff_mtf_w025,contribution_mean,2224,0.0
te_pff_mtf_w025,contribution_crps,2224,0.0
te_pff_mtf_w025,played_mean,2224,0.0
te_pff_mtf_w025,played_crps,2224,0.0
te_pff_mtf_w025,prob_league_winner_q90,2224,0.0
te_pff_mtf_w025,tail_utility_q90_crps,2224,0.0
te_pff_mtf_w050,pool_size,2224,0.0
te_pff_mtf_w050,ppg_mean,2224,0.0
te_pff_mtf_w050,ppg_crps,2224,0.0
te_pff_mtf_w050,contribution_mean,2224,0.0
te_pff_mtf_w050,contribution_crps,2224,0.0
te_pff_mtf_w050,played_mean,2224,0.0
te_pff_mtf_w050,played_crps,2224,0.0
te_pff_mtf_w050,prob_league_winner_q90,2224,0.0
te_pff_mtf_w050,tail_utility_q90_crps,2224,0.0
te_pff_yac_w025,pool_size,2224,0.0
te_pff_yac_w025,ppg_mean,2224,0.0
te_pff_yac_w025,ppg_crps,2224,0.0
te_pff_yac_w025,contribution_mean,2224,0.0
te_pff_yac_w025,contribution_crps,2224,0.0
te_pff_yac_w025,played_mean,2224,0.0
te_pff_yac_w025,played_crps,2224,0.0
te_pff_yac_w025,prob_league_winner_q90,2224,0.0
te_pff_yac_w025,tail_utility_q90_crps,2224,0.0
