period,metric,n,season_clusters,primary_minus_baseline,bootstrap_p025,bootstrap_p975,probability_primary_better
recent_2020_2025,ppg_crps,1080,6,-0.0010854733548027761,-0.00506695898329906,0.003053545764399066,0.6715
recent_2020_2025,contribution_crps,1080,6,-0.012045336463909326,-0.04014167320680618,0.014284237850480497,0.7885
recent_2020_2025,played_crps,1080,6,-0.005713120668957422,-0.010218952842885107,-0.001540519260079835,0.998
recent_2020_2025,plus3_brier_row,1080,6,0.00012895254986507504,-0.0009830581013289836,0.0012372348740079086,0.4045
recent_2020_2025,plus5_brier_row,1080,6,-0.00024294539518891938,-0.000488624403969931,0.00010246075774508566,0.9425
recent_2020_2025,impact_brier_row,1080,6,-0.0004527295536659731,-0.0011857460156351337,0.0002837057573208179,0.8825
recent_2020_2025,zero_brier_row,1080,6,7.856616449133945e-05,-0.0002534436407183479,0.0004117726411035829,0.315
recent_2020_2025,extended_absence_brier_row,1080,6,-0.00022449479502603453,-0.0005783530715639237,0.00012936348151185447,0.892
temporal_2023_2025,ppg_crps,540,3,-0.0015803078974922877,-0.009232324691992177,0.005918201104236193,0.641
temporal_2023_2025,contribution_crps,540,3,-0.011158798897671659,-0.05294972939733655,0.010250956170971607,0.717
temporal_2023_2025,played_crps,540,3,-0.005055211718568741,-0.015591243622538858,0.0005265540566329548,0.749
temporal_2023_2025,plus3_brier_row,540,3,0.0007978801499368592,-0.00046307349564597575,0.0022833758314310744,0.1505
temporal_2023_2025,plus5_brier_row,540,3,-9.522050118341153e-05,-0.00041668268271074154,0.0005464457815325019,0.761
temporal_2023_2025,impact_brier_row,540,3,-0.00043638459950255936,-0.0020308451404389815,0.0011649136394691233,0.6245
temporal_2023_2025,zero_brier_row,540,3,1.746797898088487e-05,-0.0004254257385713148,0.0004734774676404652,0.368
temporal_2023_2025,extended_absence_brier_row,540,3,-0.00027150018626609195,-0.000818500895803327,0.0002467906126626711,0.8575
