method,season,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,zero_active_actual_rate,zero_active_predicted_rate,zero_active_brier,zero_active_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,weighted_draft_distance,weighted_support_distance,mean_effective_draft_weight,draft_capital_coverage
all_context_hl8,2017,180.0,1.8810296694646362,2.657945051469775,0.4802857660521754,0.8388888888888889,0.4583134763612526,0.10506051820672657,19.96378314024436,29.03177560685304,5.218059752694932,0.7888888888888889,0.46575702444394773,0.0895477414729865,0.13333333333333333,0.18211792312322878,0.11673444370968211,0.5774572649572649,0.05555555555555555,0.08657890732201494,0.05275823552379275,0.6088235294117647,0.09444444444444444,0.14268811071879722,0.08793206108255802,0.5849873691808012,0.03888888888888889,0.03240134097114414,0.03729208342691713,0.6977704376548307,0.46607585568114107,-0.08202310770908566,-1.4026049574565655,58.59472447482593,0.05000000000000002,1.5486998969699821,2.4117367845155298,0.047154310824938435,0.9111111111111111,0.13333333333333333,0.12205341304750246,0.1174547733319632,0.5352564102564102,0.005555555555555556,0.008997264384181055,0.00586680077511855,0.30446927374301674,4.2773084055978225,0.4553091931238484,0.0,0.2892201309852552,0.23468671675035024,0.2696282678527309,0.8777777777777778
all_context_hl8,2018,180.0,1.9788251959354157,2.7756114622417267,-0.7576666056287692,0.8111111111111111,0.5714690439505479,0.12351333285370103,21.976863672482477,30.93500398807067,-7.079352660071726,0.8055555555555556,0.5544337244609415,0.09517773746263003,0.2722222222222222,0.17854721168115076,0.20706425102680903,0.5292101573453809,0.12777777777777777,0.08452549744878937,0.10996719841462418,0.5868180559401828,0.16111111111111112,0.10159100897760354,0.12477166307622518,0.7855674811600822,0.011111111111111112,0.027144067041829936,0.012235217797604697,0.3960674157303371,0.5399138654781956,0.05436381781330699,-1.3706473164331403,58.62661727854835,0.050000000000000024,1.481550599581727,2.2853782522280555,0.01693026394983457,0.9166666666666666,0.11666666666666667,0.12470470218399056,0.10664238276384835,0.510931416591794,0.005555555555555556,0.006652742740644693,0.005739626626146823,0.3128491620111732,4.512360759672495,0.44643087655628794,0.05930165508517773,0.28463981777250474,0.23836949272569566,0.28816051177422214,0.8833333333333333
all_context_hl8,2019,180.0,1.8715773906407196,2.5871296698773834,-0.34542221554838143,0.8166666666666667,0.5325270890727153,0.09786888087350942,20.201319586104113,28.19115446913432,-4.823426369197746,0.8555555555555555,0.536654319931476,0.09915271826000893,0.18333333333333332,0.18870518122754912,0.1518823739002549,0.5060812203669347,0.08333333333333333,0.0868206620475673,0.07937591883760318,0.47353535353535353,0.10555555555555556,0.11553803409751612,0.09110131723183579,0.6907486106570775,0.03888888888888889,0.026125669540496263,0.036347222004180904,0.6040462427745664,0.5917707928262358,-0.0557013076535284,-1.1609863614648772,57.17695259550119,0.05000000000000002,1.3822061731141262,2.161821444171662,-0.1607761929100631,0.9388888888888889,0.1,0.12037804683720492,0.08901833205624984,0.6426611796982168,0.011111111111111112,0.004165974998086509,0.011201012925451566,0.3595505617977528,4.806501336332238,0.426731433196941,0.10710543312307157,0.2654750170783472,0.23876338473830178,0.3144642458917408,0.9
all_context_hl8,2020,180.0,1.8110915485089392,2.494838125170244,-0.6635960720412697,0.85,0.5598940812042889,0.1368250882262947,20.438028601900836,29.16986046418352,-3.6785718244385874,0.8222222222222222,0.5318776572654916,0.08158525727439725,0.2,0.18772941697128154,0.1573801822066422,0.5833333333333334,0.08888888888888889,0.08411913134010496,0.0813235797736772,0.5388719512195121,0.12222222222222222,0.11466909121325584,0.09985850374690812,0.737054085155351,0.022222222222222223,0.02859154306170694,0.021439669663967594,0.8295454545454546,0.6154191213445191,-0.034671852011893364,-1.0849454901576665,58.24651827394086,0.050000000000000024,1.5071895714578019,2.1812405321011266,0.34156408661581983,0.9055555555555556,0.14444444444444443,0.12201130616695903,0.11821726196408615,0.689060939060939,0.005555555555555556,0.0073370621514262805,0.0059837305252652545,0.31843575418994413,5.1333884137845445,0.4040485754726087,0.1414904309128235,0.25554883414282215,0.22949672089803677,0.33043054017268575,0.9166666666666666
all_context_hl8,2021,180.0,1.9803687129172125,2.697289254127795,0.12435788510112664,0.8111111111111111,0.5064015724897678,0.07280921670407697,20.534215941132572,28.920125917861,2.7456916348473093,0.8055555555555556,0.48673643123411175,0.06454438877401392,0.15,0.18190579859706454,0.12822932144046717,0.5807310578552408,0.05555555555555555,0.07914664852135703,0.05436311577310019,0.5364705882352941,0.09444444444444444,0.11698220421377534,0.081467264482345,0.7297004691447131,0.03888888888888889,0.027078868208669872,0.035024430550258175,0.7126341866226259,0.5540180229995049,-0.06168914678436577,-1.0461275855051066,57.01531220780067,0.05000000000000002,1.6002549388463563,2.274159132033014,0.47888866848972894,0.8944444444444445,0.15,0.12151974127376278,0.12070493821678013,0.6138949406923263,0.022222222222222223,0.008505594796570355,0.019157805632824505,0.6278409090909091,5.3867903938589,0.38771277001457194,0.17047881451683547,0.2659487461507657,0.22656086528839686,0.30076407733731314,0.8944444444444445
all_context_hl8,2022,180.0,1.7374330314053963,2.5032661256681505,0.213231732113777,0.8333333333333334,0.4897044937838523,0.05031848576325182,19.59117124530303,28.409359437446852,3.6623027933406656,0.8166666666666667,0.47699346236462764,0.07188490853689544,0.16111111111111112,0.17320395218704374,0.13590673940829356,0.541219456496917,0.03888888888888889,0.07366895980271797,0.04049025091850622,0.500412881915772,0.11666666666666667,0.12355700692569482,0.10156890885508452,0.6406109613656783,0.022222222222222223,0.024255345963941723,0.01919765211227936,0.9019886363636364,0.588753349572677,0.06659259030628517,-1.1054175873267569,57.25160056744016,0.05000000000000002,1.5354433179219007,2.310782847786868,0.21573853637739224,0.9166666666666666,0.12777777777777777,0.12427592239000963,0.10268824125259905,0.6895596787593464,0.0,0.00802425079578114,0.0005297392602835323,,5.647119781123685,0.3684464792176009,0.1921622639458729,0.2538870493531568,0.22411133813259418,0.30448104423337097,0.9222222222222223
all_context_hl8,2023,180.0,2.0465805856158426,2.9194879995894514,0.3236929210388221,0.7611111111111111,0.47063108813951615,0.09229958627638202,20.72353323694385,30.9762648326375,0.6994488262397229,0.7666666666666667,0.47639597647529297,0.09944444361942767,0.18888888888888888,0.1733858988589872,0.1557197068965828,0.5056406124093473,0.05555555555555555,0.06962084123898779,0.05249034011851818,0.6323529411764706,0.11666666666666667,0.10885654164237878,0.1034678826109756,0.5911949685534591,0.044444444444444446,0.030049034489410254,0.04008667298312489,0.7205668604651163,0.5338778892481811,-0.06272827350638394,-1.155390561960242,57.65118674407566,0.05000000000000002,1.3478698793279023,2.125555121011808,-0.30692631578473634,0.9611111111111111,0.08333333333333333,0.12646294418205306,0.07297120907055511,0.6597979797979798,0.016666666666666666,0.008009716473712371,0.013593286735633993,0.7335216572504708,5.963733401208366,0.34324577186535804,0.21439491660353943,0.2525179607818285,0.2248805215243608,0.30034238620173354,0.9166666666666666
all_context_hl8,2024,180.0,1.9964640261124351,2.8747406033148803,-0.15507566920536134,0.7555555555555555,0.5149816635036698,0.08409403992097064,21.214685628595138,30.68983111184141,-1.4083366020518373,0.7722222222222223,0.5103655566084124,0.055329820039492716,0.2388888888888889,0.17182017319065904,0.18895350781667425,0.49431335936173826,0.08888888888888889,0.07179239890328418,0.08154977006365986,0.6097560975609756,0.12222222222222222,0.10464750624148994,0.10374864605474207,0.6913118527042578,0.027777777777777776,0.0275034205375289,0.025932597093492715,0.7394285714285714,0.5314815396296839,0.047104334495920656,-1.193231206114486,56.41500672435856,0.050000000000000024,1.456047058700784,2.259869804074283,-0.002314994015599798,0.9,0.1388888888888889,0.11931215765753148,0.11441241429162605,0.6141935483870967,0.005555555555555556,0.00602552636628124,0.005835642336006273,0.6983240223463687,6.1794507238751555,0.35663547926702827,0.2341123953831644,0.24089333574932523,0.22520719469012582,0.30915673794821763,0.9277777777777778
all_context_hl8,2025,180.0,1.9311530970294908,2.702287542559949,0.11233048437068302,0.8166666666666667,0.49266810711488307,0.04564672844747042,20.883606563380667,30.086446005531965,0.7040432989132819,0.8055555555555556,0.48934400419829177,0.04254640635675816,0.17222222222222222,0.18399167383171167,0.14360517448097063,0.5663563541892185,0.07777777777777778,0.07294083744379881,0.07173895733077701,0.5701376936316696,0.09444444444444444,0.12146906787239536,0.08506918035122828,0.6279321544568748,0.044444444444444446,0.03493578818484726,0.03812117501268602,0.8001453488372093,0.5355796675260336,-0.04028313631079149,-1.1448858278527996,56.90577796966746,0.05000000000000002,1.7492475300228412,2.644230514264233,0.23243060414958627,0.8611111111111112,0.15555555555555556,0.12519001847616537,0.12948934116511993,0.5693139097744361,0.022222222222222223,0.007124954715490044,0.019945091234019496,0.6235795454545454,6.556014090340571,0.3437797790777008,0.26679201928886215,0.2366150790826933,0.22116873096313389,0.3058184944913901,0.95
draft_only,2017,180.0,1.8753943311285746,2.6580947376863544,0.4799671448121185,0.8222222222222222,0.45792566211351804,0.10691330382052977,19.930590279648893,29.15410139208276,5.464086132760764,0.7888888888888889,0.4652880754242114,0.08828374220212731,0.13333333333333333,0.1809121294636662,0.11675202066152397,0.5790598290598291,0.05555555555555555,0.08681699558437665,0.05243664343365292,0.6294117647058823,0.09444444444444444,0.14386828852344904,0.08817239715345968,0.5799350415012631,0.03888888888888889,0.030542587049128874,0.03728287533776803,0.6919900908340215,0.4488680121889687,-0.11496033828204574,-1.4033721758414404,60.49222816337507,0.05000000000000002,1.5501855287724007,2.4116324840356054,0.06381652595586661,0.9111111111111111,0.13333333333333333,0.12069690223963583,0.11822204311621483,0.5211004273504274,0.005555555555555556,0.008259129333950878,0.00581556887778203,0.30446927374301674,4.825029252461321,0.36769396600719517,0.0,0.2878995283809854,0.2634053811609031,0.2696282678527309,0.8777777777777778
