method,pos,experience_group,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,zero_active_actual_rate,zero_active_predicted_rate,zero_active_brier,zero_active_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,weighted_draft_distance,weighted_support_distance,mean_effective_draft_weight,draft_capital_coverage
all_context_hl8,RB,0-2,173.0,1.9573136383576382,2.7416655749328047,0.29649092223686824,0.8439306358381503,0.48543531448870464,0.05992440512300723,20.0962922829562,29.09103285541936,2.6570171544270367,0.8497109826589595,0.4986279653898125,0.046873520541562574,0.1791907514450867,0.2034978747893776,0.15208913616642628,0.4793275783734666,0.046242774566473986,0.10208850529509392,0.049654264928398806,0.4643939393939394,0.08092485549132948,0.12345816848624895,0.07487259538907498,0.6985624438454627,0.06358381502890173,0.04049717310784962,0.0569338273996904,0.6818181818181818,0.5931333796033893,-0.07180238352392564,-0.22512281703256784,58.114787232553496,0.05000000000000002,1.7016071107878399,2.5245236555931463,0.10529324353611083,0.9075144508670521,0.15606936416184972,0.15786949337015263,0.13097428112070197,0.5654490106544902,0.011560693641618497,0.004625874209099122,0.011460295683163852,0.6301169590643275,5.468106120375539,0.39083511104544116,0.17180525212863776,0.21732004659786627,0.25232697282592287,0.5527985259052879,0.9017341040462428
all_context_hl8,RB,3-5,127.0,2.185261826191183,3.0469765412640712,-0.5368825408673933,0.8031496062992126,0.5375376601287053,0.08381099186465013,25.725633719997226,35.63864071748092,-5.98773970981448,0.7795275590551181,0.5253369741683995,0.06543348971896004,0.25984251968503935,0.21056977824461098,0.19548819477953833,0.5209542230818827,0.14960629921259844,0.10813914170576765,0.12773554471520568,0.5735867446393762,0.1732283464566929,0.1305959600641722,0.1401568174339306,0.6497835497835498,0.023622047244094488,0.02951877753010683,0.021972828863988953,0.7634408602150538,0.6260503524899589,0.11064632545931759,-0.2026601681152274,59.08426975286692,0.05000000000000002,1.6688473811436277,2.595681773950883,-0.06819936806756101,0.9212598425196851,0.1732283464566929,0.14819720182103335,0.13595663639368016,0.6683982683982684,0.015748031496062992,0.007700982662488655,0.015856668668940203,0.426,5.514386104744536,0.39687149248488834,0.18500880706211978,0.304361957763655,0.2485829169178507,0.20729699251253406,0.8346456692913385
all_context_hl8,RB,6-8,53.0,2.4404311767675524,3.477905021605132,0.03678131769463563,0.7924528301886793,0.5070122653337322,0.08319935291400338,28.37948689820299,41.33167569392987,-2.3355304726614157,0.7358490566037735,0.5029164175424992,0.10822758105721464,0.24528301886792453,0.18459610654478,0.1933520014301274,0.40192307692307694,0.1509433962264151,0.10440905921875551,0.1275415285022117,0.6277777777777778,0.18867924528301888,0.10304649635981866,0.14741630495871066,0.7488372093023256,0.03773584905660377,0.048190017017186275,0.04031764442397841,0.6568627450980392,0.49759106587810853,-0.05055636187711659,-0.30017746861361133,55.87187816657106,0.05000000000000002,1.6484145316915155,2.5129943493309232,-0.07393678300356202,0.9245283018867925,0.11320754716981132,0.14272403556310673,0.09899450103081835,0.6312056737588653,0.018867924528301886,0.009334943037820185,0.019095561011628508,0.23076923076923078,6.034047849831429,0.3576719749132483,0.22558498573220906,0.3502083917360868,0.26024228205378247,0.07609814023615208,0.8679245283018868
all_context_hl8,RB,9+,7.0,1.3931948124283455,2.0603663576843867,1.6884949838257592,1.0,0.35380457572860596,0.3784413758485785,12.820555662943589,18.099606468530162,13.126514408540501,0.8571428571428571,0.40441121410578795,0.2806228120143477,0.0,0.19339572399379604,0.03920829587709894,,0.0,0.08350023349419389,0.009185923144529262,,0.0,0.0793217454985263,0.014751626738529922,,0.0,0.037147123225119025,0.0026001661324275343,,0.42857142857142866,-0.28571428571428575,0.020342462949314053,55.346312248982926,0.05000000000000002,1.210122100180186,1.887927839156953,-0.30175729130271883,1.0,0.0,0.15897876378571718,0.02569287617165028,,0.0,0.0019855674211208445,1.3850753403212255e-05,,5.96773408228289,0.35579167482374874,0.22913564539893877,0.2769475402926648,0.32992356309693377,0.025839892035509602,1.0
all_context_hl8,TE,0-2,46.0,1.5175272381549072,2.1158626985079247,0.33242161998833375,0.8043478260869565,0.4767797674755578,0.08758755843605914,14.59246464070106,20.69394726069312,5.862091918651015,0.8478260869565217,0.4684301546191085,0.09030230100613279,0.08695652173913043,0.14080527698110432,0.0834927375740331,0.4583333333333333,0.043478260869565216,0.05236684677274546,0.04107484255834926,0.7727272727272727,0.043478260869565216,0.10819301806481707,0.047705092009335794,0.42045454545454547,0.043478260869565216,0.01725682485348625,0.04253107494727224,0.5170454545454546,0.5578957108946253,0.12685784767190872,-1.0419394992691748,55.98467885671129,0.05000000000000002,1.6454786953314926,2.257155904729216,0.6655127487435398,0.8913043478260869,0.10869565217391304,0.1091157126400398,0.09857275160352058,0.5121951219512195,0.021739130434782608,0.0017976285508907689,0.021753840343382052,0.37777777777777777,5.899418565013008,0.3580508357586352,0.2071910101917642,0.2109516601819675,0.23089319854053603,0.507172854094536,0.9347826086956522
all_context_hl8,TE,3-5,54.0,1.2975008594544764,1.8481484460879025,-0.36861694574046333,0.8333333333333334,0.5545426628523055,0.10440025298841338,16.017251523907266,22.75638370400143,-2.3484050187920933,0.8518518518518519,0.519747403711908,0.10070912634005241,0.1111111111111111,0.12894947525912248,0.09978556806404368,0.5694444444444444,0.05555555555555555,0.03571345619278877,0.05409183825088841,0.37254901960784315,0.07407407407407407,0.11035782846006208,0.0707405800709309,0.59,0.0,0.012810416780674714,0.0005334303936764376,,0.6472651038688773,0.21539927577663426,-1.218151411797235,56.986878926082866,0.05000000000000002,1.407122022101336,2.076756563234423,-0.005641593122898465,0.8888888888888888,0.1111111111111111,0.1274427914252908,0.10183828786566153,0.4305555555555556,0.0,0.0026788519324557167,5.376719995567994e-05,,5.83377184431651,0.36470227143335443,0.21430017939927193,0.3136612493254178,0.22673228371628631,0.2059204393320598,0.8703703703703703
all_context_hl8,TE,6-8,32.0,1.4168158761374734,2.1524345933618325,-0.12245315516347444,0.78125,0.49990960307527077,0.11338665234375966,18.015477483716538,27.23556899614612,-1.5374743810737814,0.78125,0.48756649688891596,0.10939730830966785,0.15625,0.10601689772955857,0.13241862119931344,0.5703703703703704,0.03125,0.02929870701495562,0.03022311533701311,0.7419354838709677,0.15625,0.09225198791735394,0.1333931750139159,0.6074074074074074,0.0,0.01251490985643746,0.0003697995660516795,,0.4538123167155425,-0.028225806451612902,-1.4041755799212845,55.683920709960546,0.05000000000000002,1.3279581409826917,2.1997157919387766,-0.19592881820907426,0.9375,0.0625,0.09856238208530771,0.05989888294778936,0.55,0.0,0.005419057630796077,8.353163740814379e-05,,6.210903150129154,0.3418348519094856,0.24154064987399063,0.328845196401634,0.2535652345079453,0.07405715212808209,0.90625
all_context_hl8,TE,9+,12.0,1.3418791032349981,1.8472857570813705,-0.7111882907708154,0.8333333333333334,0.590419566924669,0.22932772101024945,15.888017064521309,21.56169385785498,-9.534962588557415,0.8333333333333334,0.5924338055153292,0.2043270536904894,0.16666666666666666,0.12880711567774852,0.13858627849069902,0.55,0.0,0.031932493359940896,0.0016508935906362702,,0.16666666666666666,0.11343340242631826,0.1375912372492609,0.65,0.0,0.0077164030369902105,0.00018751584641687338,,0.7482517482517484,-0.22377622377622378,-1.458207894912726,47.05657150982796,0.05000000000000002,1.0500479931346032,1.890439022919919,-0.4985167604137419,1.0,0.0,0.08303730153050536,0.00712539906844773,,0.0,0.001015618822538097,1.2377779112324046e-05,,5.757336218056822,0.3286776164407769,0.17796883111162268,0.3298064524179549,0.24590320982330027,0.019956082854047267,1.0
all_context_hl8,WR,0-2,191.0,1.6667146012302931,2.3969310500833845,0.20848235283030708,0.8324607329842932,0.4763744427596639,0.07500899794415317,18.030068099882754,26.43179540294158,3.4721828689343277,0.8219895287958116,0.4730076929973305,0.06552280175671443,0.13612565445026178,0.17788104981520972,0.12094001111539335,0.49393939393939396,0.03664921465968586,0.057823082460022476,0.036844789076324394,0.406055900621118,0.06806282722513089,0.11001755455329108,0.06201142768405234,0.7337942955920485,0.015706806282722512,0.026534818448454935,0.015276402204093277,0.7836879432624113,0.5977076919820316,0.08406585836318545,-0.37893471275520085,56.420170146683006,0.05000000000000002,1.2970752963314385,1.9263670373418282,0.07058328659460106,0.9214659685863874,0.10471204188481675,0.10508507257686961,0.09059593770745172,0.6874269005847953,0.0,0.0033865544253322477,6.740060341285423e-05,,5.3077476429120285,0.40413244436674917,0.15807462457673768,0.15765532381815237,0.19781410769013028,0.5520285122539995,0.9581151832460733
all_context_hl8,WR,3-5,129.0,1.8718224169576758,2.5695498769166134,-0.318319841852795,0.7364341085271318,0.530784454181688,0.07613809485484063,21.514946733803566,29.97885054337011,-1.5646399951589811,0.7286821705426356,0.5039742788595742,0.05610957859784506,0.21705426356589147,0.15907885973722344,0.17164975476188196,0.5724893917963225,0.06201550387596899,0.06349876893737226,0.05814700088218424,0.496900826446281,0.13953488372093023,0.1148558083367484,0.11621094151407489,0.6536536536536537,0.05426356589147287,0.03265316914947854,0.050035721031217006,0.7810304449648712,0.5640906675548567,7.826475849731665e-05,-0.6160940260464887,56.57045202312207,0.05000000000000002,1.6082723508193197,2.3057745002294983,0.39619479914298267,0.8914728682170543,0.11627906976744186,0.09311048215212515,0.10403996499196502,0.5491228070175439,0.015503875968992248,0.008431769699189972,0.01544527895796622,0.531496062992126,5.635886237965287,0.3673854022507241,0.1784249650135218,0.24620652773517204,0.19047786731780728,0.2033046933467398,0.9457364341085271
