period,method,metric,n,candidate_minus_baseline
all_2017_2025,recency_hl8,contribution_80_covered,1620,-0.004320987654320987
all_2017_2025,recency_hl8,played_80_covered,1620,-0.0024691358024691358
all_2017_2025,recency_hl8,weighted_season_gap,1620,-1.1433211990700163
all_2017_2025,recency_hl8,weight_last3_seasons,1620,0.10493720813061927
all_2017_2025,recency_hl8,weight_10plus_seasons,1620,-0.08848812996109245
all_2017_2025,recency_hl8,effective_sample_size,1620,-5.187573164776964
all_2017_2025,draft_support,ppg_crps,1620,0.0003142580812669974
all_2017_2025,draft_support,contribution_crps,1620,-0.004635313958255753
all_2017_2025,draft_support,played_crps,1620,-0.0032144540083348396
all_2017_2025,draft_support,plus3_brier_row,1620,0.00022287365978929197
all_2017_2025,draft_support,plus5_brier_row,1620,7.290650365926792e-05
all_2017_2025,draft_support,impact_brier_row,1620,-1.4472992032917911e-05
all_2017_2025,draft_support,zero_brier_row,1620,0.00016046451111488528
all_2017_2025,draft_support,extended_absence_brier_row,1620,-7.651192845601301e-05
all_2017_2025,draft_support,ppg_80_covered,1620,-0.001851851851851852
all_2017_2025,draft_support,contribution_80_covered,1620,-0.0049382716049382715
all_2017_2025,draft_support,played_80_covered,1620,-0.0024691358024691358
all_2017_2025,draft_support,weighted_season_gap,1620,-0.02685217315403428
all_2017_2025,draft_support,weight_last3_seasons,1620,0.0016988463098585528
all_2017_2025,draft_support,weight_10plus_seasons,1620,-0.0022176493266198743
all_2017_2025,draft_support,effective_sample_size,1620,-0.01739878814496073
all_2017_2025,draft_recency_hl8,ppg_crps,1620,-5.8917711535167305e-05
all_2017_2025,draft_recency_hl8,contribution_crps,1620,-0.018415509037874596
all_2017_2025,draft_recency_hl8,played_crps,1620,-0.005986021143999973
all_2017_2025,draft_recency_hl8,plus3_brier_row,1620,0.00013154549237172938
all_2017_2025,draft_recency_hl8,plus5_brier_row,1620,-0.00013760787112113626
all_2017_2025,draft_recency_hl8,impact_brier_row,1620,-0.0003939178372935036
all_2017_2025,draft_recency_hl8,zero_brier_row,1620,5.5245812664164516e-05
all_2017_2025,draft_recency_hl8,extended_absence_brier_row,1620,-0.0004879850001461932
all_2017_2025,draft_recency_hl8,ppg_80_covered,1620,0.0006172839506172839
all_2017_2025,draft_recency_hl8,contribution_80_covered,1620,-0.005555555555555556
all_2017_2025,draft_recency_hl8,played_80_covered,1620,-0.0030864197530864196
all_2017_2025,draft_recency_hl8,weighted_season_gap,1620,-1.1621640824249593
all_2017_2025,draft_recency_hl8,weight_last3_seasons,1620,0.10628707691294378
all_2017_2025,draft_recency_hl8,weight_10plus_seasons,1620,-0.08996582382847272
all_2017_2025,draft_recency_hl8,effective_sample_size,1620,-5.290353665031757
all_2017_2025,support_recency_hl8,ppg_crps,1620,-0.0002500401389302165
all_2017_2025,support_recency_hl8,contribution_crps,1620,-0.006931357938185652
all_2017_2025,support_recency_hl8,played_crps,1620,-0.004069501443811943
all_2017_2025,support_recency_hl8,plus3_brier_row,1620,8.42042533839941e-06
all_2017_2025,support_recency_hl8,plus5_brier_row,1620,-0.00020385751593380894
all_2017_2025,support_recency_hl8,impact_brier_row,1620,-0.0002978965995697285
all_2017_2025,support_recency_hl8,zero_brier_row,1620,-2.8113613994386932e-05
all_2017_2025,support_recency_hl8,extended_absence_brier_row,1620,-0.00011968330075616204
all_2017_2025,support_recency_hl8,ppg_80_covered,1620,-0.003703703703703704
all_2017_2025,support_recency_hl8,contribution_80_covered,1620,-0.006172839506172839
all_2017_2025,support_recency_hl8,played_80_covered,1620,-0.0030864197530864196
all_2017_2025,support_recency_hl8,weighted_season_gap,1620,-1.1462360568171401
all_2017_2025,support_recency_hl8,weight_last3_seasons,1620,0.10556136607104438
all_2017_2025,support_recency_hl8,weight_10plus_seasons,1620,-0.08851743242505054
all_2017_2025,support_recency_hl8,effective_sample_size,1620,-5.11329281243704
all_2017_2025,all_context_hl8,ppg_crps,1620,-0.00047634865067444366
all_2017_2025,all_context_hl8,contribution_crps,1620,-0.006744772089000714
all_2017_2025,all_context_hl8,played_crps,1620,-0.0053477540678906485
all_2017_2025,all_context_hl8,plus3_brier_row,1620,6.477771681422918e-05
all_2017_2025,all_context_hl8,plus5_brier_row,1620,-0.0001374060455268902
all_2017_2025,all_context_hl8,impact_brier_row,1620,-0.00038696578222366574
all_2017_2025,all_context_hl8,zero_brier_row,1620,4.95346795780438e-05
all_2017_2025,all_context_hl8,extended_absence_brier_row,1620,-0.00029367947064545423
all_2017_2025,all_context_hl8,ppg_80_covered,1620,-0.0006172839506172839
all_2017_2025,all_context_hl8,contribution_80_covered,1620,-0.008641975308641974
all_2017_2025,all_context_hl8,played_80_covered,1620,-0.004320987654320987
all_2017_2025,all_context_hl8,weighted_season_gap,1620,-1.1663781801926403
all_2017_2025,all_context_hl8,weight_last3_seasons,1620,0.10685596213097885
all_2017_2025,all_context_hl8,weight_10plus_seasons,1620,-0.09020170261578116
all_2017_2025,all_context_hl8,effective_sample_size,1620,-5.140865173277536
all_2017_2025,recency_hl4,ppg_crps,1620,0.0010620170653327535
all_2017_2025,recency_hl4,contribution_crps,1620,0.01870481339514353
all_2017_2025,recency_hl4,played_crps,1620,-0.0008165438448906133
all_2017_2025,recency_hl4,plus3_brier_row,1620,0.00013256469078555712
all_2017_2025,recency_hl4,plus5_brier_row,1620,-0.0002510827298846094
all_2017_2025,recency_hl4,impact_brier_row,1620,-0.000780735639383577
all_2017_2025,recency_hl4,zero_brier_row,1620,0.00010179912763148927
all_2017_2025,recency_hl4,extended_absence_brier_row,1620,8.312945510477396e-05
all_2017_2025,recency_hl4,ppg_80_covered,1620,-0.0030864197530864196
all_2017_2025,recency_hl4,contribution_80_covered,1620,-0.012962962962962963
all_2017_2025,recency_hl4,played_80_covered,1620,-0.001851851851851852
all_2017_2025,recency_hl4,weighted_season_gap,1620,-2.08580568372216
all_2017_2025,recency_hl4,weight_last3_seasons,1620,0.20694836699437222
all_2017_2025,recency_hl4,weight_10plus_seasons,1620,-0.15208922166539457
all_2017_2025,recency_hl4,effective_sample_size,1620,-13.923918567416742
all_2017_2025,recency_hl12,ppg_crps,1620,-0.0007896281835592138
all_2017_2025,recency_hl12,contribution_crps,1620,-0.006830392405413811
all_2017_2025,recency_hl12,played_crps,1620,-0.002190840042484395
all_2017_2025,recency_hl12,plus3_brier_row,1620,-0.00019582069076990618
all_2017_2025,recency_hl12,plus5_brier_row,1620,-0.00011390582342800543
all_2017_2025,recency_hl12,impact_brier_row,1620,-0.000313935041738272
all_2017_2025,recency_hl12,zero_brier_row,1620,-1.6403256590600223e-05
all_2017_2025,recency_hl12,extended_absence_brier_row,1620,-0.00012191040938341075
all_2017_2025,recency_hl12,ppg_80_covered,1620,-0.0006172839506172839
all_2017_2025,recency_hl12,contribution_80_covered,1620,-0.009259259259259259
all_2017_2025,recency_hl12,played_80_covered,1620,-0.001851851851851852
all_2017_2025,recency_hl12,weighted_season_gap,1620,-0.7801417552940432
all_2017_2025,recency_hl12,weight_last3_seasons,1620,0.06960934290509355
all_2017_2025,recency_hl12,weight_10plus_seasons,1620,-0.06156435654185305
all_2017_2025,recency_hl12,effective_sample_size,1620,-2.6761523202590576
development_2017_2022,draft_only,ppg_crps,1080,0.0013146154025623033
development_2017_2022,draft_only,contribution_crps,1080,-0.015285463593927299
development_2017_2022,draft_only,played_crps,1080,-0.004294649888961256
development_2017_2022,draft_only,plus3_brier_row,1080,-0.00016045135617383295
