method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
recency_hl8,temporal_2023_2025,ppg_crps,540,3,0.001407358754008447,-0.003476216741378627,0.0050709597188115475,0.241
recency_hl8,temporal_2023_2025,contribution_crps,540,3,-0.00885485505906456,-0.044048564814352154,0.03346577136535262,0.604
recency_hl8,temporal_2023_2025,played_crps,540,3,-0.005132872923370519,-0.01649517996649677,0.001581901313360996,0.718
recency_hl8,temporal_2023_2025,plus3_brier_row,540,3,0.0005753284208167988,0.0002759276481647255,0.0010644103949189229,0.0
recency_hl8,temporal_2023_2025,plus5_brier_row,540,3,0.0003533168287905656,-0.00021041806368912218,0.0006472416385560909,0.033
recency_hl8,temporal_2023_2025,impact_brier_row,540,3,-0.000600641983720249,-0.001282304241403122,-0.0002161778924494834,1.0
recency_hl8,temporal_2023_2025,zero_brier_row,540,3,-0.00019032910469714138,-0.0007634711266421168,0.0003479189922373351,0.7165
recency_hl8,temporal_2023_2025,extended_absence_brier_row,540,3,-0.0004362490133641263,-0.0011588101637522328,0.0002914348513762281,0.8375
recency_hl12,recent_2020_2025,ppg_crps,1080,6,-0.001134540026139221,-0.0029531488151053453,0.0008306142914220262,0.872
recency_hl12,recent_2020_2025,contribution_crps,1080,6,-0.01636134513429891,-0.0329880221703447,0.000761564694744616,0.958
recency_hl12,recent_2020_2025,played_crps,1080,6,-0.004184608667334127,-0.007577055396046664,-0.0013651944860229046,0.9985
recency_hl12,recent_2020_2025,plus3_brier_row,1080,6,-0.00020675847504184674,-0.0009795115792043164,0.0003968377055451927,0.7
recency_hl12,recent_2020_2025,plus5_brier_row,1080,6,-0.00013886520467595637,-0.0004460251508696079,0.00016994471313467504,0.8075
recency_hl12,recent_2020_2025,impact_brier_row,1080,6,-0.00048368068660784274,-0.0008201795734022046,-0.0001862048842277041,1.0
recency_hl12,recent_2020_2025,zero_brier_row,1080,6,-7.950521240527507e-05,-0.0003393893830002198,0.00017104360840732876,0.705
recency_hl12,recent_2020_2025,extended_absence_brier_row,1080,6,-0.00024909113525789305,-0.0006349927000631103,0.00011509949608236382,0.893
recency_hl12,temporal_2023_2025,ppg_crps,540,3,0.00037302428206197334,-0.0029936230569271934,0.0028626825875421756,0.366
recency_hl12,temporal_2023_2025,contribution_crps,540,3,-0.010410338860103558,-0.03215537235978877,0.018012306477800125,0.736
recency_hl12,temporal_2023_2025,played_crps,540,3,-0.004066712446359741,-0.011772373221537636,0.0006513485985098828,0.848
recency_hl12,temporal_2023_2025,plus3_brier_row,540,3,0.0004126245997930968,-4.313329489881507e-05,0.0007925748046429961,0.0335
recency_hl12,temporal_2023_2025,plus5_brier_row,540,3,9.570567047775659e-05,-0.00026949884375767784,0.0005005960758035538,0.366
recency_hl12,temporal_2023_2025,impact_brier_row,540,3,-0.0005076090234492848,-0.0009120107367941549,-0.0002193446586908378,1.0
recency_hl12,temporal_2023_2025,zero_brier_row,540,3,-0.00010201222973497221,-0.0005687261409836957,0.000281191716550552,0.7355
recency_hl12,temporal_2023_2025,extended_absence_brier_row,540,3,-0.0003305832045933903,-0.0008096603874255903,0.0001384109296229284,0.9585
recency_hl4,recent_2020_2025,ppg_crps,1080,6,0.001058486071127935,-0.004701688502085051,0.007303227398817814,0.4025
recency_hl4,recent_2020_2025,contribution_crps,1080,6,0.0015869410699403484,-0.049872225325474986,0.05303600355260305,0.4925
recency_hl4,recent_2020_2025,played_crps,1080,6,-0.005705785096954813,-0.013569605862133384,0.0015609740103589241,0.9295
recency_hl4,recent_2020_2025,plus3_brier_row,1080,6,0.0006104001676113006,-0.00040142555242350555,0.0018525670012177321,0.1485
recency_hl4,recent_2020_2025,plus5_brier_row,1080,6,-0.00024188996082434244,-0.0009736476169745071,0.0006192473612584798,0.7555
recency_hl4,recent_2020_2025,impact_brier_row,1080,6,-0.0007233955375823544,-0.0011482142596881597,-0.00017213721791964643,0.9935
recency_hl4,recent_2020_2025,zero_brier_row,1080,6,1.7973867744364132e-05,-0.0003580450706115242,0.0004023715505328685,0.4315
recency_hl4,recent_2020_2025,extended_absence_brier_row,1080,6,-0.00022655352506206072,-0.0012233312511617132,0.0007545534202247505,0.637
recency_hl4,temporal_2023_2025,ppg_crps,540,3,0.006734832503742683,-0.0019834233358859738,0.014032986601410707,0.044
recency_hl4,temporal_2023_2025,contribution_crps,540,3,0.022893643560310584,-0.05544673441473196,0.11021446318946694,0.37
recency_hl4,temporal_2023_2025,played_crps,540,3,-0.0047391829632325065,-0.024001260917647677,0.006973055196515009,0.696
recency_hl4,temporal_2023_2025,plus3_brier_row,540,3,0.001506093334314865,-0.0003795985837146712,0.0032430722471819616,0.044
recency_hl4,temporal_2023_2025,plus5_brier_row,540,3,0.00033472541749565867,-0.00042977006151963064,0.0016767208749834366,0.3005
recency_hl4,temporal_2023_2025,impact_brier_row,540,3,-0.0005206223147688373,-0.0014510640201127027,0.0005112495802133023,0.856
recency_hl4,temporal_2023_2025,zero_brier_row,540,3,0.00018920864957754798,-0.00018442427507854437,0.0009271266791423588,0.3005
recency_hl4,temporal_2023_2025,extended_absence_brier_row,540,3,-0.0005185209837252089,-0.001779554944513493,0.00086971287193801,0.8535
draft_only,recent_2020_2025,ppg_crps,1080,6,0.0005382844909878627,-0.002815165857024545,0.0038393588539246976,0.4115
draft_only,recent_2020_2025,contribution_crps,1080,6,-0.011480930617992916,-0.031590476157828014,0.011247156339870067,0.8555
draft_only,recent_2020_2025,played_crps,1080,6,-0.0025374922178262567,-0.004282669238497465,-0.0006830724618125027,0.9975
draft_only,recent_2020_2025,plus3_brier_row,1080,6,-0.0006270024540814607,-0.0012029883614242285,-0.000109665210744367,0.998
draft_only,recent_2020_2025,plus5_brier_row,1080,6,0.00020643155724682852,-0.0002456113565285088,0.0006696506315119973,0.2055
draft_only,recent_2020_2025,impact_brier_row,1080,6,-0.0003298841331684534,-0.0008149867925085469,0.00020001815035213915,0.897
draft_only,recent_2020_2025,zero_brier_row,1080,6,0.00016688612594747395,9.541671581737203e-06,0.00032423058031321063,0.016
draft_only,recent_2020_2025,extended_absence_brier_row,1080,6,-0.0002172305195825993,-0.0003912504114925352,-4.089717030079091e-05,0.997
draft_only,temporal_2023_2025,ppg_crps,540,3,-0.0011370297442742123,-0.004909507793932794,0.005083786294928418,0.739
draft_only,temporal_2023_2025,contribution_crps,540,3,-0.012229429454055167,-0.045008851825376534,0.038605462415419706,0.739
draft_only,temporal_2023_2025,played_crps,540,3,-0.0020324591288439654,-0.0037641770924468766,-0.0011553103665676683,1.0
draft_only,temporal_2023_2025,plus3_brier_row,540,3,-0.0007011952603962494,-0.001466377606332403,-0.00019757134890488495,1.0
draft_only,temporal_2023_2025,plus5_brier_row,540,3,0.0001878531460384864,-0.0002592504605132824,0.000680976309403744,0.153
draft_only,temporal_2023_2025,impact_brier_row,540,3,-0.0006392765119535933,-0.001033529526802579,0.0001004191016425276,0.9605
