lock_version,model_run_id,audit,league,n_rows,value
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,v2_handoff_duplicate_player_key_season_rows,all,8901,0.0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,historical_identity_join_rate,beta,2696,1.0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,historical_position_mismatch_rate,beta,2696,0.001112759643916914
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,historical_point_center_coverage,beta,2696,0.9855341246290801
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,v2_target_vs_template_active_ppg_mae,beta,2644,0.23970876801935467
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,v2_target_vs_template_active_ppg_max_abs,beta,2644,14.66
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,recomputed_residual_identity_max_abs,beta,2657,8.881784197001252e-16
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,current_player_map_identity_join_rate,beta,323,1.0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,current_player_map_position_mismatch_rate,beta,323,0.0
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260828T212222Z_e93b4b2c,current_player_map_point_center_coverage,beta,323,1.0
