player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Wallace Wright,3563,WR,5,NYJ,24,2,8.3,18,75.0,2,11.1,2,0,21,1.17,0,0.0,100.0
Arnaz Battle,1499,WR,6,SF,65,5,7.7,50,76.9,4,8.0,4,0,39,0.78,0,0.0,100.0
Laurence Maroney,2966,HB,15,NE,103,15,14.6,3,2.9,1,33.3,1,0,8,2.67,0,0.0,100.0
Frank Gore,2282,HB,14,SF,318,60,18.9,17,5.3,3,17.6,3,0,22,1.29,0,0.0,100.0
Kevin Faulk,470,HB,15,NE,285,48,16.8,30,10.5,6,20.0,6,0,40,1.33,0,0.0,100.0
Maurice Stovall,3035,WR,11,TB,308,43,14.0,49,15.9,6,12.2,6,0,59,1.20,0,0.0,100.0
Felix Jones,4336,HB,14,DAL,87,21,24.1,4,4.6,2,50.0,2,0,-2,-0.50,0,0.0,100.0
John Phillips,5132,FB,15,DAL,45,9,20.0,5,11.1,2,40.0,2,0,17,3.40,0,0.0,100.0
LaDainian Tomlinson,777,HB,14,SD,190,24,12.6,3,1.6,1,33.3,1,0,3,1.00,0,0.0,100.0
Craig Davis,3646,WR,1,SD,39,7,17.9,18,46.2,2,11.1,2,0,16,0.89,0,0.0,100.0
Leon Washington,3062,HB,7,NYJ,102,22,21.6,12,11.8,2,16.7,2,0,10,0.83,0,0.0,100.0
Johnny Knox,5064,WR,15,CHI,360,75,20.8,22,6.1,3,13.6,3,0,5,0.23,0,0.0,100.0
Larry Johnson,1343,HB,7,KC,100,14,14.0,5,5.0,1,20.0,1,0,3,0.60,0,0.0,100.0
Derek Hagan,3027,WR,7,NYG,56,8,14.3,4,7.1,1,25.0,1,0,23,5.75,1,0.0,100.0
Hakeem Nicks,4952,WR,14,NYG,344,70,20.3,14,4.1,3,21.4,3,0,81,5.79,2,0.0,100.0
Travis Beckum,5023,TE,10,NYG,42,10,23.8,13,31.0,2,15.4,2,0,19,1.46,0,0.0,100.0
Billy Bajema,2466,TE,14,STR,63,10,15.9,9,14.3,2,22.2,2,0,22,2.44,0,0.0,100.0
Andre' Davis,1054,WR,12,HST,76,10,13.2,26,34.2,1,3.8,1,0,10,0.38,0,0.0,100.0
Ryan Moats,2294,HB,8,HST,72,14,19.4,3,4.2,1,33.3,1,0,9,3.00,0,0.0,100.0
Tony Stewart,887,TE,15,OAK,102,13,12.7,18,17.6,2,11.1,2,0,27,1.50,0,0.0,100.0
Ben Obomanu,3194,WR,7,SEA,21,5,23.8,6,28.6,1,16.7,1,0,12,2.00,0,0.0,100.0
Steve Slaton,4403,HB,11,HST,212,52,24.5,6,2.8,1,16.7,1,0,9,1.50,1,0.0,100.0
James Casey,5076,TE,11,HST,84,11,13.1,10,11.9,3,30.0,3,0,40,4.00,0,0.0,100.0
Stephen Spach,2789,TE,7,ARZ,63,9,14.3,12,19.0,1,8.3,1,0,9,0.75,0,0.0,100.0
Stefan Logan,4909,WR,5,PIT,6,1,16.7,4,66.7,1,25.0,1,0,5,1.25,0,0.0,100.0
Ben Patrick,3831,TE,9,ARZ,115,14,12.2,20,17.4,2,10.0,2,0,10,0.50,1,0.0,100.0
Rashard Mendenhall,4337,HB,14,PIT,198,32,16.2,31,15.7,1,3.2,1,0,6,0.19,0,0.0,100.0
Matt Spaeth,3693,TE,16,PIT,83,6,7.2,10,12.0,1,10.0,1,0,7,0.70,0,0.0,100.0
Tim Hightower,4463,HB,16,ARZ,379,74,19.5,20,5.3,4,20.0,4,0,53,2.65,0,0.0,100.0
Michael Turner,1873,HB,10,ATL,87,7,8.0,5,5.7,1,20.0,1,0,10,2.00,0,0.0,100.0
Jerious Norwood,3024,HB,10,ATL,149,21,14.1,14,9.4,1,7.1,1,0,8,0.57,0,0.0,100.0
Eric Weems,4097,WR,14,ATL,70,6,8.6,48,68.6,3,6.3,3,0,13,0.27,0,0.0,100.0
Chris Henry,2300,WR,8,CIN,134,22,16.4,5,3.7,1,20.0,1,0,5,1.00,1,0.0,100.0
Joseph Addai,2975,HB,15,IND,333,62,18.6,16,4.8,4,25.0,4,0,18,1.13,0,0.0,100.0
Gijon Robinson,4056,TE,12,IND,62,14,22.6,5,8.1,1,20.0,1,0,4,0.80,0,0.0,100.0
L.J. Smith,1376,TE,9,BLT,32,3,9.4,8,25.0,1,12.5,1,0,5,0.63,0,0.0,100.0
Mike Goodson,5034,HB,5,CAR,14,2,14.3,1,7.1,1,100.0,1,0,13,13.00,0,0.0,100.0
Maurice Jones-Drew,3005,HB,16,JAX,333,66,19.8,4,1.2,2,50.0,2,0,22,5.50,0,0.0,100.0
Jarett Dillard,5068,WR,6,JAX,49,8,16.3,33,67.3,4,12.1,4,0,81,2.45,0,0.0,100.0
Ryan Grant,2609,HB,16,GB,243,30,12.3,6,2.5,1,16.7,1,0,13,2.17,0,0.0,100.0
Maurice Morris,1061,HB,14,DET,164,35,21.3,4,2.4,1,25.0,1,0,2,0.50,0,0.0,100.0
Ahman Green,374,HB,7,GB,25,4,16.0,1,4.0,1,100.0,1,0,-4,-4.00,0,0.0,100.0
Lex Hilliard,4518,HB,7,MIA,84,20,23.8,7,8.3,1,14.3,1,0,1,0.14,0,0.0,100.0
Correll Buckhalter,869,HB,14,DEN,199,36,18.1,4,2.0,1,25.0,1,0,9,2.25,0,0.0,100.0
Patrick Cobbs,3272,HB,5,MIA,22,4,18.2,9,40.9,1,11.1,1,0,8,0.89,0,0.0,100.0
Fred Davis,4362,TE,16,WAS,333,65,19.5,36,10.8,3,8.3,3,0,50,1.39,1,0.0,100.0
Clinton Portis,1058,HB,7,WAS,85,9,10.6,4,4.7,1,25.0,1,0,9,2.25,0,0.0,100.0
Roscoe Parrish,2272,WR,6,BUF,24,4,16.7,9,37.5,2,22.2,2,0,15,1.67,0,0.0,100.0
Marshawn Lynch,3628,HB,13,BUF,151,32,21.2,3,2.0,1,33.3,1,0,4,1.33,0,0.0,100.0
Derek Schouman,3838,TE,2,BUF,45,11,24.4,7,15.6,2,28.6,2,0,36,5.14,0,0.0,100.0
Jonathan Stupar,4601,TE,10,BUF,90,7,7.8,6,6.7,1,16.7,1,0,8,1.33,0,0.0,100.0
Jeff Dugan,1936,TE,16,MIN,76,6,7.9,11,14.5,1,9.1,1,0,25,2.27,0,0.0,100.0
Terrance Copper,2016,WR,6,KC,12,5,41.7,4,33.3,1,25.0,1,0,3,0.75,0,0.0,100.0
Chris Chambers,821,WR,9,KC,292,59,20.2,34,11.6,5,14.7,5,0,98,2.88,1,0.0,100.0
Devin Hester,3002,WR,13,CHI,414,89,21.5,59,14.3,15,25.4,14,0,122,2.07,0,0.0,93.3
Legedu Naanee,3788,WR,15,SD,192,27,14.1,134,69.8,12,9.0,11,0,98,0.73,0,0.0,91.7
Ernest Wilford,1841,TE,15,JAX,165,17,10.3,65,39.4,8,12.3,7,0,101,1.55,1,0.0,87.5
David Clowney,3773,WR,13,NYJ,166,20,12.0,37,22.3,7,18.9,6,1,65,1.76,0,14.3,85.7
Jared Cook,5012,TE,13,TEN,62,13,21.0,29,46.8,6,20.7,5,0,43,1.48,0,0.0,83.3
LaRod Stephens-Howling,5164,HB,16,ARZ,56,15,26.8,18,32.1,6,33.3,5,0,41,2.28,0,0.0,83.3
Heath Miller,2247,TE,16,PIT,487,90,18.5,162,33.3,24,14.8,20,1,180,1.11,1,4.8,83.3
John Paul Foschi,2046,TE,15,CIN,224,36,16.1,42,18.8,6,14.3,5,1,50,1.19,1,16.7,83.3
Jeff King,3100,TE,16,CAR,218,31,14.2,58,26.6,12,20.7,10,0,90,1.55,0,0.0,83.3
Mike Thomas,5030,WR,14,JAX,281,59,21.0,208,74.0,47,22.6,39,0,410,1.97,1,0.0,83.0
