player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Jason Snelling,3860,HB,14,ATL,117,33,28.2,14,12.0,1,7.1,1,0,7,0.50,0,0.0,100.0
Isaiah Pead,7053,HB,7,STR,64,14,21.9,6,9.4,2,33.3,2,0,15,2.50,0,0.0,100.0
Marshawn Lynch,3628,HB,16,SEA,261,43,16.5,3,1.1,1,33.3,1,0,9,3.00,0,0.0,100.0
Zac Stacy,7942,HB,14,STR,215,33,15.3,4,1.9,2,50.0,2,0,15,3.75,0,0.0,100.0
Arian Foster,5398,HB,8,HST,158,31,19.6,7,4.4,2,28.6,2,0,11,1.57,0,0.0,100.0
Ben Tate,5583,HB,14,HST,212,42,19.8,8,3.8,2,25.0,2,0,17,2.13,0,0.0,100.0
Maurice Jones-Drew,3005,HB,15,JAX,268,53,19.8,14,5.2,2,14.3,2,0,13,0.93,0,0.0,100.0
David Johnson,5165,TE,4,PIT,18,6,33.3,1,5.6,1,100.0,1,0,32,32.00,0,0.0,100.0
Matt Spaeth,3693,TE,4,PIT,34,2,5.9,9,26.5,1,11.1,1,0,11,1.22,1,0.0,100.0
Rhett Ellison,7128,FB,10,MIN,90,7,7.8,33,36.7,4,12.1,4,0,47,1.42,1,0.0,100.0
Chase Ford,7528,TE,8,MIN,69,15,21.7,24,34.8,4,16.7,4,0,24,1.00,0,0.0,100.0
Patrick Peterson,6157,CB,10,ARZ,21,7,33.3,10,47.6,2,20.0,2,0,9,0.90,0,0.0,100.0
Kenjon Barner,7963,HB,4,CAR,9,3,33.3,1,11.1,1,100.0,1,0,2,2.00,0,0.0,100.0
Fozzy Whittaker,8547,HB,9,CLV,112,33,29.5,9,8.0,3,33.3,3,0,23,2.56,0,0.0,100.0
Kerry Taylor,6760,WR,1,ARZ,10,3,30.0,5,50.0,2,40.0,2,0,33,6.60,0,0.0,100.0
