player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Jahvid Best,5555,HB,6,DET,162,36,22.2,21,13.0,4,19.0,4,0,47,2.24,0,0.0,100.0
Virgil Green,6356,TE,10,DEN,33,4,12.1,4,12.1,1,25.0,1,0,7,1.75,0,0.0,100.0
John Phillips,5132,TE,14,DAL,106,16,15.1,5,4.7,2,40.0,2,0,11,2.20,0,0.0,100.0
Joe Webb III,5722,QB,8,MIN,25,4,16.0,8,32.0,1,12.5,1,0,9,1.13,0,0.0,100.0
Stephen Burton,6388,WR,2,MIN,31,4,12.9,6,19.4,1,16.7,1,0,17,2.83,0,0.0,100.0
Bryan Walters,6139,WR,2,SD,55,4,7.3,16,29.1,1,6.3,1,0,8,0.50,0,0.0,100.0
Jason Hill,3692,WR,10,JAX,262,53,20.2,18,6.9,1,5.6,1,0,5,0.28,0,0.0,100.0
Jeremiah Johnson,5484,HB,6,DEN,32,9,28.1,8,25.0,1,12.5,1,0,8,1.00,0,0.0,100.0
Greg Jones II,1776,FB,16,JAX,81,7,8.6,2,2.5,1,50.0,1,0,0,0.00,0,0.0,100.0
Le'Ron McClain,3753,FB,15,KC,96,18,18.8,12,12.5,1,8.3,1,0,9,0.75,0,0.0,100.0
Matthew Mulligan,4701,TE,15,NYJ,68,6,8.8,9,13.2,1,11.1,1,0,4,0.44,0,0.0,100.0
Jackie Battle,3885,HB,13,KC,72,11,15.3,4,5.6,1,25.0,1,0,24,6.00,0,0.0,100.0
Ramses Barden,5008,WR,8,NYG,100,19,19.0,9,9.0,2,22.2,2,0,17,1.89,0,0.0,100.0
Deon Butler,5014,WR,5,SEA,26,7,26.9,6,23.1,3,50.0,3,0,26,4.33,0,0.0,100.0
Bear Pascoe,5108,TE,16,NYG,163,15,9.2,34,20.9,3,8.8,3,0,35,1.03,0,0.0,100.0
DeAngelo Williams,2972,HB,16,CAR,179,24,13.4,7,3.9,1,14.3,1,0,6,0.86,0,0.0,100.0
Henry Hynoski,6666,FB,11,NYG,69,13,18.8,1,1.4,1,100.0,1,0,8,8.00,0,0.0,100.0
Dexter McCluster,5561,HB,16,KC,234,58,24.8,21,9.0,1,4.8,1,0,19,0.90,0,0.0,100.0
Steven Jackson,1745,HB,14,STR,292,56,19.2,24,8.2,1,4.2,1,0,5,0.21,0,0.0,100.0
Isaac Redman,5233,HB,16,PIT,117,20,17.1,19,16.2,1,5.3,1,0,4,0.21,0,0.0,100.0
Cadillac Williams,2222,HB,11,STR,127,19,15.0,1,0.8,1,100.0,1,0,7,7.00,0,0.0,100.0
Rashard Mendenhall,4337,HB,15,PIT,162,24,14.8,19,11.7,2,10.5,2,0,17,0.89,0,0.0,100.0
Kevin Brock,5328,TE,2,BUF,9,2,22.2,4,44.4,1,25.0,1,0,6,1.50,0,0.0,100.0
Ryan Whalen,6319,WR,3,CIN,43,4,9.3,30,69.8,2,6.7,2,0,16,0.53,0,0.0,100.0
Ben Tate,5583,HB,15,HST,103,17,16.5,3,2.9,1,33.3,1,0,8,2.67,0,0.0,100.0
LaRod Stephens-Howling,5164,HB,13,ARZ,68,16,23.5,5,7.4,1,20.0,1,0,73,14.60,1,0.0,100.0
Jim Dray,5756,TE,5,ARZ,46,4,8.7,13,28.3,1,7.7,1,0,5,0.38,0,0.0,100.0
Chris Johnson,4338,HB,16,TEN,328,75,22.9,6,1.8,2,33.3,2,0,29,4.83,0,0.0,100.0
Patrick Peterson,6157,CB,1,ARZ,1,1,100.0,1,100.0,1,100.0,1,0,-1,-1.00,0,0.0,100.0
Brody Eldridge,5685,TE,12,IND,45,10,22.2,2,4.4,1,50.0,1,0,3,1.50,0,0.0,100.0
Kendall Hunter,6267,HB,15,SF,124,22,17.7,2,1.6,1,50.0,1,0,2,1.00,0,0.0,100.0
Brandon Saine,6756,HB,5,GB,33,11,33.3,2,6.1,1,50.0,1,0,7,3.50,0,0.0,100.0
Andrew Quarless,5677,TE,10,GB,46,4,8.7,13,28.3,1,7.7,1,0,21,1.62,0,0.0,100.0
Tom Crabtree,5458,TE,16,GB,75,8,10.7,11,14.7,1,9.1,1,0,15,1.36,0,0.0,100.0
Leonard Hankerson,6231,WR,4,WAS,91,20,22.0,14,15.4,2,14.3,2,0,31,2.21,0,0.0,100.0
Pierre Garcon,4519,WR,16,IND,570,123,21.6,15,2.6,2,13.3,2,0,39,2.60,0,0.0,100.0
Jacob Tamme,4441,TE,15,IND,185,28,15.1,29,15.7,4,13.8,4,0,13,0.45,0,0.0,100.0
Reggie Bush,2947,HB,15,MIA,252,52,20.6,15,6.0,5,33.3,5,0,16,1.07,0,0.0,100.0
Zack Pianalto,6681,TE,10,TB,33,5,15.2,11,33.3,1,9.1,1,0,7,0.64,0,0.0,100.0
Luke Stocker,6256,TE,14,TB,91,17,18.7,8,8.8,2,25.0,2,0,5,0.63,0,0.0,100.0
Dante Rosario,3771,TE,12,DEN,79,10,12.7,18,22.8,1,5.6,1,0,10,0.56,0,0.0,100.0
Mike Caussin,5987,TE,5,BUF,33,6,18.2,22,66.7,5,22.7,5,0,41,1.86,0,0.0,100.0
Chad Hall,5523,WR,7,PHI,41,7,17.1,17,41.5,1,5.9,1,0,7,0.41,1,0.0,100.0
Riley Cooper,5682,WR,15,PHI,210,31,14.8,18,8.6,2,11.1,2,0,12,0.67,1,0.0,100.0
Kregg Lumpkin,4714,HB,15,TB,197,48,24.4,2,1.0,1,50.0,1,0,9,4.50,0,0.0,100.0
Micheal Spurlock,3517,WR,9,TB,35,6,17.1,18,51.4,2,11.1,2,0,13,0.72,0,0.0,100.0
Titus Young,6196,WR,16,DET,486,80,16.5,30,6.2,8,26.7,8,0,49,1.63,1,0.0,100.0
Lee Smith,6311,TE,7,BUF,25,4,16.0,16,64.0,3,18.8,3,0,8,0.50,0,0.0,100.0
Pierre Thomas,4080,HB,16,NO,205,54,26.3,4,2.0,1,25.0,1,0,9,2.25,0,0.0,100.0
Brandon Banks,6053,WR,2,WAS,2,1,50.0,2,100.0,1,50.0,1,0,10,5.00,0,0.0,100.0
Rashied Davis,2554,WR,9,DET,41,5,12.2,19,46.3,3,15.8,3,0,41,2.16,0,0.0,100.0
Bernard Berrian,1799,WR,5,MIN,137,20,14.6,7,5.1,1,14.3,1,0,30,4.29,0,0.0,100.0
Devin Aromashodu,3178,WR,16,MIN,399,78,19.5,28,7.0,1,3.6,1,0,23,0.82,0,0.0,100.0
