player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Casey Cramer,1942,TE,7,TEN,10,2,20.0,3,30.0,1,33.3,1,0,2,0.67,0,0.0,100.0
Adam Jones,2223,CB,4,TEN,4,2,50.0,4,100.0,2,50.0,2,0,31,7.75,0,0.0,100.0
Walter Young,1524,WR,2,PIT,7,1,14.3,6,85.7,1,16.7,1,0,17,2.83,0,0.0,100.0
Daniel Wilcox,1002,TE,14,BLT,128,24,18.8,26,20.3,4,15.4,4,0,26,1.00,0,0.0,100.0
Doug Gabriel,1473,WR,12,NE,217,43,19.8,13,6.0,1,7.7,1,0,31,2.38,0,0.0,100.0
Michael Sellers,432,FB,16,WAS,128,19,14.8,16,12.5,1,6.3,1,0,2,0.13,0,0.0,100.0
Jabar Gaffney,1040,WR,11,NE,164,19,11.6,46,28.0,5,10.9,5,0,55,1.20,0,0.0,100.0
Cliff Russell,1090,WR,2,MIA,3,2,66.7,1,33.3,1,100.0,1,0,9,9.00,0,0.0,100.0
Taylor Jacobs,1360,WR,7,SF,56,10,17.9,3,5.4,1,33.3,1,0,9,3.00,0,0.0,100.0
Justin Peelle,1104,TE,15,MIA,79,17,21.5,10,12.7,2,20.0,2,0,16,1.60,0,0.0,100.0
Maurice Stovall,3035,WR,7,TB,90,12,13.3,18,20.0,1,5.6,1,0,11,0.61,0,0.0,100.0
Frank Gore,2282,HB,16,SF,269,79,29.4,3,1.1,2,66.7,2,0,18,6.00,0,0.0,100.0
David Patten,221,WR,4,WAS,20,4,20.0,10,50.0,1,10.0,1,0,25,2.50,0,0.0,100.0
Cadillac Williams,2222,HB,14,TB,197,37,18.8,8,4.1,1,12.5,1,0,9,1.13,0,0.0,100.0
Eric Johnson,929,TE,13,SF,240,45,18.8,36,15.0,4,11.1,4,0,32,0.89,0,0.0,100.0
Anthony Becht,602,TE,16,TB,191,23,12.0,23,12.0,1,4.3,1,0,4,0.17,0,0.0,100.0
Reno Mahe,1654,HB,4,PHI,20,5,25.0,2,10.0,1,50.0,1,0,7,3.50,0,0.0,100.0
Michael Bennett,797,HB,11,KC,54,12,22.2,4,7.4,1,25.0,1,0,8,2.00,0,0.0,100.0
Marion Barber III,2326,HB,16,DAL,218,29,13.3,7,3.2,1,14.3,1,0,8,1.14,0,0.0,100.0
Martin Nance,3440,WR,1,MIN,36,7,19.4,3,8.3,1,33.3,1,0,12,4.00,0,0.0,100.0
Mack Strong,66,FB,16,SEA,333,43,12.9,7,2.1,1,14.3,1,0,12,1.71,0,0.0,100.0
Jeff Dugan,1936,TE,7,MIN,73,12,16.4,3,4.1,1,33.3,1,0,9,3.00,0,0.0,100.0
Laurence Maroney,2966,HB,13,NE,109,28,25.7,3,2.8,1,33.3,1,0,9,3.00,0,0.0,100.0
Brad Cieslak,2533,TE,7,BUF,38,8,21.1,5,13.2,1,20.0,1,0,13,2.60,0,0.0,100.0
David Kircus,1480,WR,16,DEN,164,22,13.4,34,20.7,1,2.9,1,0,24,0.71,0,0.0,100.0
Joe Jurevicius,365,WR,13,CLV,370,60,16.2,84,22.7,10,11.9,10,0,127,1.51,0,0.0,100.0
Leon Washington,3062,HB,15,NYJ,188,28,14.9,5,2.7,1,20.0,1,0,13,2.60,0,0.0,100.0
Brian Calhoun,3019,HB,4,DET,9,2,22.2,1,11.1,1,100.0,1,0,2,2.00,0,0.0,100.0
Michael Jennings,1261,WR,4,NYG,23,8,34.8,2,8.7,1,50.0,1,0,6,3.00,0,0.0,100.0
Visanthe Shiancoe,1406,TE,16,NYG,133,13,9.8,31,23.3,2,6.5,2,0,13,0.42,0,0.0,100.0
