player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Patrick Peterson,6157,CB,4,ARZ,4,3,75.0,3,75.0,3,100.0,3,0,11,3.67,0,0.0,100.0
Shonn Greene,4988,HB,16,NYJ,169,26,15.4,12,7.1,1,8.3,1,0,5,0.42,0,0.0,100.0
Mardy Gilyard,5623,WR,2,NYJ,27,5,18.5,7,25.9,2,28.6,2,0,15,2.14,0,0.0,100.0
Robert Turbin,7106,HB,16,SEA,93,23,24.7,3,3.2,1,33.3,1,0,7,2.33,0,0.0,100.0
Brandon Banks,6053,WR,8,WAS,27,8,29.6,12,44.4,5,41.7,5,0,13,1.08,0,0.0,100.0
Chris Johnson,4338,HB,16,TEN,366,44,12.0,4,1.1,1,25.0,1,0,0,0.00,0,0.0,100.0
Hakeem Nicks,4952,WR,13,NYG,398,96,24.1,9,2.3,2,22.2,2,0,36,4.00,1,0.0,100.0
Henry Hynoski,6666,FB,16,NYG,117,15,12.8,1,0.9,1,100.0,1,0,8,8.00,0,0.0,100.0
David Wilson,7036,HB,11,NYG,37,9,24.3,2,5.4,1,50.0,1,0,3,1.50,0,0.0,100.0
Mewelde Moore,1840,HB,9,IND,70,8,11.4,11,15.7,2,18.2,2,0,12,1.09,1,0.0,100.0
Jacquizz Rodgers,6297,HB,16,ATL,266,58,21.8,24,9.0,1,4.2,1,0,6,0.25,0,0.0,100.0
Michael Palmer,5784,TE,12,ATL,63,6,9.5,14,22.2,2,14.3,2,0,6,0.43,0,0.0,100.0
Mike Cox,4716,FB,8,ATL,34,3,8.8,3,8.8,1,33.3,1,0,3,1.00,0,0.0,100.0
Mike McNeill,6787,TE,13,STR,84,7,8.3,32,38.1,3,9.4,3,0,22,0.69,0,0.0,100.0
Brian Quick,7037,WR,15,STR,117,27,23.1,9,7.7,1,11.1,1,0,6,0.67,0,0.0,100.0
Marvin Jones Jr.,7158,WR,10,CIN,215,31,14.4,37,17.2,3,8.1,3,0,44,1.19,1,0.0,100.0
Orson Charles,7116,TE,16,CIN,96,9,9.4,25,26.0,2,8.0,2,0,20,0.80,0,0.0,100.0
Jordy Nelson,4350,WR,12,GB,400,71,17.8,27,6.8,6,22.2,6,0,130,4.81,1,0.0,100.0
James Casey,5076,FB,16,HST,226,41,18.1,48,21.2,5,10.4,5,0,62,1.29,1,0.0,100.0
