player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
LaDainian Tomlinson,777,HB,15,NYJ,322,75,23.3,17,5.3,2,11.8,2,0,13,0.76,0,0.0,100.0
Jeff Dugan,1936,TE,16,MIN,71,5,7.0,9,12.7,2,22.2,2,0,11,1.22,0,0.0,100.0
Frank Gore,2282,HB,11,SF,270,62,23.0,10,3.7,2,20.0,2,0,12,1.20,0,0.0,100.0
Felix Jones,4336,HB,16,DAL,225,50,22.2,7,3.1,1,14.3,1,0,32,4.57,0,0.0,100.0
Donald Lee,1465,TE,15,GB,76,11,14.5,20,26.3,3,15.0,3,0,10,0.50,1,0.0,100.0
John Kuhn,2686,HB,16,GB,105,18,17.1,2,1.9,1,50.0,1,0,1,0.50,0,0.0,100.0
Maurice Jones-Drew,3005,HB,14,JAX,234,39,16.7,4,1.7,1,25.0,1,0,4,1.00,0,0.0,100.0
Rashard Mendenhall,4337,HB,16,PIT,184,30,16.3,14,7.6,2,14.3,2,0,12,0.86,0,0.0,100.0
Jahvid Best,5555,HB,16,DET,302,72,23.8,28,9.3,4,14.3,4,0,42,1.50,0,0.0,100.0
Mewelde Moore,1840,HB,15,PIT,124,28,22.6,9,7.3,2,22.2,2,0,14,1.56,0,0.0,100.0
Brandon Jackson,3679,HB,16,GB,229,49,21.4,3,1.3,1,33.3,1,0,10,3.33,0,0.0,100.0
Aaron Brown,5116,HB,5,DET,55,12,21.8,2,3.6,1,50.0,1,0,5,2.50,0,0.0,100.0
Tom Crabtree,5458,TE,14,GB,79,6,7.6,12,15.2,1,8.3,1,0,33,2.75,0,0.0,100.0
Derrick Williams,5005,WR,6,DET,120,5,4.2,27,22.5,2,7.4,2,0,23,0.85,0,0.0,100.0
Jason Snelling,3860,HB,14,ATL,228,48,21.1,25,11.0,4,16.0,4,0,39,1.56,1,0.0,100.0
Brian Leonard,3668,HB,11,CIN,141,24,17.0,7,5.0,2,28.6,2,0,14,2.00,0,0.0,100.0
Bryant Johnson,1333,WR,14,DET,475,48,10.1,22,4.6,1,4.5,1,0,10,0.45,0,0.0,100.0
Reggie Kelly,468,TE,16,CIN,151,11,7.3,16,10.6,3,18.8,3,0,10,0.63,0,0.0,100.0
Kory Sperry,5369,TE,5,SD,20,4,20.0,4,20.0,1,25.0,1,0,35,8.75,0,0.0,100.0
Richard Goodman,6039,WR,2,SD,25,1,4.0,9,36.0,1,11.1,1,0,25,2.78,0,0.0,100.0
Rashad Jennings,5174,HB,13,JAX,163,31,19.0,3,1.8,1,33.3,1,0,5,1.67,0,0.0,100.0
Joshua Cribbs,2544,WR,14,CLV,169,36,21.3,19,11.2,4,21.1,4,0,52,2.74,0,0.0,100.0
Eric Weems,4097,WR,11,ATL,45,6,13.3,14,31.1,1,7.1,1,0,18,1.29,0,0.0,100.0
Lorenzo Booker,3687,HB,4,MIN,34,6,17.6,3,8.8,2,66.7,2,0,12,4.00,0,0.0,100.0
Dominique Zeigler,4111,WR,10,SF,106,16,15.1,14,13.2,2,14.3,2,0,16,1.14,0,0.0,100.0
Thomas Jones,585,HB,16,KC,137,17,12.4,2,1.5,1,50.0,1,0,10,5.00,0,0.0,100.0
Chris Chambers,821,WR,13,KC,274,41,15.0,19,6.9,1,5.3,1,0,15,0.79,0,0.0,100.0
Anthony Dixon,5696,HB,8,SF,31,5,16.1,2,6.5,1,50.0,1,0,8,4.00,0,0.0,100.0
Dezmon Briscoe,5714,WR,2,TB,38,6,15.8,6,15.8,1,16.7,1,0,-1,-0.17,0,0.0,100.0
Nate Byham,5705,TE,11,SF,42,6,14.3,10,23.8,2,20.0,2,0,5,0.50,0,0.0,100.0
Kyle Williams,5729,WR,2,SF,7,1,14.3,5,71.4,1,20.0,1,0,8,1.60,0,0.0,100.0
Jim Kleinsasser,469,TE,16,MIN,113,20,17.7,12,10.6,3,25.0,3,0,36,3.00,0,0.0,100.0
Kregg Lumpkin,4714,HB,3,TB,4,1,25.0,2,50.0,1,50.0,1,0,12,6.00,0,0.0,100.0
Micheal Spurlock,3517,WR,16,TB,254,31,12.2,31,12.2,1,3.2,1,0,20,0.65,0,0.0,100.0
Maurice Stovall,3035,WR,7,TB,34,9,26.5,6,17.6,3,50.0,3,0,31,5.17,0,0.0,100.0
Lavelle Hawkins,4440,WR,3,TEN,31,5,16.1,16,51.6,2,12.5,2,0,28,1.75,0,0.0,100.0
Kenneth Darby,3862,HB,13,STR,107,12,11.2,8,7.5,1,12.5,1,0,5,0.63,0,0.0,100.0
Earnest Graham,1613,FB,12,TB,79,16,20.3,1,1.3,1,100.0,1,0,3,3.00,0,0.0,100.0
John Gilmore,1176,TE,16,TB,84,16,19.0,14,16.7,2,14.3,2,0,14,1.00,0,0.0,100.0
Garrett Mills,3051,TE,7,PHI,42,3,7.1,19,45.2,1,5.3,1,0,14,0.74,0,0.0,100.0
Ben Patrick,3831,TE,11,ARZ,92,18,19.6,33,35.9,4,12.1,4,0,27,0.82,0,0.0,100.0
Mark Clayton,2239,WR,5,STR,162,38,23.5,26,16.0,2,7.7,2,0,16,0.62,0,0.0,100.0
Reggie Bush,2947,HB,8,NO,157,40,25.5,22,14.0,7,31.8,7,0,65,2.95,0,0.0,100.0
Ahmard Hall,3336,FB,15,TEN,73,20,27.4,1,1.4,1,100.0,1,0,3,3.00,0,0.0,100.0
Ed Dickson,5595,TE,14,BLT,121,21,17.4,31,25.6,3,9.7,3,0,21,0.68,0,0.0,100.0
Jerome Harrison,3090,HB,8,PHI,54,7,13.0,6,11.1,1,16.7,1,0,15,2.50,0,0.0,100.0
Michael Sellers,432,FB,16,WAS,155,34,21.9,5,3.2,1,20.0,1,0,11,2.20,0,0.0,100.0
Clinton Portis,1058,HB,5,WAS,53,8,15.1,3,5.7,1,33.3,1,0,14,4.67,0,0.0,100.0
Jonathan Stupar,4601,TE,13,BUF,90,13,14.4,24,26.7,1,4.2,1,0,4,0.17,0,0.0,100.0
David Clowney,3773,WR,10,CAR,67,12,17.9,11,16.4,1,9.1,1,0,6,0.55,0,0.0,100.0
Steven Jackson,1745,HB,16,STR,369,58,15.7,10,2.7,1,10.0,1,0,12,1.20,0,0.0,100.0
Chester Taylor,1182,HB,16,CHI,119,24,20.2,11,9.2,2,18.2,2,0,22,2.00,0,0.0,100.0
Brandon Manumaleuna,876,TE,16,CHI,78,5,6.4,4,5.1,1,25.0,1,0,16,4.00,0,0.0,100.0
Owen Schmitt,4477,FB,15,PHI,153,21,13.7,23,15.0,4,17.4,4,0,31,1.35,0,0.0,100.0
Nick Miller,5206,WR,4,OAK,21,4,19.0,10,47.6,2,20.0,2,0,8,0.80,0,0.0,100.0
Donald Brown,4950,HB,13,IND,211,28,13.3,7,3.3,1,14.3,1,0,7,1.00,0,0.0,100.0
LeSean McCoy,4976,HB,15,PHI,424,84,19.8,39,9.2,1,2.6,1,0,6,0.15,0,0.0,100.0
Ronnie Brown,2219,HB,16,MIA,225,38,16.9,6,2.7,1,16.7,1,0,5,0.83,0,0.0,100.0
Chaz Schilens,4540,WR,5,OAK,40,9,22.5,7,17.5,1,14.3,1,0,9,1.29,0,0.0,100.0
Darren McFadden,4318,HB,13,OAK,199,52,26.1,7,3.5,1,14.3,1,0,3,0.43,0,0.0,100.0
Marshawn Lynch,3628,HB,4,BUF,15,1,6.7,3,20.0,1,33.3,1,0,7,2.33,0,0.0,100.0
