player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Colt McCoy,5609,QB,1,CLV,1,1,13,1,13.00
Seneca Wallace,1422,QB,1,CLV,1,1,9,1,9.00
Yamon Figurs,3690,WR,1,OAK,2,2,17,2,8.50
Danny Ware,4095,HB,7,NYG,9,7,67,12,5.58
Desmond Clark,529,TE,2,CHI,2,1,12,3,4.00
Jerome Simpson,4360,WR,5,CIN,25,20,277,70,3.96
Kory Sperry,5369,TE,5,SD,4,4,73,20,3.65
Sam Aiken,1439,WR,2,CLV,1,1,7,2,3.50
Taylor Price,5614,WR,1,NE,4,3,41,13,3.15
Kenny Britt,4953,WR,12,TEN,66,42,775,256,3.03
Kregg Lumpkin,4714,HB,3,TB,1,1,12,4,3.00
Darrel Young,5438,FB,1,WAS,1,1,3,1,3.00
Ruvell Martin,2111,WR,5,SEA,8,7,158,53,2.98
Antonio Brown,5718,WR,9,PIT,19,16,167,57,2.93
Donte' Stallworth,1020,WR,7,BLT,5,2,82,28,2.93
Marcel Reece,4702,FB,16,OAK,40,25,333,119,2.80
Demaryius Thomas,5547,WR,10,DEN,37,22,283,101,2.80
Jermichael Finley,4405,TE,5,GB,25,21,301,114,2.64
Adrian Arrington,4551,TE,1,NO,9,7,79,30,2.63
Patrick Crayton,1932,WR,9,SD,42,28,514,196,2.62
Darren McFadden,4318,HB,13,OAK,52,47,507,199,2.55
Brandon Lloyd,1436,WR,16,DEN,147,77,1448,571,2.54
Dezmon Briscoe,5714,WR,2,TB,6,6,93,38,2.45
Andre Johnson,1319,WR,13,HST,131,86,1216,496,2.45
Keith Toston,5821,HB,5,STR,2,2,29,12,2.42
Roddy White,2244,WR,16,ATL,167,115,1389,578,2.40
Mike Wallace,5007,WR,16,PIT,93,60,1257,526,2.39
Percy Harvin,4945,WR,14,MIN,104,71,871,364,2.39
Maurice Stovall,3035,WR,7,TB,9,7,81,34,2.38
Jared Cook,5012,TE,13,TEN,44,29,361,152,2.38
Ramses Barden,5008,WR,4,NYG,7,5,64,27,2.37
Arrelious Benn,5564,WR,14,TB,37,25,395,169,2.34
Dwayne Bowe,3639,WR,16,KC,125,72,1162,498,2.33
Antonio Gates,1609,TE,10,SD,63,50,782,336,2.33
Hakeem Nicks,4952,WR,13,NYG,126,79,1052,453,2.32
Austin Collie,5051,WR,9,IND,69,58,649,285,2.28
Mario Manningham,4409,WR,16,NYG,86,60,944,417,2.26
Danario Alexander,6106,WR,8,STR,33,20,306,136,2.25
Michael Bennett,797,HB,1,OAK,2,2,9,4,2.25
Jimmy Graham,5619,TE,14,NO,42,31,356,160,2.23
Brandon Stokley,498,WR,11,SEA,42,31,354,163,2.17
Greg Jennings,2997,WR,16,GB,120,76,1265,585,2.16
Vincent Jackson,2278,WR,5,SD,20,14,248,115,2.16
Marcedes Lewis,2973,TE,16,JAX,86,58,700,326,2.15
Deion Branch,1072,WR,11,NE,72,48,706,329,2.15
Kevin Faulk,470,HB,2,NE,9,6,62,29,2.14
Evan Moore,4771,TE,12,CLV,26,16,322,151,2.13
Robert Meachem,3643,WR,16,NO,62,44,638,302,2.11
Malcom Floyd,2044,WR,11,SD,74,37,717,341,2.10
Santonio Holmes,2970,WR,12,NYJ,91,52,746,358,2.08
Mike Williams,2227,WR,13,SEA,106,65,751,363,2.07
Kelley Washington,1380,WR,6,SD,14,13,173,84,2.06
Brandon Marshall,3064,WR,14,MIA,132,86,1014,494,2.05
Pierre Thomas,4080,HB,6,NO,29,29,201,100,2.01
Todd Herremans,2343,G,1,PHI,1,1,2,1,2.00
Rob Gronkowski,5567,TE,16,NE,57,42,546,273,2.00
Naaman Roosevelt,5799,WR,4,BUF,16,9,139,70,1.99
DeSean Jackson,4363,WR,14,PHI,92,47,1056,531,1.99
Matt Forte,4358,HB,16,CHI,65,51,549,276,1.99
Reggie Wayne,800,WR,16,IND,172,111,1355,685,1.98
Lavelle Hawkins,4440,WR,3,TEN,5,5,61,31,1.97
Wes Welker,2204,WR,15,NE,118,86,848,431,1.97
Todd Heap,801,TE,13,BLT,56,39,595,302,1.97
Ray Rice,4369,HB,16,BLT,75,63,626,318,1.97
Andre Caldwell,4411,WR,15,CIN,36,25,345,176,1.96
Michael Hoomanawanui,5655,TE,8,STR,21,13,146,75,1.95
Felix Jones,4336,HB,16,DAL,50,47,437,225,1.94
Tyrell Sutton,5395,HB,4,CAR,12,12,70,36,1.94
Steve Johnson,4538,WR,16,BUF,139,82,1073,560,1.92
Aaron Hernandez,5637,TE,14,NE,64,45,563,294,1.91
Darren Sproles,2347,HB,16,SD,70,59,520,274,1.90
John Gilmore,1176,TE,16,TB,16,13,160,84,1.90
Nick Miller,5206,WR,4,OAK,4,3,40,21,1.90
Jason Witten,1384,TE,16,DAL,121,92,993,526,1.89
Terrell Owens,188,WR,14,CIN,132,72,983,521,1.89
Mark Clayton,2239,WR,5,STR,38,23,306,162,1.89
Vernon Davis,2951,TE,16,SF,86,55,876,468,1.87
Fred Davis,4362,TE,16,WAS,28,21,316,170,1.86
Earl Bennett,4384,WR,14,CHI,66,46,561,301,1.86
Patrick Turner,5010,WR,3,NYJ,2,2,26,14,1.86
Larry Fitzgerald,1724,WR,16,ARZ,168,90,1137,617,1.84
Johnny Knox,5064,WR,16,CHI,97,51,964,525,1.84
Davone Bess,4694,WR,16,MIA,118,80,817,445,1.84
Jordy Nelson,4350,WR,16,GB,61,45,582,316,1.84
Braylon Edwards,2220,WR,16,NYJ,93,53,904,495,1.83
Marques Colston,3197,WR,15,NO,126,84,1023,561,1.82
Jamaal Charles,4387,HB,16,KC,59,45,468,258,1.81
Jason Hill,3692,WR,6,JAX,20,11,248,137,1.81
Jacob Tamme,4441,TE,12,IND,90,67,631,351,1.80
Ben Obomanu,3194,WR,14,SEA,47,30,494,275,1.80
Dez Bryant,5549,WR,12,DAL,71,45,561,312,1.80
Knowshon Moreno,4935,HB,13,DEN,43,37,372,207,1.80
Calvin Johnson,3618,WR,15,DET,131,77,1120,623,1.80
Santana Moss,786,WR,16,WAS,142,93,1115,627,1.78
Zach Miller,3654,TE,15,OAK,89,60,687,389,1.77
Mike Thomas,5030,WR,16,JAX,99,66,816,465,1.75
Miles Austin,3211,WR,16,DAL,115,69,1045,596,1.75
Seyi Ajirotutu,6035,WR,10,SD,23,13,262,150,1.75
Kareem Huggins,5414,HB,2,TB,2,1,7,4,1.75
Michael Bush,3716,HB,14,OAK,21,17,189,108,1.75
Steve Smith,3667,WR,9,NYG,72,48,529,304,1.74
Joel Dreessen,2415,TE,16,HST,50,36,518,298,1.74
Mike Williams,5625,WR,16,TB,122,64,955,549,1.74
Joshua Cribbs,2544,WR,14,CLV,36,23,292,169,1.73
Delanie Walker,3120,TE,14,SF,41,29,331,193,1.72
Matt Willis,4283,WR,2,DEN,1,1,17,10,1.70
Derrick Mason,271,WR,16,BLT,94,61,802,472,1.70
Spencer Larsen,4497,FB,10,DEN,5,5,51,30,1.70
Lance Moore,2718,WR,16,NO,92,66,763,453,1.68
James Jones,3694,WR,16,GB,85,50,692,413,1.68
Benjamin Watson,1753,TE,16,CLV,96,66,743,446,1.67
Frank Gore,2282,HB,11,SF,62,46,452,270,1.67
Anthony Armstrong,4855,WR,15,WAS,78,44,871,523,1.67
Damian Williams,5601,WR,13,TEN,26,16,219,133,1.65
Ryan Mathews,5537,HB,11,SD,26,22,145,88,1.65
Craig Davis,3646,WR,7,SD,37,21,259,158,1.64
Jabar Gaffney,1040,WR,16,DEN,106,65,881,536,1.64
Arian Foster,5398,HB,16,HST,77,65,590,363,1.63
Golden Tate,5585,WR,11,SEA,38,21,227,139,1.63
Sidney Rice,3660,WR,6,MIN,39,17,280,174,1.61
Anquan Boldin,1369,WR,16,BLT,103,64,837,519,1.61
Hines Ward,380,WR,16,PIT,90,59,755,468,1.61
Mewelde Moore,1840,HB,15,PIT,28,25,198,124,1.60
Tony Moeaki,5617,TE,15,KC,64,46,545,342,1.59
Danny Amendola,4717,WR,16,STR,114,85,689,436,1.58
Brian Hartline,5031,WR,12,MIA,68,43,615,389,1.58
Danny Woodhead,4914,HB,14,NE,43,34,379,242,1.57
Jacoby Ford,5632,WR,16,OAK,50,25,470,300,1.57
Albert Young,4665,HB,3,MIN,2,2,11,7,1.57
Dallas Clark,1340,TE,6,IND,51,37,347,222,1.56
Kellen Winslow,1727,TE,16,TB,87,65,722,464,1.56
Anthony Gonzalez,3648,WR,2,IND,8,5,67,43,1.56
Kevin Boss,3769,TE,15,NYG,65,35,531,343,1.55
James Davis,5119,HB,2,WAS,5,4,45,29,1.55
Jeremy Maclin,4942,WR,16,PHI,106,70,964,622,1.55
LaRod Stephens-Howling,5164,HB,13,ARZ,22,16,111,72,1.54
Jahvid Best,5555,HB,16,DET,72,56,464,302,1.54
Chad Johnson,806,WR,14,CIN,118,67,831,539,1.54
Martellus Bennett,4375,TE,16,DAL,44,33,260,170,1.53
Heath Miller,2247,TE,14,PIT,63,41,507,332,1.53
Anthony Fasano,2998,TE,15,MIA,55,39,528,345,1.53
Mike Goodson,5034,HB,16,CAR,50,39,304,199,1.53
Steve Breaston,3758,WR,13,ARZ,82,47,718,471,1.52
David Clowney,3773,WR,10,CAR,12,6,102,67,1.52
Jacoby Jones,3689,WR,15,HST,76,51,564,372,1.52
Sammy Morris,678,FB,15,NE,12,7,77,51,1.51
Mike Bell,3225,HB,5,CLV,7,6,62,41,1.51
Dimitri Nance,5783,HB,6,GB,4,3,30,20,1.50
James Starks,5716,HB,2,GB,3,2,15,10,1.50
Chris Cooley,1802,TE,16,WAS,114,76,842,562,1.50
Jeremy Shockey,1021,TE,13,NO,56,41,408,272,1.50
Peyton Hillis,4541,HB,16,CLV,67,61,477,317,1.50
Brandon Jackson,3679,HB,16,GB,49,43,342,229,1.49
Mike Tolbert,4740,HB,14,SD,27,23,180,121,1.49
Dustin Keller,4344,TE,15,NYJ,92,54,684,458,1.49
Eddie Royal,4356,WR,16,DEN,93,59,627,424,1.48
Brandon Pettigrew,4943,TE,16,DET,103,71,722,488,1.48
Kevin Smith,4378,HB,6,DET,15,11,123,83,1.48
Roberto Wallace,5888,WR,12,MIA,10,6,62,42,1.48
Brandon Gibson,5118,WR,14,STR,86,53,620,419,1.48
Mike Sims-Walker,3695,WR,14,JAX,73,43,567,385,1.47
Isaac Redman,5233,HB,14,PIT,10,9,72,49,1.47
Brandon Tate,5006,WR,16,NE,42,24,432,293,1.47
Randy Moss,342,WR,4,MIN,25,13,174,119,1.46
Michael Sellers,432,FB,16,WAS,34,20,224,155,1.45
Owen Daniels,3043,TE,11,HST,61,38,471,327,1.44
Louis Murphy,5048,WR,14,OAK,74,41,609,424,1.44
Rock Cartwright,1211,HB,4,OAK,3,1,10,7,1.43
Laurence Maroney,2966,HB,4,DEN,7,4,50,35,1.43
Nate Washington,2832,WR,16,TEN,88,42,687,486,1.41
Billy Bajema,2466,TE,13,STR,19,14,154,109,1.41
Patrick Cobbs,3272,HB,13,MIA,18,8,91,65,1.40
Jordan Shipley,5608,WR,15,CIN,72,52,600,428,1.40
Michael Jenkins,1750,WR,11,ATL,69,41,505,363,1.39
Zach Miller,5104,TE,15,JAX,24,20,216,157,1.38
Josh Morgan,4488,WR,16,SF,74,44,698,504,1.38
Eric Decker,5611,WR,10,DEN,7,5,98,71,1.38
C.J. Spiller,5534,HB,13,BUF,27,24,157,114,1.38
Brandon LaFell,5602,WR,14,CAR,71,38,468,339,1.38
Visanthe Shiancoe,1406,TE,16,MIN,74,46,507,369,1.37
Ahmard Hall,3336,FB,15,TEN,20,15,100,73,1.37
Chad Hall,5523,WR,7,PHI,17,11,115,84,1.37
Michael Crabtree,4933,WR,16,SF,92,55,741,541,1.37
Fendi Onobun,5693,TE,3,STR,4,2,15,11,1.36
Ryan Purvis,5403,TE,9,TB,6,5,38,28,1.36
LeSean McCoy,4976,HB,15,PHI,84,78,577,424,1.36
Rashad Jennings,5174,HB,13,JAX,31,26,222,163,1.36
Eric Weems,4097,WR,11,ATL,6,6,61,45,1.36
Roscoe Parrish,2272,WR,8,BUF,50,33,392,289,1.36
Maurice Jones-Drew,3005,HB,14,JAX,39,34,317,234,1.35
Emmanuel Sanders,5606,WR,13,PIT,48,28,376,279,1.35
Derek Hagan,3027,WR,7,NYG,39,24,223,166,1.34
Ben Patrick,3831,TE,11,ARZ,18,15,123,92,1.34
Jason Snelling,3860,HB,14,ATL,48,44,303,228,1.33
Pierre Garcon,4519,WR,14,IND,119,67,784,591,1.33
Shawn Nelson,5045,TE,4,BUF,4,3,25,19,1.32
Reggie Bush,2947,HB,8,NO,40,34,208,157,1.32
Leon Washington,3062,HB,16,SEA,9,9,79,60,1.32
Correll Buckhalter,869,HB,15,DEN,38,28,240,182,1.32
Tony Scheffler,3006,TE,15,DET,66,45,378,286,1.32
Tashard Choice,4436,HB,14,DAL,21,17,114,87,1.31
Jim Kleinsasser,469,TE,16,MIN,20,17,148,113,1.31
Cameron Morrah,5172,TE,12,SEA,18,9,117,90,1.30
Derrick Ward,1949,HB,11,HST,9,7,61,47,1.30
Cadillac Williams,2222,HB,16,TB,57,46,359,276,1.30
Adrian Peterson,3623,HB,15,MIN,47,36,341,264,1.29
Jacob Hester,4383,FB,15,SD,25,22,145,112,1.29
Maurice Morris,1061,HB,10,DET,30,25,170,133,1.28
David Nelson,5862,WR,15,BUF,47,31,353,278,1.27
Terrence Austin,5742,WR,5,WAS,5,3,47,37,1.27
Brett Swain,4531,WR,10,GB,9,6,72,57,1.26
Toby Gerhart,5576,HB,14,MIN,28,21,167,133,1.26
Ed Dickson,5595,TE,14,BLT,21,11,152,121,1.26
Joe McKnight,5636,HB,2,NYJ,4,3,20,16,1.25
Kevin Walter,1549,WR,16,HST,71,51,621,495,1.25
Rashied Davis,2554,WR,12,CHI,11,9,84,67,1.25
Steve Smith,837,WR,14,CAR,87,47,554,447,1.24
Quinn Johnson,5069,FB,10,GB,4,3,26,21,1.24
Jermaine Gresham,5546,TE,15,CIN,75,51,469,378,1.24
Lee Evans,1734,WR,13,BUF,78,37,578,466,1.24
Randy Moss,342,WR,4,NE,22,9,139,113,1.23
Jonathan Stupar,4601,TE,13,BUF,13,12,111,90,1.23
Tony Gonzalez,237,TE,16,ATL,105,70,656,533,1.23
Daniel Fells,3309,TE,16,STR,56,41,391,319,1.23
Chansi Stuckey,3851,WR,16,CLV,57,40,347,282,1.23
Brent Celek,3778,TE,15,PHI,71,40,492,403,1.22
Legedu Naanee,3788,WR,10,SD,42,23,371,305,1.22
Jason Avant,3054,WR,16,PHI,70,51,574,474,1.21
Jerome Harrison,3090,HB,3,CLV,4,4,42,35,1.20
Ahmad Bradshaw,3866,HB,16,NYG,56,47,314,262,1.20
Bo Scaife,2396,TE,13,TEN,49,36,318,266,1.20
