player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Quinton Dunbar,10073,CB,1,WAS,1,1,31,1,31.00
Blake Bortles,8638,QB,1,JAX,1,1,20,1,20.00
Russell Wilson,7077,QB,2,SEA,1,1,15,2,7.50
Bralon Addison,11013,WR,2,CHI,1,1,11,2,5.50
Chris Manhertz,10211,TE,2,CAR,1,1,10,2,5.00
Nick Williams,8005,WR,2,ATL,6,5,59,12,4.92
Chase Reynolds,6892,HB,1,LAR,1,1,4,1,4.00
Wendall Williams,11174,WR,2,HST,7,4,75,19,3.95
Keenan Allen,7857,WR,1,SD,7,6,63,16,3.94
Ifeanyi Momah,8557,TE,4,ARZ,3,2,50,13,3.85
Taiwan Jones,6277,HB,6,OAK,4,4,43,13,3.31
Greg Salas,6264,WR,2,BUF,6,4,89,27,3.30
Jace Amaro,8684,TE,2,TEN,4,3,59,18,3.28
Rob Gronkowski,5567,TE,8,NE,36,25,540,170,3.18
Marcel Reece,4702,FB,4,SEA,5,5,73,23,3.17
Erik Swoope,9303,TE,16,IND,21,15,297,95,3.13
Julio Jones,6158,WR,14,ATL,125,83,1409,452,3.12
Ladarius Green,7110,TE,6,PIT,32,18,304,101,3.01
Jake Fisher,9486,T,4,CIN,1,1,12,4,3.00
Marcus Murphy,9663,HB,1,NO,1,1,3,1,3.00
Derek Watt,10832,FB,11,SD,4,4,83,29,2.86
A.J. Green,6156,WR,10,CIN,95,66,964,337,2.86
Josh Doctson,10656,WR,2,WAS,6,2,66,24,2.75
Tanner McEvoy,11288,WR,12,SEA,11,9,140,52,2.69
Damiere Byrd,9964,WR,1,CAR,1,1,16,6,2.67
J.D. McKissic,11047,WR,1,SEA,2,2,16,6,2.67
Jeremy Ross,6476,WR,2,ARZ,4,4,37,14,2.64
Nick Boyle,9604,TE,6,BLT,6,6,44,17,2.59
TJ Jones,8824,WR,3,DET,13,5,93,36,2.58
Geoff Swaim,9679,TE,9,DAL,7,6,69,27,2.56
Marquess Wilson,8019,WR,3,CHI,16,9,160,63,2.54
Tevin Coleman,9506,HB,13,ATL,37,31,421,166,2.54
Dominique Jones,6988,TE,8,MIA,10,7,61,24,2.54
C.J. Prosise,10724,HB,6,SEA,18,17,208,82,2.54
C.J. Spiller,5534,HB,2,SEA,8,5,43,17,2.53
Taylor Lewan,8646,T,4,TEN,1,1,10,4,2.50
Damien Williams,9205,HB,15,MIA,28,23,249,101,2.47
Taylor Gabriel,9002,WR,13,ATL,46,35,579,236,2.45
T.Y. Hilton,7092,WR,16,IND,143,91,1448,615,2.35
Seth DeValve,10772,TE,11,CLV,12,10,127,55,2.31
Tyreek Hill,10799,WR,16,KC,81,62,593,260,2.28
Mike Evans,8642,WR,16,TB,168,96,1321,579,2.28
Odell Beckham Jr.,8647,WR,16,NYG,161,101,1367,601,2.27
Antonio Brown,5718,WR,15,PIT,151,106,1284,568,2.26
Jarvis Landry,8698,WR,16,MIA,122,94,1136,505,2.25
Aldrick Robinson,6330,WR,16,ATL,31,20,323,144,2.24
Arrelious Benn,5564,WR,12,JAX,10,5,116,52,2.23
Travis Kelce,7844,TE,16,KC,114,85,1125,504,2.23
Fitzgerald Toussaint,9244,HB,7,PIT,3,3,33,15,2.20
Antone Smith,5440,HB,3,TB,9,6,77,35,2.20
Ameer Abdullah,9487,HB,2,DET,5,5,57,26,2.19
MarQueis Gray,8286,TE,13,MIA,16,14,174,80,2.18
Jamize Olawale,7572,FB,16,OAK,14,12,227,106,2.14
Brandon Bolden,7469,HB,3,NE,4,2,15,7,2.14
Rishard Matthews,7211,WR,16,TEN,104,65,945,444,2.13
Reggie Bush,2947,HB,10,BUF,10,7,90,43,2.09
Greg Olsen,3647,TE,16,CAR,121,79,1071,515,2.08
Cole Beasley,7330,WR,16,DAL,92,75,833,403,2.07
Cameron Meredith,10008,WR,14,CHI,95,66,888,428,2.07
Vernon Davis,2951,TE,16,WAS,59,45,583,284,2.05
Sammie Coates Jr.,9520,WR,14,PIT,49,21,435,212,2.05
Michael Thomas,10681,WR,15,NO,119,92,1137,556,2.04
DeSean Jackson,4363,WR,15,WAS,89,56,1005,493,2.04
Matt Barkley,7880,QB,1,CHI,1,1,2,1,2.00
Kenny Britt,4953,WR,15,LAR,109,68,1002,500,2.00
MyCole Pruitt,9576,TE,2,CHI,1,1,6,3,2.00
Gerald Christian,9689,TE,2,BUF,2,1,14,7,2.00
C.J. Fiedorowicz,8700,TE,15,HST,82,54,559,281,1.99
Kelvin Benjamin,8663,WR,16,CAR,112,63,941,472,1.99
Julian Edelman,5156,WR,16,NE,146,98,1106,559,1.98
Demaryius Thomas,5547,WR,16,DEN,141,90,1083,549,1.97
Jordan Reed,7866,TE,12,WAS,85,66,686,348,1.97
Pierre Garcon,4519,WR,16,WAS,110,79,1041,532,1.96
Martellus Bennett,4375,TE,16,NE,67,55,701,358,1.96
Tim Hightower,4463,HB,14,NO,23,22,200,102,1.96
Amari Cooper,9437,WR,16,OAK,127,83,1154,593,1.95
DuJuan Harris,6595,HB,6,SF,9,8,115,59,1.95
Hunter Henry,10669,TE,15,SD,46,35,466,240,1.94
Sammy Watkins,8639,WR,8,BUF,50,28,430,222,1.94
Adam Thielen,8288,WR,16,MIN,88,69,967,498,1.94
Dez Bryant,5549,WR,13,DAL,89,50,796,412,1.93
Doug Baldwin,6615,WR,16,SEA,117,94,1128,588,1.92
Brandin Cooks,8655,WR,16,NO,113,78,1173,611,1.92
Emmanuel Sanders,5606,WR,16,DEN,131,79,1032,539,1.91
Jimmy Graham,5619,TE,16,SEA,93,65,923,483,1.91
Stefon Diggs,9579,WR,13,MIN,109,84,903,474,1.91
James White,8765,HB,16,NE,76,60,551,290,1.90
Delanie Walker,3120,TE,15,TEN,96,65,800,427,1.87
Alshon Jeffery,7048,WR,12,CHI,92,52,821,439,1.87
Tyrell Williams,10154,WR,16,SD,111,69,1059,567,1.87
Duke Johnson Jr.,9510,HB,16,CLV,68,53,514,277,1.86
Jordy Nelson,4350,WR,16,GB,146,97,1257,674,1.86
Jared Cook,5012,TE,10,GB,49,30,377,204,1.85
Tommylee Lewis,11231,WR,10,NO,9,7,76,41,1.85
