player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Terrelle Pryor,6944,QB,1,OAK,1,1,22,1,22.00
Donte' Stallworth,1020,WR,1,NE,2,1,63,11,5.73
Allen Reisner,6493,TE,1,MIN,1,1,13,3,4.33
Kellen Winslow,1727,TE,1,NE,2,1,12,3,4.00
Virgil Green,6356,TE,7,DEN,6,5,63,16,3.94
Guy Whimper,3074,T,2,JAX,2,2,11,3,3.67
Kevin Boss,3769,TE,2,KC,3,3,65,18,3.61
Trindon Holliday,5720,WR,2,DEN,2,2,17,5,3.40
Andre Johnson,1319,WR,16,HST,159,112,1598,530,3.02
Jackie Battle,3885,HB,9,SD,15,15,108,36,3.00
Pierre Garcon,4519,WR,10,WAS,63,44,633,215,2.94
Brandon Marshall,3064,WR,16,CHI,181,118,1508,543,2.78
Patrick Peterson,6157,CB,4,ARZ,3,3,11,4,2.75
Chris Gronkowski,5926,FB,3,DEN,1,1,11,4,2.75
Alfonso Smith,5877,HB,3,ARZ,3,2,21,8,2.63
Mike Goodson,5034,HB,11,OAK,16,16,195,75,2.60
Percy Harvin,4945,WR,9,MIN,81,62,677,261,2.59
Michael Crabtree,4933,WR,16,SF,118,85,1105,433,2.55
Calvin Johnson,3618,WR,16,DET,199,122,1964,769,2.55
Demaryius Thomas,5547,WR,16,DEN,138,95,1430,570,2.51
Rob Gronkowski,5567,TE,11,NE,77,55,790,324,2.44
Chris Owusu,7276,WR,3,TB,3,1,24,10,2.40
Chase Coffman,5021,TE,5,ATL,1,1,12,5,2.40
Aldrick Robinson,6330,WR,13,WAS,18,11,237,100,2.37
Vincent Jackson,2278,WR,16,TB,137,72,1384,587,2.36
Jonathan Grimes,7585,HB,2,NYJ,2,2,7,3,2.33
Kealoha Pilares,6284,WR,6,CAR,3,2,42,18,2.33
Jarius Wright,7118,WR,7,MIN,36,22,310,133,2.33
Jordan Norwood,5358,WR,2,CLV,18,13,137,59,2.32
Cecil Shorts,6266,WR,14,JAX,101,55,979,422,2.32
A.J. Green,6156,WR,16,CIN,158,97,1350,581,2.32
Randall Cobb,6216,WR,15,GB,102,80,954,421,2.27
Domenik Hixon,3075,WR,13,NYG,58,39,567,252,2.25
Dedrick Epps,5758,TE,2,NYJ,1,1,9,4,2.25
Santonio Holmes,2970,WR,4,NYJ,39,20,272,121,2.25
Steve Smith,837,WR,16,CAR,127,73,1174,526,2.23
Wes Welker,2204,WR,16,NE,166,118,1354,617,2.19
