player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Brady Quinn,3638,QB,1,CLV,1,1,18,1,18.00
Seneca Wallace,1422,QB,5,SEA,2,2,29,5,5.80
Terrance Copper,2016,WR,6,KC,5,4,68,12,5.67
Tom Santi,4510,TE,3,IND,11,8,110,30,3.67
Kevin Ogletree,5387,WR,9,DAL,8,7,96,28,3.43
Marcel Reece,4702,FB,2,OAK,4,2,20,6,3.33
Louis Rankin,4590,HB,5,SEA,6,5,33,11,3.00
Wes Welker,2204,WR,14,NE,153,123,1348,449,3.00
Gary Barnidge,4455,TE,13,CAR,20,12,242,87,2.78
Miles Austin,3211,WR,16,DAL,120,81,1320,484,2.73
Gary Russell,4059,FB,9,OAK,13,12,96,36,2.67
Lynell Hamilton,4770,HB,5,NO,7,5,48,18,2.67
Quan Cosby,5342,WR,5,CIN,6,4,55,21,2.62
Andre Johnson,1319,WR,16,HST,152,101,1569,620,2.53
Antonio Gates,1609,TE,16,SD,109,78,1143,469,2.44
Jermichael Finley,4405,TE,13,GB,71,55,676,279,2.42
Sidney Rice,3660,WR,16,MIN,119,83,1312,545,2.41
Darren Sproles,2347,HB,16,SD,52,45,497,206,2.41
Michael Bennett,797,HB,3,SD,7,6,65,27,2.41
Jacoby Jones,3689,WR,14,HST,35,27,437,181,2.41
DeSean Jackson,4363,WR,15,PHI,112,63,1168,493,2.37
Sam Hurd,3362,WR,10,DAL,12,7,121,51,2.37
Derek Schouman,3838,TE,2,BUF,11,9,106,45,2.36
Percy Harvin,4945,WR,15,MIN,86,60,790,338,2.34
Vincent Jackson,2278,WR,15,SD,105,68,1167,499,2.34
Brandon Marshall,3064,WR,15,DEN,149,101,1120,482,2.32
Hakeem Nicks,4952,WR,14,NYG,70,47,790,344,2.30
Steve Smith,3667,WR,16,NYG,151,107,1220,534,2.28
Aaron Stecker,572,HB,4,ATL,5,5,34,15,2.27
Anthony Hill,5046,TE,1,HST,1,1,9,4,2.25
Brent Celek,3778,TE,16,PHI,106,76,968,433,2.24
Jerricho Cotchery,1829,WR,14,NYJ,93,57,821,367,2.24
Reggie Wayne,800,WR,16,IND,146,100,1264,568,2.23
Jordy Nelson,4350,WR,13,GB,28,22,320,144,2.22
Malcom Floyd,2044,WR,16,SD,74,45,776,351,2.21
Dallas Clark,1340,TE,16,IND,129,100,1106,502,2.20
Randy Moss,342,WR,16,NE,136,83,1264,578,2.19
Owen Daniels,3043,TE,8,HST,53,40,519,239,2.17
Jarett Dillard,5068,WR,6,JAX,8,6,106,49,2.16
Marques Colston,3197,WR,16,NO,102,70,1074,502,2.14
Santonio Holmes,2970,WR,16,PIT,127,79,1248,589,2.12
