player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Chimdi Chekwa,6265,CB,1,OAK,1,1,22,1,22.00
Bradie Ewing,7150,FB,2,ATL,2,2,29,2,14.50
Dan Herron,7179,HB,1,IND,1,1,57,4,14.25
Joe Staley,3644,T,1,SF,1,1,14,1,14.00
Teddy Williams,6073,WR,3,ARZ,1,1,51,5,10.20
Brad Meester,627,C,1,JAX,1,1,9,1,9.00
Taiwan Jones,6277,CB,2,OAK,2,2,55,7,7.86
Lamaar Thomas,8315,WR,2,JAX,3,2,31,5,6.20
Marcus Thigpen,5488,HB,10,MIA,11,8,97,24,4.04
Kerry Taylor,6760,WR,1,ARZ,3,3,40,10,4.00
David Johnson,5165,TE,4,PIT,6,4,70,18,3.89
Michael Hill,8302,HB,1,TB,2,2,23,6,3.83
Brittan Golden,7481,WR,5,ARZ,10,4,136,36,3.78
Danny Noble,7445,TE,7,JAX,3,2,63,18,3.50
Lance Dunbar,7332,HB,8,DAL,7,7,59,18,3.28
Tyrod Taylor,6332,QB,1,BLT,1,1,6,2,3.00
Brad Smith,3048,WR,5,PHI,2,2,27,9,3.00
Ray Graham,8380,HB,1,HST,2,1,12,4,3.00
Dorin Dickerson,5750,TE,4,DET,5,2,34,12,2.83
Jonathan Grimes,7585,HB,2,HST,6,6,76,27,2.81
Malcom Floyd,2044,WR,2,SD,11,6,149,53,2.81
Chris Polk,7532,HB,7,PHI,5,4,61,22,2.77
Julio Jones,6158,WR,5,ATL,57,41,580,211,2.75
Rob Gronkowski,5567,TE,7,NE,64,39,592,215,2.75
Calvin Johnson,3618,WR,14,DET,148,84,1492,545,2.74
Anthony Dixon,5696,HB,3,SF,3,3,30,11,2.73
Josh Gordon,7618,WR,14,CLV,149,87,1646,614,2.68
Ladarius Green,7110,TE,16,SD,28,17,376,141,2.67
Chris Gragg,8004,TE,5,BUF,7,5,53,20,2.65
Jeff Demps,7760,HB,2,TB,3,3,21,8,2.63
Justin Blackmon,7011,WR,4,JAX,46,29,415,158,2.63
Geno Smith,7820,QB,4,NYJ,1,1,13,5,2.60
Patrick Peterson,6157,CB,10,ARZ,7,6,54,21,2.57
Anquan Boldin,1369,WR,16,SF,123,85,1179,462,2.55
Armanti Edwards,5613,WR,1,CLV,1,1,10,4,2.50
