player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Tyler Thigpen,3833,QB,1,KC,1,1,37,1,37.00
Edgar Jones,4280,ED,1,BLT,1,1,25,1,25.00
Alvin Pearman,2344,HB,1,JAX,1,1,23,1,23.00
Joe Flacco,4332,QB,3,BLT,1,1,43,4,10.75
Antrel Rolle,2225,S,1,ARZ,1,1,9,1,9.00
Marc Bulger,684,QB,2,STR,2,2,17,2,8.50
Dan Campbell,488,TE,1,DET,1,1,21,3,7.00
David Clowney,3773,WR,2,NYJ,2,1,26,5,5.20
Jacoby Jones,3689,WR,6,HST,5,3,81,16,5.06
DeDe Dorsey,3299,HB,3,CIN,2,2,49,10,4.90
Allen Rossum,377,CB,1,SF,1,1,4,1,4.00
Steve Smith,837,WR,14,CAR,123,78,1421,367,3.87
Kregg Lumpkin,4714,HB,1,GB,3,3,22,6,3.67
Mike Hart,4516,HB,2,IND,1,1,18,5,3.60
Darren Sproles,2347,HB,15,SD,32,28,338,99,3.41
Patrick Cobbs,3272,HB,15,MIA,25,19,275,89,3.09
Roddy White,2244,WR,16,ATL,142,88,1384,460,3.01
Sinorice Moss,2989,WR,9,NYG,14,12,153,51,3.00
Shaun Alexander,597,HB,2,WAS,1,1,9,3,3.00
Najeh Davenport,1131,HB,1,IND,4,4,54,19,2.84
Derek Stanley,3865,WR,8,STR,11,6,119,43,2.77
Andre Johnson,1319,WR,16,HST,162,115,1577,581,2.71
Malcom Floyd,2044,WR,9,SD,36,27,465,172,2.70
Darian Barnes,1216,FB,3,BUF,3,2,34,13,2.62
Tony Scheffler,3006,TE,13,DEN,58,39,633,246,2.57
Michael Robinson,3045,FB,11,SF,20,17,202,80,2.53
Dominique Zeigler,4111,WR,6,SF,8,5,97,39,2.49
Calvin Johnson,3618,WR,16,DET,147,78,1331,542,2.46
Montell Owens,3452,FB,5,JAX,3,2,17,7,2.43
Mike Tolbert,4740,FB,11,SD,14,12,166,70,2.37
Derrick Mason,271,WR,16,BLT,117,80,1037,444,2.34
