player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Dave Thomas,3031,TE,1,NE,1,1,9,1,9.00
Chris Barclay,3216,HB,2,TEN,2,2,13,3,4.33
Darnell Dinkins,1236,TE,2,CLV,1,1,8,2,4.00
Verron Haynes,1156,HB,1,PIT,1,1,12,3,4.00
Garrett Wolfe,3709,HB,9,CHI,11,10,119,35,3.40
Yamon Figurs,3690,WR,5,BLT,3,1,36,11,3.27
Garrett Mills,3051,TE,1,MIN,3,2,26,8,3.25
Andre Johnson,1319,WR,9,HST,82,60,851,265,3.21
Chad Lucas,2109,WR,2,TB,5,5,82,27,3.04
Reggie Wayne,800,WR,16,IND,148,104,1515,543,2.79
Terrell Owens,188,WR,15,DAL,141,81,1355,518,2.62
Kassim Osgood,1676,WR,6,SD,3,2,23,9,2.56
Randy Moss,342,WR,16,NE,157,99,1493,586,2.55
Santonio Holmes,2970,WR,13,PIT,85,52,952,377,2.53
Chad Johnson,806,WR,16,CIN,158,93,1440,573,2.51
Brandon Marshall,3064,WR,16,DEN,167,102,1325,532,2.49
Seneca Wallace,1422,QB,7,SEA,3,2,47,19,2.47
Greg Estandia,3597,TE,9,JAX,16,9,136,55,2.47
Fred Jackson,3368,HB,8,BUF,28,22,190,78,2.44
Larry Fitzgerald,1724,WR,15,ARZ,153,100,1412,580,2.43
Jason Witten,1384,TE,16,DAL,141,96,1145,481,2.38
Chris McFoy,4236,WR,3,OAK,2,1,19,8,2.38
Ronnie Brown,2219,HB,7,MIA,45,39,389,164,2.37
Bobby Engram,177,WR,16,SEA,127,94,1147,486,2.36
John Broussard,3845,WR,8,JAX,10,4,126,54,2.33
David Tyree,1511,WR,7,NYG,5,4,35,15,2.33
Braylon Edwards,2220,WR,16,CLV,147,80,1289,571,2.26
Wes Welker,2204,WR,16,NE,138,112,1175,525,2.24
Andre Hall,3333,HB,5,DEN,2,2,69,31,2.23
Anthony Gonzalez,3648,WR,13,IND,51,37,576,260,2.22
Joey Galloway,117,WR,15,TB,95,57,1014,457,2.22
Marques Colston,3197,WR,16,NO,143,98,1202,548,2.19
Anthony Mix,3436,WR,1,NYG,5,3,39,18,2.17
Lorenzo Booker,3687,HB,6,MIA,34,27,229,106,2.16
Jerricho Cotchery,1829,WR,15,NYJ,120,82,1130,525,2.15
Jerome Harrison,3090,HB,3,CLV,2,2,19,9,2.11
Sean Ryan,1865,TE,6,NYJ,5,3,46,22,2.09
Brandon Stokley,498,WR,13,DEN,68,40,635,305,2.08
Steve Smith,837,WR,15,CAR,139,87,996,479,2.08
David Patten,221,WR,16,NO,84,54,792,381,2.08
Antonio Gates,1609,TE,16,SD,109,75,984,475,2.07
Tony Scheffler,3006,TE,13,DEN,62,48,531,257,2.07
Greg Jennings,2997,WR,13,GB,83,53,920,445,2.07
Tony Gonzalez,237,TE,16,KC,144,98,1160,564,2.06
Roddy White,2244,WR,16,ATL,132,83,1204,591,2.04
Michael Bennett,797,HB,7,TB,9,6,79,39,2.03
Kellen Winslow,1727,TE,16,CLV,136,81,1102,542,2.03
Reggie Williams,1730,WR,15,JAX,57,38,630,311,2.03
Laveranues Coles,638,WR,12,NYJ,83,55,646,321,2.01
Kenneth Darby,3862,HB,1,TB,3,2,16,8,2.00
Alex Haynes,2636,HB,1,CAR,3,3,14,7,2.00
John St. Clair,649,T,1,CHI,1,1,2,1,2.00
T.J. Houshmandzadeh,921,WR,16,CIN,164,112,1151,577,1.99
Torry Holt,441,WR,16,STR,142,93,1189,600,1.98
Donald Driver,533,WR,15,GB,116,82,1048,529,1.98
Chris Chambers,821,WR,10,SD,58,35,565,285,1.98
Anquan Boldin,1369,WR,12,ARZ,96,72,854,433,1.97
Matt Jones,2238,WR,12,JAX,49,24,317,162,1.96
Travis Minor,846,HB,7,STR,17,12,86,44,1.95
D.J. Hackett,1876,WR,6,SEA,45,32,384,197,1.95
Chris Chambers,821,WR,6,MIA,60,31,415,215,1.93
Deon Anderson,3811,FB,5,DAL,6,6,55,29,1.90
Adrian Peterson,3623,HB,14,MIN,22,19,268,142,1.89
Devin Hester,3002,WR,15,CHI,37,21,299,159,1.88
Roy Williams,1728,WR,12,DET,101,64,838,448,1.87
Lee Evans,1734,WR,16,BUF,105,55,849,455,1.87
Dennis Northcutt,605,WR,15,JAX,68,44,601,321,1.87
Vernand Morency,2290,HB,13,GB,37,30,199,107,1.86
Roydell Williams,2353,WR,16,TEN,86,55,719,386,1.86
Plaxico Burress,586,WR,16,NYG,136,70,1025,555,1.85
Hines Ward,380,WR,13,PIT,107,71,732,398,1.84
Reno Mahe,1654,HB,3,PHI,1,1,11,6,1.83
Koren Robinson,2864,WR,9,GB,34,21,241,132,1.83
Donald Lee,1465,TE,15,GB,61,48,575,315,1.83
Derrick Mason,271,WR,16,BLT,151,103,1087,596,1.82
Billy Miller,534,TE,16,NO,38,26,315,175,1.80
Kevin Curtis,1389,WR,16,PHI,126,77,1110,616,1.80
Santana Moss,786,WR,14,WAS,108,61,808,450,1.80
Ike Hilliard,233,WR,15,TB,83,62,722,403,1.79
Sidney Rice,3660,WR,13,MIN,49,31,396,221,1.79
Greg Lewis,1650,WR,15,PHI,21,13,265,148,1.79
Dwayne Bowe,3639,WR,16,KC,118,70,995,556,1.79
Antwaan Randle El,1069,WR,15,WAS,77,51,728,408,1.78
Justin Gage,1452,WR,16,TEN,83,55,750,421,1.78
Shaun McDonald,1418,WR,16,DET,118,79,943,537,1.76
Maurice Jones-Drew,3005,HB,15,JAX,50,40,407,231,1.76
Adrian Peterson,1177,HB,16,CHI,58,49,414,235,1.76
Naufahu Tahi,3526,FB,2,MIN,1,1,7,4,1.75
Deion Branch,1072,WR,11,SEA,78,49,661,377,1.75
Calvin Johnson,3618,WR,15,DET,89,48,756,431,1.75
Jerious Norwood,3024,HB,15,ATL,35,28,277,158,1.75
Isaac Bruce,80,WR,14,STR,98,55,733,419,1.75
Marvin Harrison,162,WR,5,IND,32,20,247,142,1.74
Bernard Berrian,1799,WR,16,CHI,121,71,951,553,1.72
Pierre Thomas,4080,HB,10,NO,18,17,151,88,1.72
Chris Cooley,1802,TE,16,WAS,103,64,782,457,1.71
Brandon Jones,2313,WR,8,TEN,34,21,248,145,1.71
Lamont Jordan,819,HB,12,OAK,32,26,246,145,1.70
Brian Westbrook,1094,HB,15,PHI,109,90,771,464,1.66
Deshawn Wynn,3844,HB,7,GB,14,9,73,44,1.66
Keenan McCardell,19,WR,9,WAS,31,22,256,154,1.66
Frank Gore,2282,HB,15,SF,65,53,436,264,1.65
Chris Henry,2300,WR,8,CIN,36,21,343,209,1.64
Greg Olsen,3647,TE,14,CHI,63,39,391,238,1.64
Jerheme Urban,1709,WR,10,ARZ,36,22,329,201,1.64
Ben Utecht,2199,TE,14,IND,36,31,364,224,1.63
Troy Walters,682,WR,10,DET,10,9,101,62,1.63
Dominique Byrd,3038,TE,2,STR,5,4,44,27,1.63
Owen Daniels,3043,TE,16,HST,87,63,768,472,1.63
Andre' Davis,1054,WR,14,HST,59,33,583,362,1.61
Wallace Wright,3563,WR,9,NYJ,11,6,87,54,1.61
Kevin Walter,1549,WR,16,HST,101,65,800,498,1.61
Sam Gado,2599,HB,3,HST,8,8,64,40,1.60
Steve Breaston,3758,WR,7,ARZ,14,8,92,58,1.59
Willie Reid,3040,WR,5,PIT,6,4,54,34,1.59
Gilbert Harris,4201,HB,4,KC,4,3,38,24,1.58
Michael Pittman,382,HB,10,TB,33,26,191,122,1.57
Donte' Stallworth,1020,WR,16,NE,69,46,697,444,1.57
Greg Camarillo,2523,WR,10,MIA,10,8,160,103,1.55
Brandon Jackson,3679,HB,10,GB,21,16,130,84,1.55
B.J. Askew,1400,FB,13,TB,19,18,175,114,1.54
Jabar Gaffney,1040,WR,16,NE,46,36,449,294,1.53
Aveion Cason,945,HB,9,DET,16,14,129,85,1.52
Benjamin Watson,1753,TE,12,NE,48,36,389,256,1.52
Ronald Curry,1199,WR,16,OAK,92,55,717,471,1.52
Jerry Porter,617,WR,16,OAK,90,44,705,466,1.51
Kevin Everett,2303,TE,1,BUF,1,1,3,2,1.50
Jared Allen,1847,ED,2,KC,2,2,3,2,1.50
Heath Miller,2247,TE,16,PIT,58,46,549,365,1.50
Josh Reed,1043,WR,15,BUF,82,52,578,386,1.50
Joe Jurevicius,365,WR,16,CLV,80,50,614,412,1.49
Devard Darling,1803,WR,13,BLT,35,18,326,219,1.49
Todd Heap,801,TE,6,BLT,31,23,239,160,1.49
Bobby Wade,1448,WR,16,MIN,81,55,650,438,1.48
Michael Gaines,1946,TE,15,BUF,35,25,215,146,1.47
Jason Avant,3054,WR,15,PHI,33,23,267,184,1.45
Jeremy Shockey,1021,TE,14,NYG,87,56,614,423,1.45
LaDainian Tomlinson,777,HB,16,SD,82,60,475,328,1.45
Mike Anderson,693,HB,5,BLT,4,4,26,18,1.44
Patrick Crayton,1932,WR,15,DAL,79,50,697,487,1.43
Miles Austin,3211,WR,8,DAL,10,5,76,53,1.43
Troy Williamson,2224,WR,11,MIN,37,18,236,166,1.42
Sean McHugh,1955,TE,15,DET,27,17,252,178,1.42
Sean Morey,538,WR,8,ARZ,16,8,131,92,1.42
Anthony Thomas,808,HB,9,BUF,19,15,95,67,1.42
Musa Smith,1392,HB,16,BLT,30,26,190,135,1.41
Leonard Pope,3017,TE,13,ARZ,34,23,238,170,1.40
Michael Robinson,3045,HB,10,SF,13,11,73,52,1.40
Ahman Green,374,HB,6,HST,17,14,123,88,1.40
Chester Taylor,1182,HB,14,MIN,39,29,285,205,1.39
Willis McGahee,1339,HB,15,BLT,48,43,231,166,1.39
Chad Mustard,1668,TE,6,DEN,7,5,62,45,1.38
Michael Bennett,797,HB,6,KC,10,10,47,34,1.38
Javon Walker,1027,WR,8,DEN,49,26,287,208,1.38
Clinton Portis,1058,HB,16,WAS,56,47,389,283,1.37
James Jones,3694,WR,16,GB,77,47,676,494,1.37
Laurence Maroney,2966,HB,13,NE,6,4,116,85,1.36
Dan Kreider,749,FB,8,PIT,3,1,15,11,1.36
Ladell Betts,1063,HB,16,WAS,30,22,179,132,1.36
Jerome Mathis,2331,WR,2,HST,1,1,15,11,1.36
Vincent Jackson,2278,WR,16,SD,75,41,623,458,1.36
Ernest Wilford,1841,WR,16,JAX,71,45,518,381,1.36
Marshawn Lynch,3628,HB,13,BUF,23,17,184,135,1.36
Brian Calhoun,3019,HB,3,DET,5,5,35,26,1.35
Casey Fitzsimmons,1607,TE,16,DET,9,8,85,63,1.35
Roscoe Parrish,2272,WR,16,BUF,56,35,352,261,1.35
Nate Burleson,1386,WR,16,SEA,91,50,694,517,1.34
Dallas Clark,1340,TE,15,IND,92,58,616,458,1.34
Kevin Boss,3769,TE,10,NYG,14,9,118,88,1.34
Justin Green,2375,FB,6,BLT,2,2,16,12,1.33
Amani Toomer,169,WR,16,NYG,99,59,760,570,1.33
J.J. Arrington,2261,HB,16,ARZ,36,28,240,181,1.33
Aaron Stecker,572,HB,15,NO,38,36,211,160,1.32
Joshua Cribbs,2544,WR,11,CLV,5,3,37,28,1.32
Reggie Brown,2252,WR,16,PHI,104,61,780,596,1.31
Sam Gado,2599,HB,5,MIA,5,4,47,36,1.31
Dwayne Wright,3727,HB,7,BUF,3,3,17,13,1.31
Marcedes Lewis,2973,TE,16,JAX,53,37,391,301,1.30
Drew Carter,1881,WR,16,CAR,73,38,517,400,1.29
Marques Hagans,3089,WR,3,STR,15,8,101,79,1.28
Brian Clark,3271,WR,4,DEN,5,4,23,18,1.28
Michael Jenkins,1750,WR,15,ATL,81,53,532,419,1.27
Derrick Ward,1949,HB,8,NYG,39,26,179,141,1.27
Skyler Green,3070,WR,2,CIN,4,3,33,26,1.27
Kevin Faulk,470,HB,16,NE,56,47,383,302,1.27
Nate Jackson,1259,TE,5,DEN,3,3,34,27,1.26
