player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Cam Newton,6153,QB,2,CAR,1,1,27,2,13.50
Ricardo Lockette,6622,WR,2,SEA,4,2,105,9,11.67
Shaun Chapas,6372,FB,1,DAL,1,1,9,1,9.00
Nick Miller,5206,WR,1,STR,1,1,8,1,8.00
Seneca Wallace,1422,QB,1,CLV,1,1,21,3,7.00
Brandon Banks,6053,WR,2,WAS,1,1,10,2,5.00
Jesse Holley,3965,WR,8,DAL,7,7,169,35,4.83
Aaron Brown,5116,HB,1,DET,1,1,9,2,4.50
Isaac Sopoaga,1825,DI,3,SF,1,1,18,4,4.50
Taiwan Jones,6277,HB,4,OAK,3,2,25,7,3.57
LaRod Stephens-Howling,5164,HB,13,ARZ,16,13,234,68,3.44
Garrett Graham,5642,TE,3,HST,1,1,24,7,3.43
Kenny Britt,4953,WR,3,TEN,25,17,289,93,3.11
Victor Cruz,5827,WR,16,NYG,121,82,1536,498,3.08
Kevin Brock,5328,TE,2,BUF,2,2,27,9,3.00
Alex Green,6248,HB,2,GB,1,1,6,2,3.00
Jordy Nelson,4350,WR,16,GB,93,68,1263,424,2.98
Andre Johnson,1319,WR,7,HST,49,33,492,169,2.91
Joe McKnight,5636,HB,12,NYJ,16,13,139,53,2.62
Antonio Brown,5718,WR,16,PIT,120,69,1108,425,2.61
Wes Welker,2204,WR,16,NE,169,122,1569,606,2.59
Malcom Floyd,2044,WR,12,SD,68,43,856,336,2.55
Percy Harvin,4945,WR,16,MIN,118,87,975,390,2.50
Jacoby Ford,5632,WR,8,OAK,32,19,283,115,2.46
Calvin Johnson,3618,WR,16,DET,151,96,1685,690,2.44
Marques Colston,3197,WR,14,NO,105,80,1143,473,2.42
Jimmy Graham,5619,TE,16,NO,145,98,1301,537,2.42
Stefan Logan,4909,HB,6,DET,1,1,19,8,2.38
Terrance Copper,2016,WR,11,KC,12,8,114,48,2.38
Brandon Marshall,3064,WR,16,MIA,138,81,1214,512,2.37
Rob Gronkowski,5567,TE,16,NE,121,90,1327,559,2.37
Steve Smith,837,WR,16,CAR,127,79,1394,589,2.37
Arian Foster,5398,HB,13,HST,62,53,623,265,2.35
Dwayne Bowe,3639,WR,16,KC,130,81,1159,502,2.31
Johnny Knox,5064,WR,14,CHI,64,37,729,321,2.27
Darrius Heyward-Bey,4930,WR,15,OAK,106,64,975,431,2.26
Larry Fitzgerald,1724,WR,16,ARZ,151,80,1411,628,2.25
Doug Baldwin,6615,WR,16,SEA,85,51,792,354,2.24
Brandon Lloyd,1436,WR,4,DEN,32,19,283,128,2.21
Jeff Cumberland,5861,TE,3,NYJ,5,2,35,16,2.19
Matthew Slater,4467,WR,5,NE,3,1,46,21,2.19
Devin Thomas,4348,WR,9,NYG,3,3,37,17,2.18
Randall Cobb,6216,WR,15,GB,31,25,375,173,2.17
Jeremy Shockey,1021,TE,15,CAR,59,37,455,210,2.17
Mike Wallace,5007,WR,16,PIT,113,72,1193,552,2.16
Laurent Robinson,3691,WR,14,DAL,81,54,858,399,2.15
A.J. Green,6156,WR,15,CIN,111,65,1057,497,2.13
Roddy White,2244,WR,16,ATL,175,100,1296,612,2.12
Ryan Grant,2609,HB,15,GB,23,19,268,127,2.11
Demaryius Thomas,5547,WR,11,DEN,65,32,551,263,2.10
Julio Jones,6158,WR,13,ATL,91,54,959,456,2.10
Hakeem Nicks,4952,WR,15,NYG,128,76,1192,570,2.09
Brandon Saine,6756,HB,5,GB,11,10,69,33,2.09
Michael Crabtree,4933,WR,15,SF,106,71,860,414,2.08
Greg Jennings,2997,WR,13,GB,96,67,949,457,2.08
Marcel Reece,4702,FB,12,OAK,34,27,315,153,2.06
Danny Amendola,4717,WR,1,STR,6,5,45,22,2.05
Darren Sproles,2347,HB,16,NO,107,86,710,352,2.02
Domenik Hixon,3075,WR,2,NYG,5,4,50,25,2.00
Jonathan Dwyer,5711,HB,2,PIT,1,1,6,3,2.00
Quinn Johnson,5069,FB,4,TEN,3,3,30,15,2.00
Pierre Thomas,4080,HB,16,NO,54,49,410,205,2.00
James Jones,3694,WR,16,GB,54,38,635,317,2.00
Ryan Mathews,5537,HB,14,SD,58,50,455,229,1.99
Andrew Hawkins,6125,WR,13,CIN,33,23,263,132,1.99
Lance Moore,2718,WR,14,NO,72,52,627,319,1.97
Deon Butler,5014,WR,5,SEA,7,6,51,26,1.96
Michael Robinson,3045,FB,12,SEA,13,9,74,38,1.95
Taylor Price,5614,WR,2,JAX,4,2,39,20,1.95
