player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
John Bronson,2506,FB,1,ARZ,1,1,25,1,25.00
John Kuhn,2686,FB,1,PIT,1,1,15,1,15.00
Adam Jones,2223,CB,4,TEN,2,2,31,4,7.75
Tab Perry,2407,WR,2,CIN,6,5,81,17,4.76
Cliff Russell,1090,WR,2,MIA,2,2,14,3,4.67
David Anderson,3196,WR,3,HST,1,1,27,6,4.50
Will Buchanon,3259,WR,1,OAK,1,1,9,2,4.50
Adrian Peterson,1177,HB,7,CHI,5,5,51,12,4.25
Tony Fisher,1241,HB,7,STR,17,14,159,38,4.18
Patrick Pass,709,HB,2,NE,2,2,24,6,4.00
Micheal Spurlock,3517,WR,1,ARZ,4,4,31,9,3.44
Mark Bradley,2256,WR,9,CHI,22,14,282,82,3.44
Corey McIntyre,1278,FB,1,NO,2,1,10,3,3.33
Kay-Jay Harris,2630,HB,1,STR,1,1,10,3,3.33
Shawn Bryson,491,FB,6,DET,10,9,110,34,3.24
Maurice Hicks,1253,HB,13,SF,13,13,137,46,2.98
Dominique Byrd,3038,TE,4,STR,3,2,39,15,2.60
Lee Evans,1734,WR,16,BUF,127,78,1231,473,2.60
Lawrence Vickers,3125,FB,10,CLV,6,6,60,24,2.50
Chad Johnson,806,WR,16,CIN,143,87,1375,552,2.49
Steve Smith,837,WR,14,CAR,133,83,1166,469,2.49
D.J. Hackett,1876,WR,14,SEA,62,45,610,246,2.48
Mewelde Moore,1840,HB,16,MIN,54,44,448,182,2.46
Javon Walker,1027,WR,16,DEN,117,69,1084,444,2.44
Walter Young,1524,WR,2,PIT,1,1,17,7,2.43
Marvin Harrison,162,WR,16,IND,142,95,1366,572,2.39
Chris Taylor,3529,HB,3,HST,3,3,40,17,2.35
Devery Henderson,1771,WR,13,NO,51,32,745,321,2.32
Marques Colston,3197,WR,14,NO,109,70,1038,447,2.32
Reggie Wayne,800,WR,16,IND,131,86,1314,570,2.31
Brandon Jacobs,2327,HB,15,NYG,13,11,149,65,2.29
T.J. Houshmandzadeh,921,WR,14,CIN,129,90,1081,478,2.26
DeAngelo Williams,2972,HB,12,CAR,35,32,311,140,2.22
Brian Calhoun,3019,HB,4,DET,2,2,20,9,2.22
Eric Parker,1292,WR,15,SD,70,48,659,298,2.21
Matt Jones,2238,WR,14,JAX,69,40,628,286,2.20
Laveranues Coles,638,WR,16,NYJ,146,93,1111,507,2.19
Nick Goings,956,HB,8,CAR,14,10,107,49,2.18
Roy Williams,1728,WR,16,DET,148,82,1311,607,2.16
Larry Fitzgerald,1724,WR,13,ARZ,109,69,946,438,2.16
Terry Glenn,156,WR,15,DAL,108,70,1048,487,2.15
Andre Johnson,1319,WR,16,HST,152,98,1111,516,2.15
